Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.00023,13.566474,[80  3] ; [8 4],[76.88421053  6.11578947] ; [11.11578947  0.88421053],1
r3,1,0.000255,13.374611,[79  3] ; [8 4],[75.89361702  6.10638298] ; [11.10638298  0.89361702],1
p10,1,0.003231,8.672435,[77  6] ; [7 4],[74.17021277  8.82978723] ; [9.82978723 1.17021277],0
p3,1,0.00376,8.396465,[70 14] ; [5 6],[66.31578947 17.68421053] ; [8.68421053 2.31578947],0
p4,1,0.011213,6.431176,[75  9] ; [6 4],[72.38297872 11.61702128] ; [8.61702128 1.38297872],0
p7,1,0.019629,5.44459,[69 13] ; [6 5],[66.12903226 15.87096774] ; [8.87096774 2.12903226],0
p8,1,0.031668,4.61637,[70 13] ; [7 5],[67.27368421 15.72631579] ; [9.72631579 2.27368421],0
b5,1,0.044677,4.030807,[37 47] ; [9 3],[40.25 43.75] ; [5.75 6.25],0
s1,1,0.047126,3.940887,[ 6 78] ; [3 9],[ 7.875 76.125] ; [ 1.125 10.875],0
r4,1,0.047126,3.940887,[78  6] ; [9 3],[76.125  7.875] ; [10.875  1.125],0
a3,1,0.076235,3.143401,[68 16] ; [7 5],[65.625 18.375] ; [9.375 2.625],0
p6,1,0.105498,2.620394,[54 28] ; [5 7],[51.46808511 30.53191489] ; [7.53191489 4.46808511],0
v2,1,0.10871,2.572881,[47 34] ; [4 8],[44.41935484 36.58064516] ; [6.58064516 5.41935484],0
a6,1,0.172433,1.861665,[51 33] ; [9 2],[53.05263158 30.94736842] ; [6.94736842 4.05263158],0
n6,1,0.19506,1.678981,[82  2] ; [9 1],[81.31914894  2.68085106] ; [9.68085106 0.31914894],0
v3,1,0.202693,1.622863,[45 36] ; [9 3],[47.03225806 33.96774194] ; [6.96774194 5.03225806],0
s2,1,0.204811,1.607728,[50 32] ; [5 7],[47.9787234 34.0212766] ; [7.0212766 4.9787234],0
b4,1,0.238729,1.388086,[48 36] ; [9 3],[49.875 34.125] ; [7.125 4.875],0
p1,1,0.243958,1.357576,[28 56] ; [ 2 10],[26.25 57.75] ; [3.75 8.25],0
d4,1,0.266676,1.233766,[72 12] ; [8 3],[70.73684211 13.26315789] ; [9.26315789 1.73684211],0
p11,1,0.407626,0.685714,[71 13] ; [9 3],[70. 14.] ; [10.  2.],0
s5,1,0.408523,0.683096,[52 22] ; [7 5],[50.76744186 23.23255814] ; [8.23255814 3.76744186],0
s7,1,0.453134,0.5628,[58 20] ; [7 4],[56.96629213 21.03370787] ; [8.03370787 2.96629213],0
d5,1,0.453668,0.56147,[69 15] ; [8 3],[68.08421053 15.91578947] ; [8.91578947 2.08421053],0
u2,1,0.525392,0.403295,[9 7] ; [2 3],[8.38095238 7.61904762] ; [2.61904762 2.38095238],0
a5,1,0.526966,0.400238,[63 21] ; [10  2],[63.875 20.125] ; [9.125 2.875],0
a1,1,0.57296,0.317755,[12 72] ; [ 1 11],[11.375 72.625] ; [ 1.625 10.375],0
d2,1,0.577333,0.310566,[46 38] ; [7 4],[46.86315789 37.13684211] ; [6.13684211 4.86315789],0
b1,1,0.585136,0.298004,[35 49] ; [6 6],[35.875 48.125] ; [5.125 6.875],0
b3,1,0.590124,0.290151,[30 31] ; [4 6],[29.21126761 31.78873239] ; [4.78873239 5.21126761],0
b2,1,0.590124,0.290151,[30 31] ; [4 6],[29.21126761 31.78873239] ; [4.78873239 5.21126761],0
v4,1,0.618374,0.248159,[78  4] ; [11  1],[77.63829787  4.36170213] ; [11.36170213  0.63829787],0
s8,1,0.62477,0.23922,[51 31] ; [6 5],[50.25806452 31.74193548] ; [6.74193548 4.25806452],0
s6,1,0.63862,0.220551,[67  9] ; [10  2],[66.5  9.5] ; [10.5  1.5],0
a7,1,0.674435,0.176458,[58 26] ; [9 3],[58.625 25.375] ; [8.375 3.625],0
d1,1,0.688615,0.160589,[54 30] ; [7 5],[53.375 30.625] ; [7.625 4.375],0
d3,1,0.71656,0.131813,[58 26] ; [7 4],[57.47368421 26.52631579] ; [7.52631579 3.47368421],0
n1,1,0.737369,0.112453,[9 7] ; [2 1],[9.26315789 6.73684211] ; [1.73684211 1.26315789],0
a8,1,0.748713,0.102616,[12 63] ; [2 8],[12.35294118 62.64705882] ; [1.64705882 8.35294118],0
a4,1,0.756801,0.095904,[39 45] ; [5 7],[38.5 45.5] ; [5.5 6.5],0
a2,1,0.771465,0.084367,[17 67] ; [ 2 10],[16.625 67.375] ; [2.375 9.625],0
u1,1,0.771465,0.084367,[17 67] ; [ 2 10],[16.625 67.375] ; [2.375 9.625],0
n2,1,0.80725,0.059524,[11  5] ; [3 1],[11.2  4.8] ; [2.8 1.2],0
v1,1,0.814975,0.054762,[56 24] ; [8 4],[55.65217391 24.34782609] ; [8.34782609 3.65217391],0
n3,1,0.822187,0.050505,[9 7] ; [2 2],[8.8 7.2] ; [2.2 1.8],0
u3,1,0.88242,0.021875,[9 7] ; [3 2],[9.14285714 6.85714286] ; [2.85714286 2.14285714],0
r2,1,0.90033,0.015686,[76  6] ; [11  1],[75.89361702  6.10638298] ; [11.10638298  0.89361702],0
p12,1,0.945544,0.004665,[20 63] ; [3 9],[20.09473684 62.90526316] ; [2.90526316 9.09473684],0
s3,1,0.948218,0.004218,[53 29] ; [7 4],[52.90322581 29.09677419] ; [7.09677419 3.90322581],0
r1,1,0.986139,0.000302,[69 14] ; [10  2],[69.02105263 13.97894737] ; [9.97894737 2.02105263],0
