Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,23.685982,[161 170] ; [ 8 49],[144.17268041 186.82731959] ; [24.82731959 32.17268041],1
s8,1,7e-05,15.817434,[216 126] ; [21 38],[202.12967581 139.87032419] ; [34.87032419 24.12967581],1
s7,1,7.5e-05,15.667793,[231  96] ; [25 32],[218. 109.] ; [38. 19.],1
s3,1,7.6e-05,15.665528,[303  38] ; [41 18],[293.26  47.74] ; [50.74  8.26],1
d5,1,0.000325,12.920606,[290  51] ; [38 20],[280.32080201  60.67919799] ; [47.67919799 10.32080201],1
r3,1,0.001732,9.813767,[330  10] ; [52  7],[325.51378446  14.48621554] ; [56.48621554  2.51378446],0
p4,1,0.002605,9.065381,[216 126] ; [25 34],[205.54114713 136.45885287] ; [35.45885287 23.54114713],0
n6,1,0.004982,7.88595,[290  49] ; [41 17],[282.64231738  56.35768262] ; [48.35768262  9.64231738],0
p9,1,0.007018,7.268372,[296  41] ; [44 15],[289.34343434  47.65656566] ; [50.65656566  8.34343434],0
r4,1,0.007166,7.230763,[313  30] ; [47 12],[307.1641791  35.8358209] ; [52.8358209  6.1641791],0
a2,1,0.011227,6.429064,[101 242] ; [ 8 51],[ 93.00248756 249.99751244] ; [15.99751244 43.00248756],0
d1,1,0.01153,6.381784,[222 121] ; [28 31],[213.30845771 129.69154229] ; [36.69154229 22.30845771],0
v4,1,0.014639,5.959348,[330  11] ; [53  6],[326.5075  14.4925] ; [56.4925  2.5075],0
r1,1,0.014667,5.955998,[283  58] ; [41 18],[276.21  64.79] ; [47.79 11.21],0
b5,1,0.060062,3.535666,[224 119] ; [31 28],[217.57462687 125.42537313] ; [37.42537313 21.57462687],0
a5,1,0.073538,3.20223,[264  79] ; [39 20],[258.52985075  84.47014925] ; [44.47014925 14.52985075],0
d2,1,0.078483,3.096038,[181 160] ; [24 35],[174.7625 166.2375] ; [30.2375 28.7625],0
s4,1,0.111533,2.532358,[ 90 247] ; [10 49],[ 85.1010101 251.8989899] ; [14.8989899 44.1010101],0
a4,1,0.123885,2.367508,[165 178] ; [22 37],[159.55472637 183.44527363] ; [27.44527363 31.55472637],0
a1,1,0.141884,2.157402,[ 14 329] ; [ 5 54],[ 16.21144279 326.78855721] ; [ 2.78855721 56.21144279],0
d4,1,0.147309,2.099898,[296  45] ; [47 12],[292.4075  48.5925] ; [50.5925  8.4075],0
a3,1,0.159172,1.982074,[256  86] ; [39 20],[251.59600998  90.40399002] ; [43.40399002 15.59600998],0
u3,1,0.218646,1.513235,[59 26] ; [11  9],[56.66666667 28.33333333] ; [13.33333333  6.66666667],0
p8,1,0.257086,1.284379,[164 173] ; [24 35],[159.98989899 177.01010101] ; [28.01010101 30.98989899],0
b2,1,0.259319,1.272387,[ 73 134] ; [15 18],[ 75.9 131.1] ; [12.1 20.9],0
b3,1,0.259319,1.272387,[ 73 134] ; [15 18],[ 75.9 131.1] ; [12.1 20.9],0
u1,1,0.27792,1.177232,[ 80 263] ; [10 49],[ 76.79104478 266.20895522] ; [13.20895522 45.79104478],0
r2,1,0.287196,1.132722,[326  13] ; [54  4],[324.4836272  14.5163728] ; [55.5163728  2.4836272],0
v1,1,0.308082,1.038879,[182 151] ; [27 30],[178.45384615 154.54615385] ; [30.54615385 26.45384615],0
a6,1,0.311357,1.024911,[231 110] ; [36 23],[227.6175 113.3825] ; [39.3825 19.6175],0
d3,1,0.393845,0.727038,[243  99] ; [38 20],[240.255 101.745] ; [40.745 17.255],0
p10,1,0.395058,0.723317,[286  54] ; [47 12],[283.7593985  56.2406015] ; [49.2406015  9.7593985],0
u2,1,0.438468,0.600289,[50 34] ; [10 10],[48.46153846 35.53846154] ; [11.53846154  8.46153846],0
s1,1,0.44009,0.596047,[ 15 322] ; [ 4 55],[ 16.16919192 320.83080808] ; [ 2.83080808 56.16919192],0
p12,1,0.448661,0.574033,[ 27 315] ; [ 3 56],[ 25.58603491 316.41396509] ; [ 4.41396509 54.58603491],0
a8,1,0.482209,0.493862,[ 45 271] ; [10 46],[ 46.72043011 269.27956989] ; [ 8.27956989 47.72043011],0
v2,1,0.484605,0.488482,[194 133] ; [31 26],[191.6015625 135.3984375] ; [33.3984375 23.6015625],0
b1,1,0.495311,0.464968,[135 208] ; [26 33],[137.37064677 205.62935323] ; [23.62935323 35.37064677],0
b4,1,0.5031,0.448391,[202 141] ; [32 27],[199.65671642 143.34328358] ; [34.34328358 24.65671642],0
p3,1,0.504643,0.445158,[170 173] ; [26 32],[167.65087282 175.34912718] ; [28.34912718 29.65087282],0
p6,1,0.528107,0.398032,[135 203] ; [21 38],[132.81612091 205.18387909] ; [23.18387909 35.81612091],0
n2,1,0.613036,0.255777,[61 16] ; [11  4],[60.26086957 16.73913043] ; [11.73913043  3.26086957],0
u4,1,0.672143,0.179106,[  9 334] ; [ 1 58],[  8.53233831 334.46766169] ; [ 1.46766169 57.53233831],0
p1,1,0.685131,0.164407,[ 22 318] ; [ 3 56],[ 21.30325815 318.69674185] ; [ 3.69674185 55.30325815],0
n5,1,0.693022,0.155834,[256  84] ; [43 16],[254.78696742  85.21303258] ; [44.21303258 14.78696742],0
a7,1,0.738432,0.11151,[249  93] ; [41 17],[247.95  94.05] ; [42.05 15.95],0
n3,1,0.74703,0.104044,[56 21] ; [11  5],[55.47311828 21.52688172] ; [11.52688172  4.47311828],0
p2,1,0.794678,0.067726,[283  59] ; [48 11],[282.29925187  59.70074813] ; [48.70074813 10.29925187],0
p7,1,0.851632,0.034982,[212 118] ; [38 20],[212.62886598 117.37113402] ; [37.37113402 20.62886598],0
p11,1,0.877766,0.023655,[259  84] ; [44 15],[258.52985075  84.47014925] ; [44.47014925 14.52985075],0
n4,1,0.881419,0.022252,[257  84] ; [45 14],[257.455  83.545] ; [44.545 14.455],0
n1,1,0.889769,0.019209,[29 48] ; [5 9],[28.76923077 48.23076923] ; [5.23076923 8.76923077],0
v3,1,0.977965,0.000763,[129 201] ; [22 34],[129.09326425 200.90673575] ; [21.90673575 34.09326425],0
