Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,24.754919,[52 12] ; [22 37],[38.50406504 25.49593496] ; [35.49593496 23.50406504],1
a4,1,3e-06,22.159493,[35 30] ; [ 8 51],[22.54032258 42.45967742] ; [20.45967742 38.54032258],1
d5,1,0.000611,11.741227,[53 11] ; [32 27],[44.22764228 19.77235772] ; [40.77235772 18.22764228],1
p6,1,0.00096,10.90373,[ 3 60] ; [15 42],[ 9.45 53.55] ; [ 8.55 48.45],1
d2,1,0.002273,9.315017,[31 33] ; [13 46],[22.89430894 41.10569106] ; [21.10569106 37.89430894],0
v3,1,0.010101,6.617057,[19 40] ; [ 7 50],[13.22413793 45.77586207] ; [12.77586207 44.22413793],0
n4,1,0.011522,6.382962,[39 26] ; [22 37],[31.97580645 33.02419355] ; [29.02419355 29.97580645],0
s4,1,0.018614,5.537457,[ 4 61] ; [12 47],[ 8.38709677 56.61290323] ; [ 7.61290323 51.38709677],0
a6,1,0.026844,4.900837,[46 18] ; [31 28],[40.06504065 23.93495935] ; [36.93495935 22.06504065],0
r4,1,0.036513,4.372977,[45 20] ; [30 29],[39.31451613 25.68548387] ; [35.68548387 23.31451613],0
p4,1,0.04824,3.901619,[24 41] ; [12 46],[19.02439024 45.97560976] ; [16.97560976 41.02439024],0
a8,1,0.049785,3.848684,[10 50] ; [ 3 54],[ 6.66666667 53.33333333] ; [ 6.33333333 50.66666667],0
d1,1,0.050616,3.820936,[31 34] ; [18 41],[25.68548387 39.31451613] ; [23.31451613 35.68548387],0
r1,1,0.056996,3.622705,[47 18] ; [33 26],[41.93548387 23.06451613] ; [38.06451613 20.93548387],0
a7,1,0.057011,3.622283,[46 19] ; [32 27],[40.88709677 24.11290323] ; [37.11290323 21.88709677],0
s6,1,0.137695,2.203534,[31 34] ; [20 38],[26.95121951 38.04878049] ; [24.04878049 33.95121951],0
r3,1,0.157082,2.002094,[53 12] ; [41 17],[49.67479675 15.32520325] ; [44.32520325 13.67479675],0
d3,1,0.170653,1.877197,[42 22] ; [31 27],[38.29508197 25.70491803] ; [34.70491803 23.29508197],0
a1,1,0.245642,1.347921,[ 7 58] ; [ 3 56],[ 5.24193548 59.75806452] ; [ 4.75806452 54.24193548],0
s8,1,0.317861,0.997728,[17 48] ; [11 48],[14.67741935 50.32258065] ; [13.32258065 45.67741935],0
p5,1,0.333634,0.934741,[ 3 59] ; [ 1 58],[ 2.04958678 59.95041322] ; [ 1.95041322 57.04958678],0
d4,1,0.341902,0.903287,[47 17] ; [38 20],[44.59016393 19.40983607] ; [40.40983607 17.59016393],0
u3,1,0.35399,0.859102,[8 4] ; [19 18],[6.6122449 5.3877551] ; [20.3877551 16.6122449],0
r2,1,0.359629,0.839187,[53 10] ; [45 13],[51.02479339 11.97520661] ; [46.97520661 11.02479339],0
b5,1,0.407608,0.685766,[36 29] ; [37 22],[38.26612903 26.73387097] ; [34.73387097 24.26612903],0
v2,1,0.414707,0.665267,[26 35] ; [19 35],[23.86956522 37.13043478] ; [21.13043478 32.86956522],0
s7,1,0.42646,0.632445,[19 41] ; [14 42],[17.06896552 42.93103448] ; [15.93103448 40.06896552],0
v4,1,0.434445,0.610911,[51 13] ; [42 15],[49.19008264 14.80991736] ; [43.80991736 13.19008264],0
p2,1,0.47776,0.503973,[35 29] ; [36 23],[36.94308943 27.05691057] ; [34.05691057 24.94308943],0
p11,1,0.487698,0.4816,[36 29] ; [29 30],[34.07258065 30.92741935] ; [30.92741935 28.07258065],0
p7,1,0.501762,0.451207,[23 40] ; [23 31],[24.76923077 38.23076923] ; [21.23076923 32.76923077],0
u1,1,0.555006,0.348424,[ 5 60] ; [ 3 56],[ 4.19354839 60.80645161] ; [ 3.80645161 55.19354839],0
n2,1,0.563059,0.334435,[20  9] ; [16 10],[18.98181818 10.01818182] ; [17.01818182  8.98181818],0
n3,1,0.645586,0.21151,[16 11] ; [17  9],[16.81132075 10.18867925] ; [16.18867925  9.81132075],0
s5,1,0.653081,0.202037,[ 8 54] ; [ 9 48],[ 8.85714286 53.14285714] ; [ 8.14285714 48.85714286],0
v1,1,0.679843,0.170303,[24 39] ; [20 38],[22.90909091 40.09090909] ; [21.09090909 36.90909091],0
n1,1,0.694925,0.153806,[10 17] ; [11 15],[10.69811321 16.30188679] ; [10.30188679 15.69811321],0
p10,1,0.69611,0.15255,[32 32] ; [30 26],[33.06666667 30.93333333] ; [28.93333333 27.06666667],0
b3,1,0.71044,0.137837,[ 9 27] ; [ 9 22],[ 9.67164179 26.32835821] ; [ 8.32835821 22.67164179],0
b2,1,0.71044,0.137837,[ 9 27] ; [ 9 22],[ 9.67164179 26.32835821] ; [ 8.32835821 22.67164179],0
