Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000366,12.695749,[34  8] ; [10 16],[27.17647059 14.82352941] ; [16.82352941  9.17647059],1
p11,1,0.074919,3.171827,[30 12] ; [13 13],[26.55882353 15.44117647] ; [16.44117647  9.55882353],0
n2,1,0.07626,3.142857,[9 2] ; [5 6],[7. 4.] ; [7. 4.],0
d4,1,0.133401,2.252472,[40  2] ; [22  4],[38.29411765  3.70588235] ; [23.70588235  2.29411765],0
b3,1,0.231323,1.432708,[11 13] ; [ 4 11],[ 9.23076923 14.76923077] ; [5.76923077 9.23076923],0
b2,1,0.231323,1.432708,[11 13] ; [ 4 11],[ 9.23076923 14.76923077] ; [5.76923077 9.23076923],0
d2,1,0.23424,1.414928,[18 24] ; [15 11],[20.38235294 21.61764706] ; [12.61764706 13.38235294],0
n6,1,0.245424,1.349166,[26 15] ; [20  6],[28.14925373 12.85074627] ; [17.85074627  8.14925373],0
s7,1,0.261398,1.261337,[23 18] ; [10 14],[20.81538462 20.18461538] ; [12.18461538 11.81538462],0
p5,1,0.266446,1.234952,[ 3 38] ; [ 4 21],[ 4.34848485 36.65151515] ; [ 2.65151515 22.34848485],0
d3,1,0.27302,1.20151,[27 15] ; [20  6],[29.02941176 12.97058824] ; [17.97058824  8.02941176],0
r2,1,0.298133,1.082528,[40  2] ; [23  3],[38.91176471  3.08823529] ; [24.08823529  1.91176471],0
s6,1,0.309399,1.033238,[35  7] ; [19  7],[33.35294118  8.64705882] ; [20.64705882  5.35294118],0
p6,1,0.313912,1.014146,[13 28] ; [11 14],[14.90909091 26.09090909] ; [ 9.09090909 15.90909091],0
r1,1,0.317208,1.000423,[30 11] ; [16 10],[28.14925373 12.85074627] ; [17.85074627  8.14925373],0
a8,1,0.320482,0.986978,[ 1 36] ; [ 2 22],[ 1.81967213 35.18032787] ; [ 1.18032787 22.81967213],0
p3,1,0.326472,0.96284,[22 20] ; [10 15],[20.05970149 21.94029851] ; [11.94029851 13.05970149],0
p7,1,0.343708,0.896552,[24 16] ; [12 13],[22.15384615 17.84615385] ; [13.84615385 11.15384615],0
a7,1,0.367036,0.813675,[28 14] ; [20  6],[29.64705882 12.35294118] ; [18.35294118  7.64705882],0
