Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.026505,4.92278,[19  9] ; [32 42],[14. 14.] ; [37. 37.],0
a5,1,0.032024,4.59721,[25  4] ; [48 26],[20.55339806  8.44660194] ; [52.44660194 21.55339806],0
p7,1,0.04657,3.960864,[20  8] ; [34 35],[15.58762887 12.41237113] ; [38.41237113 30.58762887],0
v1,1,0.04778,3.917697,[19  9] ; [33 39],[14.56 13.44] ; [37.44 34.56],0
r4,1,0.060032,3.536509,[28  1] ; [61 13],[25.05825243  3.94174757] ; [63.94174757 10.05825243],0
s4,1,0.081299,3.038732,[ 4 25] ; [22 50],[ 7.46534653 21.53465347] ; [18.53465347 53.46534653],0
r1,1,0.08774,2.915356,[26  3] ; [55 19],[22.80582524  6.19417476] ; [58.19417476 15.80582524],0
n4,1,0.116675,2.46139,[22  6] ; [46 28],[18.66666667  9.33333333] ; [49.33333333 24.66666667],0
p6,1,0.118219,2.440765,[ 9 19] ; [13 60],[ 6.0990099 21.9009901] ; [15.9009901 57.0990099],0
u1,1,0.131274,2.277375,[ 7 22] ; [ 9 65],[ 4.50485437 24.49514563] ; [11.49514563 62.50485437],0
p8,1,0.135573,2.227497,[14 14] ; [24 47],[10.74747475 17.25252525] ; [27.25252525 43.74747475],0
v2,1,0.140819,2.168989,[19 10] ; [34 35],[15.68367347 13.31632653] ; [37.31632653 31.68367347],0
a7,1,0.146772,2.105479,[15 14] ; [49 24],[18.19607843 10.80392157] ; [45.80392157 27.19607843],0
d2,1,0.157957,1.993672,[18 11] ; [34 39],[14.78431373 14.21568627] ; [37.21568627 35.78431373],0
b1,1,0.172639,1.859875,[14 15] ; [25 49],[10.98058252 18.01941748] ; [28.01941748 45.98058252],0
b5,1,0.193378,1.691695,[19 10] ; [38 36],[16.04854369 12.95145631] ; [40.95145631 33.04854369],0
v3,1,0.208431,1.582293,[11 18] ; [18 53],[ 8.41 20.59] ; [20.59 50.41],0
d1,1,0.247215,1.338973,[17 12] ; [34 40],[14.3592233 14.6407767] ; [36.6407767 37.3592233],0
r3,1,0.274398,1.194628,[25  4] ; [67  5],[26.41584158  2.58415842] ; [65.58415842  6.41584158],0
b2,1,0.28606,1.138075,[10  9] ; [18 29],[ 8.06060606 10.93939394] ; [19.93939394 27.06060606],0
b3,1,0.28606,1.138075,[10  9] ; [18 29],[ 8.06060606 10.93939394] ; [19.93939394 27.06060606],0
s6,1,0.350886,0.87025,[20  7] ; [61 13],[21.65346535  5.34653465] ; [59.34653465 14.65346535],0
b4,1,0.361713,0.831935,[16 13] ; [48 26],[18.01941748 10.98058252] ; [45.98058252 28.01941748],0
v4,1,0.373655,0.791475,[28  1] ; [65  6],[26.97  2.03] ; [66.03  4.97],0
a3,1,0.381473,0.765949,[22  6] ; [51 22],[20.23762376  7.76237624] ; [52.76237624 20.23762376],0
a4,1,0.400313,0.707387,[14 15] ; [29 45],[12.10679612 16.89320388] ; [30.89320388 43.10679612],0
p2,1,0.418042,0.655813,[20  9] ; [56 17],[21.60784314  7.39215686] ; [54.39215686 18.60784314],0
a2,1,0.448347,0.574828,[ 7 22] ; [13 61],[ 5.63106796 23.36893204] ; [14.36893204 59.63106796],0
p12,1,0.465802,0.531916,[ 2 26] ; [ 9 65],[ 3.01960784 24.98039216] ; [ 7.98039216 66.01960784],0
d3,1,0.472167,0.516901,[13 16] ; [39 35],[14.6407767 14.3592233] ; [37.3592233 36.6407767],0
n3,1,0.501594,0.451561,[5 1] ; [16  7],[4.34482759 1.65517241] ; [16.65517241  6.34482759],0
n5,1,0.502434,0.449792,[20  8] ; [47 26],[18.57425743  9.42574257] ; [48.42574257 24.57425743],0
a6,1,0.507347,0.439534,[15 13] ; [45 29],[16.47058824 11.52941176] ; [43.52941176 30.47058824],0
p1,1,0.552411,0.353015,[ 4 25] ; [ 7 65],[ 3.15841584 25.84158416] ; [ 7.84158416 64.15841584],0
p5,1,0.553631,0.350853,[ 3 26] ; [ 5 68],[ 2.2745098 26.7254902] ; [ 5.7254902 67.2745098],0
p10,1,0.598268,0.277617,[24  5] ; [57 16],[23.02941176  5.97058824] ; [57.97058824 15.02941176],0
s7,1,0.625014,0.238883,[14 14] ; [41 33],[15.09803922 12.90196078] ; [39.90196078 34.09803922],0
p9,1,0.63254,0.228631,[24  4] ; [58 13],[23.19191919  4.80808081] ; [58.80808081 12.19191919],0
a1,1,0.677647,0.172787,[ 1 28] ; [ 4 70],[ 1.40776699 27.59223301] ; [ 3.59223301 70.40776699],0
s2,1,0.691358,0.15762,[18 11] ; [49 25],[18.86407767 10.13592233] ; [48.13592233 25.86407767],0
d5,1,0.694729,0.154013,[23  6] ; [56 18],[22.24271845  6.75728155] ; [56.75728155 17.24271845],0
s3,1,0.733741,0.115704,[19 10] ; [49 22],[19.72  9.28] ; [48.28 22.72],0
a8,1,0.757621,0.095238,[ 4 23] ; [11 52],[ 4.5 22.5] ; [10.5 52.5],0
u2,1,0.757782,0.095107,[3 4] ; [ 8 14],[2.65517241 4.34482759] ; [ 8.34482759 13.65517241],0
n6,1,0.864546,0.029101,[23  5] ; [61 12],[23.28712871  4.71287129] ; [60.71287129 12.28712871],0
s1,1,0.886196,0.020483,[ 1 28] ; [ 3 71],[ 1.12621359 27.87378641] ; [ 2.87378641 71.12621359],0
d4,1,0.921802,0.009636,[24  5] ; [61 12],[24.16666667  4.83333333] ; [60.83333333 12.16666667],0
p11,1,0.954251,0.003291,[21  8] ; [54 20],[21.11650485  7.88349515] ; [53.88349515 20.11650485],0
u3,1,0.976835,0.000843,[4 3] ; [13 10],[3.96666667 3.03333333] ; [13.03333333  9.96666667],0
