Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,23.24864,[58 43] ; [13 53],[42.94011976 58.05988024] ; [28.05988024 37.94011976],1
a3,1,2e-06,22.555879,[78 23] ; [27 39],[63.50299401 37.49700599] ; [41.49700599 24.50299401],1
d2,1,3.5e-05,17.133846,[54 46] ; [14 51],[41.21212121 58.78787879] ; [26.78787879 38.21212121],1
n4,1,0.000689,11.518053,[77 25] ; [33 33],[66.78571429 35.21428571] ; [43.21428571 22.78571429],1
d4,1,0.000773,11.305595,[85 17] ; [39 26],[75.73652695 26.26347305] ; [48.26347305 16.73652695],1
d1,1,0.001757,9.787785,[56 46] ; [20 46],[46.14285714 55.85714286] ; [29.85714286 36.14285714],0
d5,1,0.002071,9.485475,[80 22] ; [37 29],[71.03571429 30.96428571] ; [45.96428571 20.03571429],0
a6,1,0.003961,8.301522,[72 30] ; [32 34],[63.14285714 38.85714286] ; [40.85714286 25.14285714],0
b5,1,0.008906,6.841629,[47 55] ; [44 22],[55.25 46.75] ; [35.75 30.25],0
a7,1,0.008906,6.84158,[75 27] ; [35 30],[67.18562874 34.81437126] ; [42.81437126 22.18562874],0
r1,1,0.011262,6.423444,[68 34] ; [31 35],[60.10714286 41.89285714] ; [38.89285714 27.10714286],0
u1,1,0.014257,6.005987,[15 87] ; [ 2 64],[10.32142857 91.67857143] ; [ 6.67857143 59.32142857],0
d3,1,0.016252,5.775401,[67 35] ; [31 35],[59.5 42.5] ; [38.5 27.5],0
r2,1,0.025505,4.989265,[88 11] ; [50 16],[82.8 16.2] ; [55.2 10.8],0
v2,1,0.060862,3.513751,[42 58] ; [17 45],[36.41975309 63.58024691] ; [22.58024691 39.41975309],0
s7,1,0.093025,2.821225,[19 73] ; [ 7 59],[15.13924051 76.86075949] ; [10.86075949 55.13924051],0
n5,1,0.095711,2.775597,[68 33] ; [36 30],[62.89820359 38.10179641] ; [41.10179641 24.89820359],0
v1,1,0.100619,2.695711,[36 63] ; [16 50],[31.2 67.8] ; [20.8 45.2],0
v4,1,0.14649,2.108426,[83 18] ; [48 18],[79.22754491 21.77245509] ; [51.77245509 14.22754491],0
r4,1,0.165501,1.923232,[68 34] ; [37 29],[63.75 38.25] ; [41.25 24.75],0
p10,1,0.189501,1.721495,[61 40] ; [32 32],[56.92727273 44.07272727] ; [36.07272727 27.92727273],0
p3,1,0.214968,1.537652,[23 77] ; [10 56],[19.87951807 80.12048193] ; [13.12048193 52.87951807],0
s3,1,0.232185,1.427426,[25 76] ; [11 54],[21.90361446 79.09638554] ; [14.09638554 50.90361446],0
p8,1,0.245044,1.351342,[25 77] ; [11 54],[21.98802395 80.01197605] ; [14.01197605 50.98802395],0
s8,1,0.282488,1.15508,[15 87] ; [ 6 60],[12.75 89.25] ; [ 8.25 57.75],0
r3,1,0.289767,1.120702,[83 18] ; [49 16],[80.31325301 20.68674699] ; [51.68674699 13.31325301],0
p11,1,0.290298,1.118238,[64 38] ; [36 30],[60.71428571 41.28571429] ; [39.28571429 26.71428571],0
u3,1,0.309512,1.032757,[13 11] ; [16 23],[11.04761905 12.95238095] ; [17.95238095 21.04761905],0
s2,1,0.324887,0.969171,[16 84] ; [ 7 59],[13.85542169 86.14457831] ; [ 9.14457831 56.85542169],0
p5,1,0.378274,0.776304,[ 4 98] ; [ 1 64],[ 3.05389222 98.94610778] ; [ 1.94610778 63.05389222],0
p6,1,0.384922,0.754925,[12 89] ; [ 5 60],[10.34337349 90.65662651] ; [ 6.65662651 58.34337349],0
a1,1,0.398727,0.712162,[ 8 94] ; [ 3 63],[ 6.67857143 95.32142857] ; [ 4.32142857 61.67857143],0
a8,1,0.444642,0.584275,[ 6 90] ; [ 6 57],[ 7.24528302 88.75471698] ; [ 4.75471698 58.24528302],0
n6,1,0.450484,0.569433,[67 34] ; [40 26],[64.71257485 36.28742515] ; [42.28742515 23.71257485],0
n3,1,0.460737,0.544102,[17 18] ; [14 10],[18.38983051 16.61016949] ; [12.61016949 11.38983051],0
p1,1,0.476679,0.506453,[11 90] ; [ 5 61],[ 9.67664671 91.32335329] ; [ 6.32335329 59.67664671],0
n2,1,0.494671,0.46635,[22 17] ; [15  8],[23.27419355 15.72580645] ; [13.72580645  9.27419355],0
b4,1,0.498648,0.457812,[58 44] ; [41 25],[60.10714286 41.89285714] ; [38.89285714 27.10714286],0
s1,1,0.534394,0.386029,[ 4 97] ; [ 4 62],[ 4.83832335 96.16167665] ; [ 3.16167665 62.83832335],0
p4,1,0.584218,0.299465,[27 75] ; [15 51],[25.5 76.5] ; [16.5 49.5],0
s4,1,0.62086,0.244661,[10 92] ; [ 5 61],[ 9.10714286 92.89285714] ; [ 5.89285714 60.10714286],0
u2,1,0.633518,0.227321,[ 9 15] ; [17 22],[ 9.9047619 14.0952381] ; [16.0952381 22.9047619],0
p9,1,0.71414,0.134177,[61 37] ; [38 26],[59.88888889 38.11111111] ; [39.11111111 24.88888889],0
v3,1,0.714383,0.133939,[24 73] ; [14 49],[23.0375 73.9625] ; [14.9625 48.0375],0
b3,1,0.750922,0.100758,[26 34] ; [14 21],[25.26315789 34.73684211] ; [14.73684211 20.26315789],0
b2,1,0.750922,0.100758,[26 34] ; [14 21],[25.26315789 34.73684211] ; [14.73684211 20.26315789],0
u4,1,0.754952,0.097416,[  1 101] ; [ 1 65],[  1.21428571 100.78571429] ; [ 0.78571429 65.21428571],0
s5,1,0.756286,0.096324,[ 8 89] ; [ 6 56],[ 8.5408805 88.4591195] ; [ 5.4591195 56.5408805],0
p12,1,0.818482,0.052669,[ 2 98] ; [ 1 65],[ 1.80722892 98.19277108] ; [ 1.19277108 64.80722892],0
n1,1,0.958342,0.002728,[14 24] ; [ 9 15],[14.09677419 23.90322581] ; [ 8.90322581 15.09677419],0
p2,1,0.972667,0.001174,[59 43] ; [38 28],[58.89285714 43.10714286] ; [38.10714286 27.89285714],0
b1,1,0.981866,0.000517,[45 57] ; [29 37],[44.92857143 57.07142857] ; [29.07142857 36.92857143],0
