Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,54.867151,[ 19 143] ; [50 41],[ 44.18181818 117.81818182] ; [24.81818182 66.18181818],1
s2,1,0.0,49.443927,[ 34 126] ; [60 31],[ 59.92031873 100.07968127] ; [34.07968127 56.92031873],1
s6,1,0.0,38.64829,[ 58 104] ; [69 21],[81.64285714 80.35714286] ; [45.35714286 44.64285714],1
s3,1,0.0,36.94347,[ 54 106] ; [67 24],[77.1314741 82.8685259] ; [43.8685259 47.1314741],1
s5,1,5e-06,20.751313,[ 23 132] ; [36 52],[ 37.63374486 117.36625514] ; [21.36625514 66.63374486],1
a3,1,1.3e-05,18.953562,[91 70] ; [76 15],[106.69444444  54.30555556] ; [60.30555556 30.69444444],1
p6,1,0.000122,14.765522,[ 18 142] ; [28 63],[ 29.32270916 130.67729084] ; [16.67729084 74.32270916],1
p9,1,0.000373,12.660815,[96 63] ; [74 16],[108.55421687  50.44578313] ; [61.44578313 28.55421687],1
p4,1,0.000381,12.621685,[ 45 115] ; [46 45],[ 58.00796813 101.99203187] ; [32.99203187 58.00796813],1
p10,1,0.000475,12.210132,[89 70] ; [71 20],[101.76  57.24] ; [58.24 32.76],1
n4,1,0.000909,11.004467,[99 63] ; [74 17],[110.77470356  51.22529644] ; [62.22529644 28.77470356],1
a4,1,0.000916,10.989814,[ 54 107] ; [50 41],[66.44444444 94.55555556] ; [37.55555556 53.44444444],1
u1,1,0.001271,10.383867,[ 15 147] ; [22 69],[ 23.6916996 138.3083004] ; [13.3083004 77.6916996],0
a5,1,0.001358,10.261798,[88 74] ; [68 23],[99.88932806 62.11067194] ; [56.11067194 34.88932806],0
n6,1,0.001433,10.162963,[111  51] ; [78 12],[121.5  40.5] ; [67.5 22.5],0
v3,1,0.003313,8.626274,[ 29 129] ; [30 55],[ 38.36213992 119.63786008] ; [20.63786008 64.36213992],0
r1,1,0.003997,8.285161,[99 62] ; [72 19],[109.25  51.75] ; [61.75 29.25],0
a2,1,0.004016,8.276741,[ 25 137] ; [28 63],[ 33.93675889 128.06324111] ; [19.06324111 71.93675889],0
p7,1,0.004026,8.271915,[ 48 112] ; [43 46],[ 58.47389558 101.52610442] ; [32.52610442 56.47389558],0
p3,1,0.006805,7.323842,[ 32 130] ; [32 59],[ 40.98023715 121.01976285] ; [23.01976285 67.98023715],0
d1,1,0.007269,7.205274,[73 89] ; [57 34],[83.24110672 78.75889328] ; [46.75889328 44.24110672],0
d2,1,0.007733,7.094228,[64 95] ; [52 38],[74.07228916 84.92771084] ; [41.92771084 48.07228916],0
n5,1,0.009757,6.678695,[91 69] ; [66 24],[100.48  59.52] ; [56.52 33.48],0
v4,1,0.009988,6.637037,[132  30] ; [84  6],[138.85714286  23.14285714] ; [77.14285714 12.85714286],0
d5,1,0.012008,6.309755,[113  48] ; [76 14],[121.2310757  39.7689243] ; [67.7689243 22.2310757],0
r3,1,0.012827,6.192802,[132  29] ; [84  6],[138.5498008  22.4501992] ; [77.4501992 12.5498008],0
r2,1,0.020085,5.404478,[135  25] ; [84  5],[140.72289157  19.27710843] ; [78.27710843 10.72289157],0
r4,1,0.025277,5.004809,[117  45] ; [77 14],[124.22134387  37.77865613] ; [69.77865613 21.22134387],0
v2,1,0.083086,3.003472,[ 50 103] ; [39 50],[56.26859504 96.73140496] ; [32.73140496 56.26859504],0
b2,1,0.086159,2.944712,[27 57] ; [29 34],[32. 52.] ; [24. 39.],0
b3,1,0.086159,2.944712,[27 57] ; [29 34],[32. 52.] ; [24. 39.],0
d4,1,0.087557,2.918731,[119  42] ; [75 15],[124.43824701  36.56175299] ; [69.56175299 20.43824701],0
p12,1,0.106142,2.610748,[  4 158] ; [ 6 85],[  6.40316206 155.59683794] ; [ 3.59683794 87.40316206],0
s1,1,0.110931,2.540901,[  4 156] ; [ 6 85],[  6.37450199 153.62549801] ; [ 3.62549801 87.37450199],0
u3,1,0.115437,2.478157,[31 39] ; [10  5],[33.76470588 36.23529412] ; [7.23529412 7.76470588],0
p2,1,0.129148,2.302721,[96 65] ; [63 28],[101.58333333  59.41666667] ; [57.41666667 33.58333333],0
n1,1,0.186004,1.748988,[23 41] ; [16 16],[26. 38.] ; [13. 19.],0
p5,1,0.212467,1.554539,[  4 158] ; [ 5 86],[  5.76284585 156.23715415] ; [ 3.23715415 87.76284585],0
a6,1,0.234698,1.41216,[111  51] ; [55 35],[106.71428571  55.28571429] ; [59.28571429 30.71428571],0
p11,1,0.259281,1.27259,[97 65] ; [61 30],[101.16996047  60.83003953] ; [56.83003953 34.16996047],0
n3,1,0.279968,1.167246,[41 23] ; [24  8],[43.33333333 20.66666667] ; [21.66666667 10.33333333],0
s4,1,0.311434,1.024585,[ 29 132] ; [21 69],[ 32.07171315 128.92828685] ; [17.92828685 72.07171315],0
b4,1,0.376383,0.782483,[100  62] ; [51 40],[96.68774704 65.31225296] ; [54.31225296 36.68774704],0
a1,1,0.552938,0.35208,[ 10 152] ; [ 4 87],[  8.96442688 153.03557312] ; [ 5.03557312 85.96442688],0
n2,1,0.614928,0.253061,[42 23] ; [23 10],[43.1122449 21.8877551] ; [21.8877551 11.1122449],0
d3,1,0.61671,0.250519,[98 62] ; [58 32],[99.84 60.16] ; [56.16 33.84],0
a8,1,0.663735,0.189018,[ 14 140] ; [ 9 74],[ 14.94514768 139.05485232] ; [ 8.05485232 74.94514768],0
u4,1,0.678044,0.172336,[  1 161] ; [ 1 90],[  1.28063241 160.71936759] ; [ 0.71936759 90.28063241],0
p1,1,0.684499,0.165106,[ 11 151] ; [ 5 86],[ 10.24505929 151.75494071] ; [ 5.75494071 85.24505929],0
b5,1,0.69351,0.155311,[92 70] ; [54 37],[93.48616601 68.51383399] ; [52.51383399 38.48616601],0
b1,1,0.743005,0.107503,[66 96] ; [39 52],[67.23320158 94.76679842] ; [37.76679842 53.23320158],0
u2,1,0.804396,0.061337,[32 37] ; [7 7],[32.42168675 36.57831325] ; [6.57831325 7.42168675],0
a7,1,0.979598,0.000654,[107  53] ; [61 30],[107.09163347  52.90836653] ; [60.90836653 30.09163347],0
