Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000647,11.636364,[20 12] ; [25 63],[12. 20.] ; [33. 55.],1
p4,1,0.002842,8.906378,[18 14] ; [24 65],[11.10743802 20.89256198] ; [30.89256198 58.10743802],0
p3,1,0.007291,7.199871,[17 16] ; [23 66],[10.81967213 22.18032787] ; [29.18032787 59.81967213],0
b1,1,0.01985,5.425054,[12 21] ; [54 36],[17.70731707 15.29268293] ; [48.29268293 41.70731707],0
p10,1,0.02174,5.266458,[21 12] ; [35 52],[15.4 17.6] ; [40.6 46.4],0
p6,1,0.024715,5.043755,[12 20] ; [16 73],[ 7.40495868 24.59504132] ; [20.59504132 68.40495868],0
p2,1,0.026879,4.898584,[23 10] ; [42 47],[17.58196721 15.41803279] ; [47.41803279 41.58196721],0
p5,1,0.02815,4.818874,[ 3 30] ; [ 1 88],[ 1.08196721 31.91803279] ; [ 2.91803279 86.08196721],0
d3,1,0.033654,4.512177,[25  8] ; [48 40],[19.90909091 13.09090909] ; [53.09090909 34.90909091],0
n2,1,0.039894,4.222376,[8 2] ; [17 22],[5.10204082 4.89795918] ; [19.89795918 19.10204082],0
r4,1,0.041846,4.141414,[25  8] ; [50 40],[20.12195122 12.87804878] ; [54.87804878 35.12195122],0
s7,1,0.046771,3.95361,[12 19] ; [17 66],[ 7.88596491 23.11403509] ; [21.11403509 61.88596491],0
v4,1,0.057473,3.608856,[30  3] ; [67 22],[26.23770492  6.76229508] ; [70.76229508 18.23770492],0
p9,1,0.059801,3.542897,[20 12] ; [37 49],[15.45762712 16.54237288] ; [41.54237288 44.45762712],0
v3,1,0.069294,3.299675,[15 17] ; [25 61],[10.84745763 21.15254237] ; [29.15254237 56.84745763],0
v1,1,0.12387,2.367692,[16 17] ; [30 60],[12.34146341 20.65853659] ; [33.65853659 56.34146341],0
n1,1,0.12984,2.29442,[5 4] ; [11 27],[3.06382979 5.93617021] ; [12.93617021 25.06382979],0
u2,1,0.162465,1.951131,[6 4] ; [12 22],[4.09090909 5.90909091] ; [13.90909091 20.09090909],0
r1,1,0.178936,1.806441,[23  9] ; [52 37],[19.83471074 12.16528926] ; [55.16528926 33.83471074],0
d1,1,0.184266,1.76288,[18 15] ; [37 53],[14.75609756 18.24390244] ; [40.24390244 49.75609756],0
r2,1,0.196198,1.670455,[29  3] ; [71 17],[26.66666667  5.33333333] ; [73.33333333 14.66666667],0
u3,1,0.196835,1.665703,[6 4] ; [13 22],[4.22222222 5.77777778] ; [14.77777778 20.22222222],0
n6,1,0.203017,1.620536,[24  9] ; [53 35],[21. 12.] ; [56. 32.],0
b2,1,0.261788,1.259276,[ 4 13] ; [20 32],[ 5.91304348 11.08695652] ; [18.08695652 33.91304348],0
b3,1,0.261788,1.259276,[ 4 13] ; [20 32],[ 5.91304348 11.08695652] ; [18.08695652 33.91304348],0
r3,1,0.266253,1.235952,[26  7] ; [61 28],[23.53278689  9.46721311] ; [63.46721311 25.53278689],0
a3,1,0.307035,1.043389,[23  9] ; [55 34],[20.62809917 11.37190083] ; [57.37190083 31.62809917],0
d5,1,0.372243,0.796164,[23 10] ; [69 20],[24.8852459  8.1147541] ; [67.1147541 21.8852459],0
a2,1,0.393325,0.728637,[ 6 27] ; [23 67],[ 7.7804878 25.2195122] ; [21.2195122 68.7804878],0
n4,1,0.400206,0.707706,[18 15] ; [56 33],[20.01639344 12.98360656] ; [53.98360656 35.01639344],0
s1,1,0.4267,0.631788,[ 1 32] ; [ 6 82],[ 1.90909091 31.09090909] ; [ 5.09090909 82.90909091],0
a5,1,0.433338,0.613861,[22 11] ; [53 37],[20.12195122 12.87804878] ; [54.87804878 35.12195122],0
p12,1,0.455872,0.556011,[ 1 32] ; [ 1 89],[ 0.53658537 32.46341463] ; [ 1.46341463 88.53658537],0
s8,1,0.479661,0.499635,[ 8 24] ; [17 72],[ 6.61157025 25.38842975] ; [18.38842975 70.61157025],0
p1,1,0.497372,0.460539,[ 2 31] ; [ 3 87],[ 1.34146341 31.65853659] ; [ 3.65853659 86.34146341],0
n3,1,0.52404,0.405934,[6 4] ; [18 19],[5.10638298 4.89361702] ; [18.89361702 18.10638298],0
u1,1,0.524079,0.405859,[ 3 30] ; [12 78],[ 4.02439024 28.97560976] ; [10.97560976 79.02439024],0
s6,1,0.582202,0.302688,[14 18] ; [34 55],[12.69421488 19.30578512] ; [35.30578512 53.69421488],0
s2,1,0.61078,0.259041,[ 7 25] ; [16 74],[ 6.03278689 25.96721311] ; [16.96721311 73.03278689],0
d2,1,0.660547,0.19286,[13 20] ; [39 50],[14.06557377 18.93442623] ; [37.93442623 51.06557377],0
d4,1,0.694992,0.153734,[25  8] ; [65 25],[24.14634146  8.85365854] ; [65.85365854 24.14634146],0
v2,1,0.704451,0.143883,[14 19] ; [34 54],[13.09090909 19.90909091] ; [34.90909091 53.09090909],0
b5,1,0.732562,0.116772,[22 11] ; [57 33],[21.19512195 11.80487805] ; [57.80487805 32.19512195],0
a7,1,0.756434,0.096204,[22 11] ; [56 32],[21.27272727 11.72727273] ; [56.72727273 31.27272727],0
a4,1,0.803445,0.061946,[14 19] ; [40 49],[14.60655738 18.39344262] ; [39.39344262 49.60655738],0
b4,1,0.819108,0.0523,[18 15] ; [47 43],[17.43902439 15.56097561] ; [47.56097561 42.43902439],0
s5,1,0.836454,0.042614,[ 6 26] ; [18 70],[ 6.4 25.6] ; [17.6 70.4],0
n5,1,0.879809,0.022865,[20 13] ; [52 36],[19.63636364 13.36363636] ; [52.36363636 35.63636364],0
a6,1,0.92048,0.009966,[18 15] ; [50 40],[18.24390244 14.75609756] ; [49.75609756 40.24390244],0
s4,1,0.992576,8.7e-05,[ 5 27] ; [14 76],[ 4.98360656 27.01639344] ; [14.01639344 75.98360656],0
