Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.006047,7.536314,[ 2 43] ; [4 9],[ 4.65517241 40.34482759] ; [ 1.34482759 11.65517241],0
v1,1,0.008897,6.843485,[ 8 37] ; [7 6],[11.63793103 33.36206897] ; [3.36206897 9.63793103],0
s5,1,0.018786,5.52131,[ 3 42] ; [4 9],[ 5.43103448 39.56896552] ; [ 1.56896552 11.43103448],0
v4,1,0.021954,5.249413,[22 23] ; [11  2],[25.60344828 19.39655172] ; [7.39655172 5.60344828],0
p9,1,0.033224,4.534186,[15 27] ; [9 4],[18.32727273 23.67272727] ; [5.67272727 7.32727273],0
s4,1,0.043885,4.060991,[ 4 41] ; [4 9],[ 6.20689655 38.79310345] ; [ 1.79310345 11.20689655],0
p2,1,0.082389,3.01713,[14 31] ; [7 5],[16.57894737 28.42105263] ; [4.42105263 7.57894737],0
s8,1,0.087023,2.9286,[ 3 42] ; [ 3 10],[ 4.65517241 40.34482759] ; [ 1.34482759 11.65517241],0
p11,1,0.089035,2.891738,[10 35] ; [6 7],[12.4137931 32.5862069] ; [3.5862069 9.4137931],0
r1,1,0.093844,2.807173,[16 29] ; [8 5],[18.62068966 26.37931034] ; [5.37931034 7.62068966],0
b2,1,0.10247,2.666667,[14 18] ; [1 7],[12. 20.] ; [3. 5.],0
b3,1,0.10247,2.666667,[14 18] ; [1 7],[12. 20.] ; [3. 5.],0
n6,1,0.143724,2.137625,[17 27] ; [8 5],[19.29824561 24.70175439] ; [5.70175439 7.29824561],0
d2,1,0.143724,2.137625,[17 27] ; [8 5],[19.29824561 24.70175439] ; [5.70175439 7.29824561],0
b4,1,0.165372,1.924404,[25 20] ; [10  3],[27.15517241 17.84482759] ; [7.84482759 5.15517241],0
d3,1,0.218754,1.512528,[19 26] ; [8 5],[20.94827586 24.05172414] ; [6.05172414 6.94827586],0
v3,1,0.240227,1.379259,[ 8 37] ; [4 8],[ 9.47368421 35.52631579] ; [2.52631579 9.47368421],0
u2,1,0.275234,1.190476,[ 6 12] ; [4 3],[ 7.2 10.8] ; [2.8 4.2],0
u3,1,0.302191,1.0645,[ 4 14] ; [3 4],[ 5.04 12.96] ; [1.96 5.04],0
