Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.1e-05,16.82423,[ 5 30] ; [11  4],[11.2 23.8] ; [ 4.8 10.2],1
p2,1,0.000118,14.828387,[ 8 28] ; [12  3],[14.11764706 21.88235294] ; [5.88235294 9.11764706],1
p8,1,0.000119,14.813715,[ 4 32] ; [9 5],[ 9.36 26.64] ; [ 3.64 10.36],1
p11,1,0.000262,13.324696,[ 4 32] ; [9 6],[ 9.17647059 26.82352941] ; [ 3.82352941 11.17647059],1
n6,1,0.000517,12.053571,[ 9 27] ; [11  3],[14.4 21.6] ; [5.6 8.4],1
p6,1,0.002442,9.183673,[ 2 33] ; [6 9],[ 5.6 29.4] ; [ 2.4 12.6],0
p3,1,0.003228,8.673785,[ 5 31] ; [8 7],[ 9.17647059 26.82352941] ; [ 3.82352941 11.17647059],0
d3,1,0.004279,8.161308,[13 23] ; [12  3],[17.64705882 18.35294118] ; [7.35294118 7.64705882],0
s7,1,0.00844,6.937741,[ 3 29] ; [6 8],[ 6.26086957 25.73913043] ; [ 2.73913043 11.26086957],0
b5,1,0.008903,6.842236,[12 24] ; [11  4],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
v2,1,0.028621,4.790249,[ 3 32] ; [ 5 10],[ 5.6 29.4] ; [ 2.4 12.6],0
p5,1,0.02906,4.764061,[ 1 35] ; [ 3 11],[ 2.88 33.12] ; [ 1.12 12.88],0
p9,1,0.051163,3.802937,[10 23] ; [9 6],[13.0625 19.9375] ; [5.9375 9.0625],0
a5,1,0.059656,3.546914,[16 20] ; [11  4],[19.05882353 16.94117647] ; [7.94117647 7.05882353],0
s2,1,0.08299,3.005357,[ 3 33] ; [ 4 11],[ 4.94117647 31.05882353] ; [ 2.05882353 12.94117647],0
a7,1,0.116526,2.463401,[13 23] ; [9 6],[15.52941176 20.47058824] ; [6.47058824 8.52941176],0
p10,1,0.143651,2.138411,[11 24] ; [8 7],[13.3 21.7] ; [5.7 9.3],0
v4,1,0.148042,2.092308,[16 20] ; [10  5],[18.35294118 17.64705882] ; [7.64705882 7.35294118],0
s4,1,0.163972,1.937209,[ 4 32] ; [ 4 11],[ 5.64705882 30.35294118] ; [ 2.35294118 12.64705882],0
a2,1,0.238687,1.388333,[ 3 33] ; [ 3 12],[ 4.23529412 31.76470588] ; [ 1.76470588 13.23529412],0
s8,1,0.238687,1.388333,[ 3 33] ; [ 3 12],[ 4.23529412 31.76470588] ; [ 1.76470588 13.23529412],0
v1,1,0.28668,1.13515,[ 7 29] ; [ 5 10],[ 8.47058824 27.52941176] ; [ 3.52941176 11.47058824],0
b1,1,0.312718,1.019161,[21 15] ; [11  4],[22.58823529 13.41176471] ; [9.41176471 5.58823529],0
n4,1,0.342614,0.900627,[22 14] ; [7 8],[20.47058824 15.52941176] ; [8.52941176 6.47058824],0
n3,1,0.350045,0.873294,[ 7 12] ; [5 4],[ 8.14285714 10.85714286] ; [3.85714286 5.14285714],0
s3,1,0.357097,0.848077,[ 8 27] ; [5 9],[ 9.28571429 25.71428571] ; [ 3.71428571 10.28571429],0
d2,1,0.368066,0.810185,[14 21] ; [ 4 11],[12.6 22.4] ; [5.4 9.6],0
a3,1,0.416304,0.660724,[19 16] ; [10  5],[20.3 14.7] ; [8.7 6.3],0
n1,1,0.435819,0.607265,[ 8 12] ; [5 4],[ 8.96551724 11.03448276] ; [4.03448276 4.96551724],0
r2,1,0.447699,0.576471,[24 11] ; [8 6],[22.85714286 12.14285714] ; [9.14285714 4.85714286],0
p1,1,0.465752,0.532037,[ 5 31] ; [ 1 14],[ 4.23529412 31.76470588] ; [ 1.76470588 13.23529412],0
u3,1,0.467267,0.528431,[ 4 13] ; [2 3],[ 4.63636364 12.36363636] ; [1.36363636 3.63636364],0
p12,1,0.514453,0.425,[ 1 35] ; [ 1 14],[ 1.41176471 34.58823529] ; [ 0.58823529 14.41176471],0
r1,1,0.514453,0.425,[11 25] ; [6 9],[12. 24.] ; [ 5. 10.],0
d4,1,0.514453,0.425,[18 18] ; [9 6],[19.05882353 16.94117647] ; [7.94117647 7.05882353],0
s1,1,0.584292,0.299348,[ 3 33] ; [ 2 13],[ 3.52941176 32.47058824] ; [ 1.47058824 13.52941176],0
n2,1,0.598702,0.276958,[ 9 11] ; [5 4],[ 9.65517241 10.34482759] ; [4.34482759 4.65517241],0
v3,1,0.601933,0.27209,[ 7 29] ; [ 2 13],[ 6.35294118 29.64705882] ; [ 2.64705882 12.35294118],0
n5,1,0.640131,0.218571,[24 12] ; [11  4],[24.70588235 11.29411765] ; [10.29411765  4.70588235],0
u2,1,0.654992,0.199664,[ 5 12] ; [2 3],[ 5.40909091 11.59090909] ; [1.59090909 3.40909091],0
a6,1,0.690791,0.158231,[17 19] ; [8 7],[17.64705882 18.35294118] ; [7.35294118 7.64705882],0
a4,1,0.699676,0.14881,[12 23] ; [6 9],[12.6 22.4] ; [5.4 9.6],0
b2,1,0.728434,0.120554,[11 12] ; [5 7],[10.51428571 12.48571429] ; [5.48571429 6.51428571],0
b3,1,0.728434,0.120554,[11 12] ; [5 7],[10.51428571 12.48571429] ; [5.48571429 6.51428571],0
d1,1,0.845551,0.037946,[11 25] ; [ 5 10],[11.29411765 24.70588235] ; [ 4.70588235 10.29411765],0
r4,1,0.877879,0.023611,[ 2 34] ; [ 1 14],[ 2.11764706 33.88235294] ; [ 0.88235294 14.11764706],0
d5,1,0.971109,0.001312,[19 17] ; [8 7],[19.05882353 16.94117647] ; [7.94117647 7.05882353],0
