Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6.2e-05,16.048301,[27  7] ; [11 24],[18.72463768 15.27536232] ; [19.27536232 15.72463768],1
a7,1,0.002885,8.879008,[ 8 25] ; [21 14],[14.07352941 18.92647059] ; [14.92647059 20.07352941],0
v2,1,0.014623,5.96129,[15 16] ; [ 7 28],[10.33333333 20.66666667] ; [11.66666667 23.33333333],0
u3,1,0.102023,2.673634,[ 4 17] ; [10 14],[ 6.53333333 14.46666667] ; [ 7.46666667 16.53333333],0
s6,1,0.102579,2.664984,[14 20] ; [ 8 27],[10.84057971 23.15942029] ; [11.15942029 23.84057971],0
a4,1,0.121658,2.395847,[ 6 28] ; [ 2 33],[ 3.94202899 30.05797101] ; [ 4.05797101 30.94202899],0
p2,1,0.127869,2.318182,[19 15] ; [25  9],[22. 12.] ; [22. 12.],0
d2,1,0.201027,1.634898,[10 23] ; [ 6 29],[ 7.76470588 25.23529412] ; [ 8.23529412 26.76470588],0
n1,1,0.207596,1.58811,[ 6 11] ; [ 3 15],[ 4.37142857 12.62857143] ; [ 4.62857143 13.37142857],0
n2,1,0.214006,1.544118,[12  5] ; [9 9],[10.2  6.8] ; [10.8  7.2],0
p9,1,0.225052,1.471861,[14 19] ; [20 15],[16.5 16.5] ; [17.5 17.5],0
d4,1,0.232892,1.423109,[16 17] ; [22 13],[18.44117647 14.55882353] ; [19.55882353 15.44117647],0
n6,1,0.275778,1.187777,[20 14] ; [16 19],[17.73913043 16.26086957] ; [18.26086957 16.73913043],0
b5,1,0.28117,1.161427,[16 18] ; [21 14],[18.23188406 15.76811594] ; [18.76811594 16.23188406],0
a1,1,0.289015,1.124205,[ 3 31] ; [ 1 34],[ 1.97101449 32.02898551] ; [ 2.02898551 32.97101449],0
p8,1,0.299797,1.075099,[ 9 25] ; [13 21],[11. 23.] ; [11. 23.],0
p10,1,0.324534,0.970588,[14 18] ; [19 15],[16. 16.] ; [17. 17.],0
s5,1,0.349608,0.87488,[ 4 29] ; [ 7 27],[ 5.41791045 27.58208955] ; [ 5.58208955 28.41791045],0
v3,1,0.354876,0.855944,[ 8 26] ; [ 5 29],[ 6.5 27.5] ; [ 6.5 27.5],0
r1,1,0.364367,0.822784,[10 24] ; [ 7 28],[ 8.37681159 25.62318841] ; [ 8.62318841 26.37681159],0
p1,1,0.3925,0.731183,[ 4 30] ; [ 2 32],[ 3. 31.] ; [ 3. 31.],0
a6,1,0.399679,0.709293,[14 20] ; [11 24],[12.31884058 21.68115942] ; [12.68115942 22.31884058],0
p6,1,0.407793,0.685227,[ 4 28] ; [ 7 28],[ 5.25373134 26.74626866] ; [ 5.74626866 29.25373134],0
s4,1,0.416659,0.65972,[ 6 28] ; [ 9 26],[ 7.39130435 26.60869565] ; [ 7.60869565 27.39130435],0
s7,1,0.435888,0.607085,[ 9 23] ; [ 7 28],[ 7.64179104 24.35820896] ; [ 8.35820896 26.64179104],0
r2,1,0.493236,0.469459,[16 15] ; [21 14],[17.37878788 13.62121212] ; [19.62121212 15.37878788],0
p3,1,0.50957,0.434949,[ 8 26] ; [ 6 29],[ 6.89855072 27.10144928] ; [ 7.10144928 27.89855072],0
b2,1,0.514991,0.423913,[ 8 15] ; [ 4 12],[ 7.07692308 15.92307692] ; [ 4.92307692 11.07692308],0
b3,1,0.514991,0.423913,[ 8 15] ; [ 4 12],[ 7.07692308 15.92307692] ; [ 4.92307692 11.07692308],0
v4,1,0.544658,0.366975,[21 12] ; [24 10],[22.1641791 10.8358209] ; [22.8358209 11.1641791],0
p5,1,0.55484,0.348718,[ 1 33] ; [ 2 32],[ 1.5 32.5] ; [ 1.5 32.5],0
a3,1,0.611791,0.257576,[13 21] ; [11 23],[12. 22.] ; [12. 22.],0
