Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000597,11.785048,[38 15] ; [ 3 11],[32.43283582 20.56716418] ; [8.56716418 5.43283582],1
r3,1,0.017271,5.668602,[43 10] ; [7 7],[39.55223881 13.44776119] ; [10.44776119  3.55223881],0
u3,1,0.036226,4.386448,[14  8] ; [2 7],[11.35483871 10.64516129] ; [4.64516129 4.35483871],0
p7,1,0.044704,4.029786,[21 30] ; [10  4],[24.32307692 26.67692308] ; [6.67692308 7.32307692],0
r1,1,0.055023,3.681401,[34 19] ; [5 9],[30.85074627 22.14925373] ; [8.14925373 5.85074627],0
v4,1,0.07365,3.199744,[41 10] ; [8 6],[38.44615385 12.55384615] ; [10.55384615  3.44615385],0
d1,1,0.096562,2.761431,[20 33] ; [ 2 12],[17.40298507 35.59701493] ; [4.59701493 9.40298507],0
a5,1,0.106048,2.612149,[28 25] ; [ 4 10],[25.31343284 27.68656716] ; [6.68656716 7.31343284],0
b3,1,0.114918,2.485247,[14 19] ; [1 7],[12.07317073 20.92682927] ; [2.92682927 5.07317073],0
b2,1,0.114918,2.485247,[14 19] ; [1 7],[12.07317073 20.92682927] ; [2.92682927 5.07317073],0
s4,1,0.125184,2.351238,[ 9 44] ; [5 9],[11.07462687 41.92537313] ; [ 2.92537313 11.07462687],0
a3,1,0.12847,2.310894,[31 22] ; [5 9],[28.47761194 24.52238806] ; [7.52238806 6.47761194],0
p2,1,0.136272,2.219554,[25 26] ; [10  4],[27.46153846 23.53846154] ; [7.53846154 6.46153846],0
s3,1,0.15366,2.035536,[32 21] ; [5 8],[29.71212121 23.28787879] ; [7.28787879 5.71212121],0
a6,1,0.167051,1.909212,[22 31] ; [ 3 11],[19.7761194 33.2238806] ; [5.2238806 8.7761194],0
b1,1,0.206667,1.594626,[32 21] ; [11  3],[34.01492537 18.98507463] ; [8.98507463 5.01492537],0
d2,1,0.211601,1.560441,[25 28] ; [ 4 10],[22.94029851 30.05970149] ; [6.05970149 7.94029851],0
b4,1,0.239291,1.384765,[32 21] ; [6 8],[30.05970149 22.94029851] ; [7.94029851 6.05970149],0
p6,1,0.252634,1.30868,[10 38] ; [5 9],[11.61290323 36.38709677] ; [ 3.38709677 10.61290323],0
d3,1,0.253056,1.306355,[20 33] ; [ 3 11],[18.19402985 34.80597015] ; [4.80597015 9.19402985],0
n1,1,0.311405,1.024707,[13 10] ; [2 4],[11.89655172 11.10344828] ; [3.10344828 2.89655172],0
s7,1,0.3439,0.895839,[16 33] ; [2 9],[14.7 34.3] ; [3.3 7.7],0
d5,1,0.358884,0.841796,[30 23] ; [6 8],[28.47761194 24.52238806] ; [7.52238806 6.47761194],0
n2,1,0.36131,0.833333,[20  4] ; [4 2],[19.2  4.8] ; [4.8 1.2],0
n3,1,0.369219,0.806293,[16  7] ; [3 3],[15.06896552  7.93103448] ; [3.93103448 2.06896552],0
v1,1,0.373192,0.793007,[26 27] ; [5 9],[24.52238806 28.47761194] ; [6.47761194 7.52238806],0
v3,1,0.37975,0.77151,[12 35] ; [ 2 12],[10.78688525 36.21311475] ; [ 3.21311475 10.78688525],0
u2,1,0.444549,0.584512,[14  8] ; [7 2],[14.90322581  7.09677419] ; [6.09677419 2.90322581],0
s6,1,0.484811,0.488023,[24 28] ; [5 9],[22.84848485 29.15151515] ; [6.15151515 7.84848485],0
v2,1,0.508508,0.437137,[20 29] ; [4 9],[18.96774194 30.03225806] ; [5.03225806 7.96774194],0
p8,1,0.519023,0.415835,[14 38] ; [5 9],[14.96969697 37.03030303] ; [4.03030303 9.96969697],0
s2,1,0.524731,0.404584,[20 33] ; [ 4 10],[18.98507463 34.01492537] ; [5.01492537 8.98507463],0
a8,1,0.565846,0.329682,[ 2 49] ; [ 1 12],[ 2.390625 48.609375] ; [ 0.609375 12.390625],0
p10,1,0.572593,0.318363,[23 28] ; [7 6],[23.90625 27.09375] ; [6.09375 6.90625],0
n5,1,0.606729,0.264965,[22 30] ; [7 7],[22.84848485 29.15151515] ; [6.15151515 7.84848485],0
p9,1,0.619423,0.246679,[28 24] ; [6 7],[27.2 24.8] ; [6.8 6.2],0
p11,1,0.658528,0.195317,[30 23] ; [7 7],[29.26865672 23.73134328] ; [7.73134328 6.26865672],0
p3,1,0.670242,0.181319,[18 34] ; [ 4 10],[17.33333333 34.66666667] ; [4.66666667 9.33333333],0
b5,1,0.679583,0.170596,[26 27] ; [6 8],[25.31343284 27.68656716] ; [6.68656716 7.31343284],0
d4,1,0.765114,0.089265,[32 20] ; [8 6],[31.51515152 20.48484848] ; [8.48484848 5.51515152],0
a1,1,0.789454,0.0713,[ 5 48] ; [ 1 13],[ 4.74626866 48.25373134] ; [ 1.25373134 12.74626866],0
a4,1,0.801525,0.063189,[17 36] ; [ 4 10],[16.6119403 36.3880597] ; [4.3880597 9.6119403],0
s8,1,0.808822,0.058538,[13 40] ; [ 3 11],[12.65671642 40.34328358] ; [ 3.34328358 10.65671642],0
s5,1,0.840889,0.040303,[12 38] ; [ 3 11],[11.71875 38.28125] ; [ 3.28125 10.71875],0
s1,1,0.848371,0.036556,[ 3 49] ; [ 1 13],[ 3.15151515 48.84848485] ; [ 0.84848485 13.15151515],0
n4,1,0.850439,0.035554,[28 25] ; [7 7],[27.68656716 25.31343284] ; [7.31343284 6.68656716],0
p4,1,0.910002,0.012777,[21 30] ; [6 8],[21.18461538 29.81538462] ; [5.81538462 8.18461538],0
