Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,29.272553,[ 24 115] ; [53 54],[43.50813008 95.49186992] ; [33.49186992 73.50813008],1
d5,1,4e-06,21.071772,[85 56] ; [96 15],[101.27380952  39.72619048] ; [79.72619048 31.27380952],1
d1,1,2e-05,18.234357,[52 89] ; [71 40],[68.82142857 72.17857143] ; [54.17857143 56.82142857],1
r3,1,2e-05,18.231374,[106  34] ; [105   5],[118.16  21.84] ; [92.84 17.16],1
v1,1,0.000302,13.055879,[40 99] ; [55 52],[53.67886179 85.32113821] ; [41.32113821 65.67886179],1
d4,1,0.000375,12.652447,[96 45] ; [96 14],[107.85657371  33.14342629] ; [84.14342629 25.85657371],1
r1,1,0.00103,10.772928,[83 58] ; [87 24],[95.11904762 45.88095238] ; [74.88095238 36.11904762],0
p11,1,0.005155,7.824329,[76 65] ; [79 32],[86.72619048 54.27380952] ; [68.27380952 42.72619048],0
s6,1,0.011968,6.315667,[58 81] ; [63 46],[67.81854839 71.18145161] ; [53.18145161 55.81854839],0
b1,1,0.017465,5.649006,[57 84] ; [29 82],[48.11904762 92.88095238] ; [37.88095238 73.11904762],0
a7,1,0.018195,5.57726,[88 53] ; [84 26],[96.62151394 44.37848606] ; [75.37848606 34.62151394],0
s1,1,0.018247,5.572322,[ 10 131] ; [  1 108],[  6.204 134.796] ; [  4.796 104.204],0
s2,1,0.018821,5.518038,[40 99] ; [47 62],[48.76209677 90.23790323] ; [38.23790323 70.76209677],0
p10,1,0.023615,5.122654,[76 63] ; [75 34],[84.63306452 54.36693548] ; [66.36693548 42.63306452],0
s8,1,0.029108,4.761228,[ 29 112] ; [36 74],[ 36.51394422 104.48605578] ; [28.48605578 81.51394422],0
d3,1,0.030386,4.687309,[79 62] ; [77 34],[87.28571429 53.71428571] ; [68.71428571 42.28571429],0
p2,1,0.030386,4.687309,[79 62] ; [77 34],[87.28571429 53.71428571] ; [68.71428571 42.28571429],0
p4,1,0.037412,4.331556,[ 27 113] ; [34 77],[ 34.02390438 105.97609562] ; [26.97609562 84.02390438],0
r4,1,0.041267,4.165019,[97 44] ; [89 22],[104.07142857  36.92857143] ; [81.92857143 29.07142857],0
a5,1,0.042972,4.096505,[83 58] ; [79 32],[90.64285714 50.35714286] ; [71.35714286 39.64285714],0
s7,1,0.055234,3.675,[38 97] ; [43 65],[45. 90.] ; [36. 72.],0
d2,1,0.056881,3.626064,[55 85] ; [56 53],[62.40963855 77.59036145] ; [48.59036145 60.40963855],0
p9,1,0.060328,3.528356,[87 50] ; [80 27],[93.76639344 43.23360656] ; [73.23360656 33.76639344],0
n5,1,0.073685,3.19897,[95 46] ; [62 48],[88.19521912 52.80478088] ; [68.80478088 41.19521912],0
n6,1,0.1058,2.615859,[97 43] ; [87 24],[102.62948207  37.37051793] ; [81.37051793 29.62948207],0
p12,1,0.107824,2.585835,[  4 135] ; [  8 102],[  6.69879518 132.30120482] ; [  5.30120482 104.69879518],0
n3,1,0.134349,2.241518,[30 26] ; [23 10],[33.34831461 22.65168539] ; [19.65168539 13.34831461],0
u1,1,0.135042,2.233567,[ 15 126] ; [19 92],[ 19.02380952 121.97619048] ; [14.97619048 96.02380952],0
r2,1,0.178058,1.813759,[117  22] ; [99 11],[120.57831325  18.42168675] ; [95.42168675 14.57831325],0
p5,1,0.179238,1.803932,[  7 134] ; [  2 109],[  5.03571429 135.96428571] ; [  3.96428571 107.03571429],0
p6,1,0.202622,1.623377,[ 11 129] ; [14 96],[ 14. 126.] ; [11. 99.],0
v4,1,0.223694,1.480512,[113  27] ; [96 15],[116.57370518  23.42629482] ; [92.42629482 18.57370518],0
p1,1,0.224943,1.472556,[ 10 130] ; [  4 107],[  7.80876494 132.19123506] ; [  6.19123506 104.80876494],0
a3,1,0.226196,1.464623,[81 58] ; [73 38],[85.624 53.376] ; [68.376 42.624],0
n1,1,0.234316,1.414471,[23 35] ; [ 9 24],[20.3956044 37.6043956] ; [11.6043956 21.3956044],0
s3,1,0.259553,1.271141,[51 87] ; [48 61],[55.31174089 82.68825911] ; [43.68825911 65.31174089],0
u3,1,0.390253,0.738155,[31 29] ; [23 15],[33.06122449 26.93877551] ; [20.93877551 17.06122449],0
u2,1,0.406941,0.687719,[28 32] ; [21 17],[30. 30.] ; [19. 19.],0
s5,1,0.456554,0.554329,[ 25 112] ; [23 81],[ 27.28630705 109.71369295] ; [20.71369295 83.28630705],0
a8,1,0.499377,0.456261,[ 16 119] ; [ 9 90],[ 14.42307692 120.57692308] ; [10.57692308 88.42307692],0
a1,1,0.518095,0.417684,[  9 132] ; [  5 106],[  7.83333333 133.16666667] ; [  6.16666667 104.83333333],0
a4,1,0.575965,0.312804,[54 85] ; [47 64],[56.156 82.844] ; [44.844 66.156],0
b5,1,0.582065,0.302907,[88 53] ; [73 38],[90.08333333 50.91666667] ; [70.91666667 40.08333333],0
p8,1,0.62184,0.243291,[ 27 113] ; [24 86],[ 28.56 111.44] ; [22.44 87.56],0
n4,1,0.639088,0.219937,[90 51] ; [74 37],[91.76190476 49.23809524] ; [72.23809524 38.76190476],0
u4,1,0.706874,0.141419,[  2 139] ; [  1 110],[  1.67857143 139.32142857] ; [  1.32142857 109.67857143],0
s4,1,0.712623,0.135672,[ 25 114] ; [18 93],[ 23.908 115.092] ; [19.092 91.908],0
b4,1,0.761379,0.092216,[85 56] ; [69 42],[86.16666667 54.83333333] ; [67.83333333 43.16666667],0
a6,1,0.774731,0.081906,[89 52] ; [72 39],[90.08333333 50.91666667] ; [70.91666667 40.08333333],0
n2,1,0.827211,0.047646,[38 21] ; [22 11],[38.47826087 20.52173913] ; [21.52173913 11.47826087],0
a2,1,0.96318,0.002131,[ 27 114] ; [21 90],[ 26.85714286 114.14285714] ; [21.14285714 89.85714286],0
b3,1,0.975778,0.000922,[30 51] ; [22 37],[30.08571429 50.91428571] ; [21.91428571 37.08571429],0
