Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7e-06,20.28,[63 27] ; [17 37],[50. 40.] ; [30. 24.],1
a6,1,0.000246,13.44,[63 27] ; [21 33],[52.5 37.5] ; [31.5 22.5],1
a2,1,0.000421,12.435339,[25 67] ; [ 2 52],[17.01369863 74.98630137] ; [ 9.98630137 44.01369863],1
u1,1,0.000626,11.696673,[21 71] ; [ 1 53],[13.8630137 78.1369863] ; [ 8.1369863 45.8630137],1
d1,1,0.00609,7.523349,[54 38] ; [19 35],[46. 46.] ; [27. 27.],0
n6,1,0.011751,6.348068,[77 14] ; [36 18],[70.91724138 20.08275862] ; [42.08275862 11.91724138],0
n5,1,0.017632,5.632321,[65 27] ; [27 26],[58.37241379 33.62758621] ; [33.62758621 19.37241379],0
p10,1,0.022677,5.193104,[63 27] ; [27 26],[56.64335664 33.35664336] ; [33.35664336 19.64335664],0
n2,1,0.023048,5.164912,[18  9] ; [18  1],[21.13043478  5.86956522] ; [14.86956522  4.13043478],0
n4,1,0.027334,4.869602,[66 26] ; [29 25],[59.8630137 32.1369863] ; [35.1369863 18.8630137],0
d4,1,0.043492,4.076181,[72 18] ; [35 19],[66.875 23.125] ; [40.125 13.875],0
b5,1,0.074226,3.186998,[63 29] ; [29 25],[57.97260274 34.02739726] ; [34.02739726 19.97260274],0
s8,1,0.132203,2.266442,[33 58] ; [26 27],[37.28472222 53.71527778] ; [21.71527778 31.28472222],0
v2,1,0.137666,2.203853,[48 39] ; [21 29],[43.81751825 43.18248175] ; [25.18248175 24.81751825],0
a3,1,0.143645,2.138473,[60 31] ; [29 25],[55.85517241 35.14482759] ; [33.14482759 20.85517241],0
v3,1,0.145182,2.122161,[36 50] ; [14 34],[32.08955224 53.91044776] ; [17.91044776 30.08955224],0
p9,1,0.186916,1.741761,[64 26] ; [32 21],[60.41958042 29.58041958] ; [35.58041958 17.41958042],0
d5,1,0.245838,1.346801,[65 25] ; [34 20],[61.875 28.125] ; [37.125 16.875],0
p11,1,0.247132,1.339442,[56 36] ; [38 16],[59.23287671 32.76712329] ; [34.76712329 19.23287671],0
v4,1,0.25758,1.281719,[89  3] ; [50  4],[87.5890411  4.4109589] ; [51.4109589  2.5890411],0
a5,1,0.321878,0.981302,[62 30] ; [32 22],[59.23287671 32.76712329] ; [34.76712329 19.23287671],0
r1,1,0.328528,0.954693,[76 16] ; [41 13],[73.7260274 18.2739726] ; [43.2739726 10.7260274],0
s1,1,0.34318,0.898517,[ 5 87] ; [ 5 47],[ 6.38888889 85.61111111] ; [ 3.61111111 48.38888889],0
p4,1,0.370089,0.803367,[29 61] ; [21 32],[31.46853147 58.53146853] ; [18.53146853 34.46853147],0
b1,1,0.394557,0.724851,[41 51] ; [28 26],[43.47945205 48.52054795] ; [25.52054795 28.47945205],0
s5,1,0.397944,0.714531,[25 63] ; [17 31],[27.17647059 60.82352941] ; [14.82352941 33.17647059],0
a1,1,0.470098,0.521745,[ 6 86] ; [ 2 52],[ 5.04109589 86.95890411] ; [ 2.95890411 51.04109589],0
p6,1,0.522167,0.409611,[20 72] ; [14 39],[21.57241379 70.42758621] ; [12.42758621 40.57241379],0
n1,1,0.539715,0.376068,[12 14] ; [10  8],[13. 13.] ; [9. 9.],0
b2,1,0.544965,0.366415,[19 39] ; [14 22],[20.36170213 37.63829787] ; [12.63829787 23.36170213],0
b3,1,0.544965,0.366415,[19 39] ; [14 22],[20.36170213 37.63829787] ; [12.63829787 23.36170213],0
p8,1,0.600943,0.273576,[24 68] ; [12 42],[22.68493151 69.31506849] ; [13.31506849 40.68493151],0
d2,1,0.63785,0.221565,[41 49] ; [22 31],[39.65034965 50.34965035] ; [23.34965035 29.65034965],0
a8,1,0.642629,0.21532,[10 75] ; [ 5 49],[ 9.17266187 75.82733813] ; [ 5.82733813 48.17266187],0
s7,1,0.718926,0.129524,[36 49] ; [20 31],[35. 50.] ; [21. 30.],0
p7,1,0.729126,0.119915,[32 58] ; [20 32],[32.95774648 57.04225352] ; [19.04225352 32.95774648],0
s4,1,0.75057,0.101053,[18 72] ; [12 42],[18.75 71.25] ; [11.25 42.75],0
p12,1,0.808992,0.058432,[ 8 84] ; [ 4 49],[ 7.6137931 84.3862069] ; [ 4.3862069 48.6137931],0
s2,1,0.834471,0.043669,[43 48] ; [26 27],[43.60416667 47.39583333] ; [25.39583333 27.60416667],0
p1,1,0.837935,0.041835,[ 6 86] ; [ 4 50],[ 6.30136986 85.69863014] ; [ 3.69863014 50.30136986],0
r3,1,0.849876,0.035825,[88  4] ; [52  2],[88.21917808  3.78082192] ; [51.78082192  2.21917808],0
u4,1,0.849876,0.035825,[ 4 88] ; [ 2 52],[ 3.78082192 88.21917808] ; [ 2.21917808 51.78082192],0
a4,1,0.852118,0.034751,[39 52] ; [24 30],[39.53793103 51.46206897] ; [23.46206897 30.53793103],0
s6,1,0.868975,0.027212,[59 32] ; [33 19],[58.54545455 32.45454545] ; [33.45454545 18.54545455],0
b4,1,0.878897,0.023216,[54 38] ; [31 23],[53.56164384 38.43835616] ; [31.43835616 22.56164384],0
r2,1,0.896684,0.016861,[88  3] ; [52  2],[87.86206897  3.13793103] ; [52.13793103  1.86206897],0
u3,1,0.907259,0.013571,[20 12] ; [16  9],[20.21052632 11.78947368] ; [15.78947368  9.21052632],0
s3,1,0.913223,0.011875,[45 45] ; [26 27],[44.68531469 45.31468531] ; [26.31468531 26.68531469],0
v1,1,0.933517,0.006959,[38 52] ; [22 31],[37.76223776 52.23776224] ; [22.23776224 30.76223776],0
u2,1,0.9375,0.006148,[19 13] ; [14 10],[18.85714286 13.14285714] ; [14.14285714  9.85714286],0
n3,1,0.972606,0.001179,[20  6] ; [13  4],[19.95348837  6.04651163] ; [13.04651163  3.95348837],0
p5,1,0.985356,0.000337,[ 7 83] ; [ 4 48],[ 6.97183099 83.02816901] ; [ 4.02816901 47.97183099],0
p3,1,0.99802,6e-06,[32 59] ; [19 35],[32.00689655 58.99310345] ; [18.99310345 35.00689655],0
