Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,77.857209,[239  29] ; [26 39],[213.27327327  54.72672673] ; [51.72672673 13.27327327],1
n6,1,0.0,39.583172,[244  23] ; [38 25],[228.16363636  38.83636364] ; [53.83636364  9.16363636],1
d5,1,4.5e-05,16.631308,[224  42] ; [40 25],[212.1570997  53.8429003] ; [51.8429003 13.1570997],1
s7,1,0.000348,12.793568,[190  73] ; [29 31],[178.31888545  84.68111455] ; [40.68111455 19.31888545],1
p10,1,0.000544,11.957776,[235  32] ; [46 19],[225.98493976  41.01506024] ; [55.01506024  9.98493976],1
p5,1,0.003399,8.580073,[ 47 220] ; [ 2 62],[ 39.52567976 227.47432024] ; [ 9.47432024 54.52567976],0
p9,1,0.003518,8.517235,[239  29] ; [49 16],[231.78378378  36.21621622] ; [56.21621622  8.78378378],0
p11,1,0.00364,8.45528,[228  41] ; [45 20],[219.87125749  49.12874251] ; [53.12874251 11.87125749],0
s4,1,0.004919,7.908868,[ 51 215] ; [23 42],[ 59.46827795 206.53172205] ; [14.53172205 50.46827795],0
d1,1,0.010273,6.58694,[167 102] ; [29 36],[157.85628743 111.14371257] ; [38.14371257 26.85628743],0
r2,1,0.013802,6.063305,[254   9] ; [58  7],[250.17073171  12.82926829] ; [61.82926829  3.17073171],0
a8,1,0.015609,5.846431,[ 51 203] ; [ 4 55],[ 44.63258786 209.36741214] ; [10.36741214 48.63258786],0
r4,1,0.016123,5.789449,[252  17] ; [55 10],[247.25449102  21.74550898] ; [59.74550898  5.25449102],0
v1,1,0.017875,5.608336,[154 109] ; [26 36],[145.66153846 117.33846154] ; [34.33846154 27.66153846],0
p3,1,0.019941,5.417027,[170  98] ; [31 34],[161.76576577 106.23423423] ; [39.23423423 25.76576577],0
p6,1,0.022625,5.197096,[143 125] ; [24 40],[134.80722892 133.19277108] ; [32.19277108 31.80722892],0
v3,1,0.026353,4.932702,[121 141] ; [19 43],[113.20987654 148.79012346] ; [26.79012346 35.20987654],0
n1,1,0.049189,3.868884,[20 22] ; [ 4 15],[16.52459016 25.47540984] ; [ 7.47540984 11.52459016],0
b2,1,0.05273,3.752469,[ 74 105] ; [ 9 28],[ 68.78240741 110.21759259] ; [14.21759259 22.78240741],0
b3,1,0.05273,3.752469,[ 74 105] ; [ 9 28],[ 68.78240741 110.21759259] ; [14.21759259 22.78240741],0
r1,1,0.06095,3.511342,[228  40] ; [49 16],[222.93093093  45.06906907] ; [54.06906907 10.93093093],0
s8,1,0.061165,3.505519,[166 102] ; [32 33],[159.35135135 108.64864865] ; [38.64864865 26.35135135],0
a3,1,0.063104,3.453873,[206  62] ; [42 22],[200.19277108  67.80722892] ; [47.80722892 16.19277108],0
p2,1,0.075065,3.168646,[244  25] ; [54 11],[240.00598802  28.99401198] ; [57.99401198  7.00598802],0
a5,1,0.087518,2.919439,[202  67] ; [42 23],[196.51497006  72.48502994] ; [47.48502994 17.51497006],0
s6,1,0.093186,2.818463,[224  38] ; [50 15],[219.5351682  42.4648318] ; [54.4648318 10.5351682],0
p12,1,0.096792,2.757619,[ 31 237] ; [ 3 62],[ 27.36336336 240.63663664] ; [ 6.63663664 58.36336336],0
n2,1,0.105854,2.615054,[38  4] ; [15  5],[35.90322581  6.09677419] ; [17.09677419  2.90322581],0
v4,1,0.160033,1.973913,[257  10] ; [59  5],[254.90030211  12.09969789] ; [61.09969789  2.90030211],0
a2,1,0.166104,1.917762,[ 72 197] ; [12 53],[ 67.65269461 201.34730539] ; [16.34730539 48.65269461],0
s2,1,0.204573,1.609425,[214  55] ; [47 18],[210.20658683  58.79341317] ; [50.79341317 14.20658683],0
b5,1,0.218827,1.512046,[147 122] ; [41 24],[151.41317365 117.58682635] ; [36.58682635 28.41317365],0
p8,1,0.230593,1.4372,[181  88] ; [38 26],[176.90990991  92.09009009] ; [42.09009009 21.90990991],0
u2,1,0.330339,0.94757,[32 30] ; [14  8],[33.95238095 28.04761905] ; [12.04761905  9.95238095],0
b4,1,0.335719,0.926711,[152 117] ; [41 24],[155.44011976 113.55988024] ; [37.55988024 27.44011976],0
d3,1,0.360102,0.837539,[192  75] ; [43 22],[188.99096386  78.00903614] ; [46.00903614 18.99096386],0
a1,1,0.371266,0.799422,[ 21 248] ; [ 3 62],[ 19.32934132 249.67065868] ; [ 4.67065868 60.32934132],0
d4,1,0.38337,0.759868,[224  42] ; [51 13],[221.66666667  44.33333333] ; [53.33333333 10.66666667],0
v2,1,0.444654,0.584244,[154 105] ; [33 28],[151.353125 107.646875] ; [35.646875 25.353125],0
u1,1,0.462729,0.539285,[ 52 217] ; [10 55],[ 49.93413174 219.06586826] ; [12.06586826 52.93413174],0
b1,1,0.467795,0.527179,[121 148] ; [26 39],[118.39221557 150.60778443] ; [28.60778443 36.39221557],0
s1,1,0.474811,0.510757,[ 11 257] ; [ 4 61],[ 12.07207207 255.92792793] ; [ 2.92792793 62.07207207],0
a4,1,0.491939,0.472283,[124 144] ; [27 38],[121.52552553 146.47447447] ; [29.47447447 35.52552553],0
u4,1,0.521241,0.411436,[  8 261] ; [ 1 64],[  7.24850299 261.75149701] ; [ 1.75149701 63.24850299],0
p4,1,0.529544,0.395266,[192  76] ; [44 21],[189.93393393  78.06606607] ; [46.06606607 18.93393393],0
s5,1,0.54881,0.359454,[120 140] ; [26 36],[117.88819876 142.11180124] ; [28.11180124 33.88819876],0
n3,1,0.576861,0.311337,[34  9] ; [17  3],[34.80952381  8.19047619] ; [16.19047619  3.80952381],0
d2,1,0.596689,0.280018,[133 134] ; [30 35],[131.0873494 135.9126506] ; [31.9126506 33.0873494],0
