Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,26.426391,[ 3 14] ; [69 17],[11.88349515  5.11650485] ; [60.11650485 25.88349515],1
v4,1,0.001707,9.840854,[10  7] ; [75  9],[14.30693069  2.69306931] ; [70.69306931 13.30693069],0
r1,1,0.003251,8.661053,[ 4 13] ; [53 32],[9.5 7.5] ; [47.5 37.5],0
u3,1,0.004995,7.881225,[ 1 12] ; [24 23],[5.41666667 7.58333333] ; [19.58333333 27.41666667],0
s3,1,0.005564,7.686382,[ 2 15] ; [40 43],[7.14 9.86] ; [34.86 48.14],0
s2,1,0.0106,6.531225,[ 1 16] ; [32 53],[ 5.5 11.5] ; [27.5 57.5],0
d5,1,0.011101,6.449032,[ 2 15] ; [38 47],[ 6.66666667 10.33333333] ; [33.33333333 51.66666667],0
p10,1,0.011618,6.368216,[ 5 11] ; [54 29],[9.53535354 6.46464646] ; [49.46464646 33.53535354],0
p9,1,0.020623,5.358341,[7 9] ; [60 22],[10.93877551  5.06122449] ; [56.06122449 25.93877551],0
b1,1,0.021715,5.268504,[11  6] ; [30 56],[ 6.76699029 10.23300971] ; [34.23300971 51.76699029],0
a6,1,0.030032,4.707437,[ 5 12] ; [50 36],[9.0776699 7.9223301] ; [45.9223301 40.0776699],0
s6,1,0.041032,4.1747,[ 4 13] ; [43 42],[7.83333333 9.16666667] ; [39.16666667 45.83333333],0
a7,1,0.051328,3.797538,[ 5 12] ; [47 38],[8.66666667 8.33333333] ; [43.33333333 41.66666667],0
r3,1,0.051353,3.796735,[9 7] ; [68 18],[12.07843137  3.92156863] ; [64.92156863 21.07843137],0
n6,1,0.095195,2.784252,[9 8] ; [63 23],[11.88349515  5.11650485] ; [60.11650485 25.88349515],0
v1,1,0.099656,2.711038,[ 3 14] ; [32 51],[ 5.95 11.05] ; [29.05 53.95],0
n3,1,0.10065,2.695221,[6 5] ; [21  5],[8.02702703 2.97297297] ; [18.97297297  7.02702703],0
a3,1,0.121202,2.401722,[ 4 12] ; [39 46],[6.81188119 9.18811881] ; [36.18811881 48.81188119],0
n2,1,0.133505,2.251265,[6 5] ; [22  6],[7.8974359 3.1025641] ; [20.1025641  7.8974359],0
a4,1,0.139255,2.186176,[ 1 16] ; [18 67],[ 3.16666667 13.83333333] ; [15.83333333 69.16666667],0
s7,1,0.140711,2.170172,[ 2 14] ; [25 57],[ 4.40816327 11.59183673] ; [22.59183673 59.40816327],0
p11,1,0.177632,1.817323,[9 8] ; [60 26],[11.38834951  5.61165049] ; [57.61165049 28.38834951],0
n4,1,0.177632,1.817323,[9 8] ; [60 26],[11.38834951  5.61165049] ; [57.61165049 28.38834951],0
s5,1,0.185804,1.750575,[ 1 16] ; [16 68],[ 2.86138614 14.13861386] ; [14.13861386 69.86138614],0
