Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,64.775216,[123  20] ; [41 69],[92.69565217 50.30434783] ; [71.30434783 38.69565217],1
s2,1,4e-06,21.466306,[124  25] ; [66 49],[107.23484848  41.76515152] ; [82.76515152 32.23484848],1
s3,1,1.6e-05,18.620838,[118  31] ; [60 51],[102.00769231  46.99230769] ; [75.99230769 35.00769231],1
v1,1,4.8e-05,16.514781,[105  45] ; [51 62],[88.97338403 61.02661597] ; [67.02661597 45.97338403],1
n5,1,0.00058,11.839001,[134  16] ; [84 31],[123.39622642  26.60377358] ; [94.60377358 20.39622642],1
p6,1,0.000836,11.15895,[84 64] ; [41 73],[70.61068702 77.38931298] ; [54.38931298 59.61068702],1
a5,1,0.0011,10.650588,[132  18] ; [83 32],[121.69811321  28.30188679] ; [93.30188679 21.69811321],0
a3,1,0.001118,10.621826,[127  22] ; [78 36],[116.14068441  32.85931559] ; [88.85931559 25.14068441],0
v3,1,0.001147,10.573369,[80 67] ; [39 75],[67.02298851 79.97701149] ; [51.97701149 62.02298851],0
s6,1,0.001973,9.574764,[138  11] ; [90 23],[129.66412214  19.33587786] ; [98.33587786 14.66412214],0
p7,1,0.002407,9.209753,[118  28] ; [71 40],[107.36964981  38.63035019] ; [81.63035019 29.36964981],0
d1,1,0.008183,6.993062,[107  43] ; [64 51],[96.79245283 53.20754717] ; [74.20754717 40.79245283],0
n4,1,0.009216,6.780403,[129  20] ; [85 30],[120.78030303  28.21969697] ; [93.21969697 21.78030303],0
p8,1,0.012144,6.289742,[98 50] ; [58 56],[88.1221374 59.8778626] ; [67.8778626 46.1221374],0
r4,1,0.012379,6.255713,[147   3] ; [105  10],[142.64150943   7.35849057] ; [109.35849057   5.64150943],0
r1,1,0.014407,5.987614,[133  16] ; [90 25],[125.85984848  23.14015152] ; [97.14015152 17.85984848],0
p10,1,0.016766,5.72066,[139  10] ; [95 18],[133.07633588  15.92366412] ; [100.92366412  12.07633588],0
b1,1,0.021661,5.272793,[65 85] ; [34 81],[56.03773585 93.96226415] ; [42.96226415 72.03773585],0
