Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,25.223979,[72 89] ; [44  8],[87.68075117 73.31924883] ; [28.31924883 23.68075117],1
p8,1,0.000335,12.861858,[ 60 106] ; [34 19],[71.25114155 94.74885845] ; [22.74885845 30.25114155],1
p4,1,0.000343,12.817231,[ 63 103] ; [35 18],[74.28310502 91.71689498] ; [23.71689498 29.28310502],1
p3,1,0.000955,10.91199,[ 47 120] ; [28 25],[ 56.93181818 110.06818182] ; [18.06818182 34.93181818],1
p1,1,0.004108,8.235376,[  5 160] ; [ 7 45],[  9.12442396 155.87557604] ; [ 2.87557604 49.12442396],0
s2,1,0.006763,7.33493,[68 98] ; [33 20],[76.55707763 89.44292237] ; [24.44292237 28.55707763],0
b1,1,0.008336,6.959723,[ 49 118] ; [26 27],[ 56.93181818 110.06818182] ; [18.06818182 34.93181818],0
s4,1,0.010435,6.559053,[ 34 133] ; [20 33],[ 40.99090909 126.00909091] ; [13.00909091 39.99090909],0
s8,1,0.037192,4.34159,[ 48 119] ; [23 29],[ 54.14155251 112.85844749] ; [16.85844749 35.14155251],0
a1,1,0.037688,4.31905,[  3 164] ; [ 4 49],[  5.31363636 161.68636364] ; [ 1.68636364 51.31363636],0
p12,1,0.038616,4.277687,[  3 163] ; [ 4 49],[  5.30593607 160.69406393] ; [ 1.69406393 51.30593607],0
s7,1,0.051122,3.804272,[ 43 115] ; [22 31],[ 48.67298578 109.32701422] ; [16.32701422 36.67298578],0
s5,1,0.054203,3.706438,[ 45 118] ; [21 29],[ 50.50704225 112.49295775] ; [15.49295775 34.50704225],0
a4,1,0.067669,3.338672,[ 47 120] ; [22 31],[ 52.37727273 114.62272727] ; [16.62272727 36.37727273],0
s6,1,0.075172,3.166313,[94 72] ; [36 15],[99.44700461 66.55299539] ; [30.55299539 20.44700461],0
v3,1,0.087465,2.920414,[ 43 113] ; [ 8 43],[ 38.43478261 117.56521739] ; [12.56521739 38.43478261],0
b5,1,0.089271,2.887467,[98 69] ; [38 15],[103.23636364  63.76363636] ; [32.76363636 20.23636364],0
a8,1,0.094459,2.796694,[  6 149] ; [ 5 45],[  8.31707317 146.68292683] ; [ 2.68292683 47.31707317],0
u2,1,0.128534,2.310126,[36 34] ; [16  7],[39.13978495 30.86021505] ; [12.86021505 10.13978495],0
n1,1,0.139255,2.186173,[13 47] ; [ 8 13],[15.55555556 44.44444444] ; [ 5.44444444 15.55555556],0
r1,1,0.194954,1.679774,[119  47] ; [33 20],[115.21461187  50.78538813] ; [36.78538813 16.21461187],0
b3,1,0.236665,1.400349,[21 59] ; [11 18],[23.48623853 56.51376147] ; [ 8.51376147 20.48623853],0
b2,1,0.236665,1.400349,[21 59] ; [11 18],[23.48623853 56.51376147] ; [ 8.51376147 20.48623853],0
p11,1,0.386502,0.74992,[109  58] ; [38 15],[111.58636364  55.41363636] ; [35.41363636 17.58636364],0
n3,1,0.404571,0.694699,[43 17] ; [13  8],[41.48148148 18.51851852] ; [14.51851852  6.48148148],0
b4,1,0.457271,0.552567,[101  66] ; [29 24],[98.68181818 68.31818182] ; [31.31818182 21.68181818],0
n2,1,0.497356,0.460573,[41 19] ; [16  5],[42.22222222 17.77777778] ; [14.77777778  6.22222222],0
u1,1,0.516904,0.420066,[ 14 153] ; [ 6 47],[ 15.18181818 151.81818182] ; [ 4.81818182 48.18181818],0
p2,1,0.574747,0.314804,[118  47] ; [40 13],[119.58715596  45.41284404] ; [38.41284404 14.58715596],0
s1,1,0.591423,0.288128,[  4 163] ; [ 2 51],[  4.55454545 162.44545455] ; [ 1.44545455 51.55454545],0
v1,1,0.604054,0.268925,[ 62 100] ; [22 30],[63.58878505 98.41121495] ; [20.41121495 31.58878505],0
d4,1,0.61629,0.251117,[126  40] ; [42 11],[127.34246575  38.65753425] ; [40.65753425 12.34246575],0
