Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.001094,10.661002,[20  7] ; [ 6 16],[14.32653061 12.67346939] ; [11.67346939 10.32653061],0
v3,1,0.013608,6.088259,[13 15] ; [ 3 19],[ 8.96 19.04] ; [ 7.04 14.96],0
p1,1,0.047512,3.927152,[ 2 27] ; [ 6 16],[ 4.54901961 24.45098039] ; [ 3.45098039 18.54901961],0
s4,1,0.097779,2.741399,[ 3 26] ; [ 6 15],[ 5.22 23.78] ; [ 3.78 17.22],0
d5,1,0.116287,2.466637,[26  3] ; [16  6],[23.88235294  5.11764706] ; [18.11764706  3.88235294],0
s5,1,0.149006,2.082393,[ 6 21] ; [ 8 11],[ 8.2173913 18.7826087] ; [ 5.7826087 13.2173913],0
s8,1,0.151926,2.05281,[19 10] ; [10 12],[16.49019608 12.50980392] ; [12.50980392  9.49019608],0
b1,1,0.161678,1.958464,[12 17] ; [ 5 17],[ 9.66666667 19.33333333] ; [ 7.33333333 14.66666667],0
r3,1,0.180141,1.796463,[28  1] ; [19  3],[26.7254902  2.2745098] ; [20.2745098  1.7254902],0
n3,1,0.200441,1.639156,[8 1] ; [5 3],[6.88235294 2.11764706] ; [6.11764706 1.88235294],0
p10,1,0.201111,1.63429,[22  7] ; [13  9],[19.90196078  9.09803922] ; [15.09803922  6.90196078],0
b5,1,0.201111,1.63429,[22  7] ; [13  9],[19.90196078  9.09803922] ; [15.09803922  6.90196078],0
a5,1,0.224197,1.477303,[24  5] ; [15  7],[22.17647059  6.82352941] ; [16.82352941  5.17647059],0
d2,1,0.264779,1.243596,[19 10] ; [11 11],[17.05882353 11.94117647] ; [12.94117647  9.05882353],0
r1,1,0.3175,0.999216,[21  8] ; [13  9],[19.33333333  9.66666667] ; [14.66666667  7.33333333],0
s3,1,0.339905,0.910788,[14 15] ; [13  8],[15.66 13.34] ; [11.34  9.66],0
n2,1,0.402388,0.701178,[5 4] ; [6 2],[5.82352941 3.17647059] ; [5.17647059 2.82352941],0
n6,1,0.407159,0.68708,[25  4] ; [17  5],[23.88235294  5.11764706] ; [18.11764706  3.88235294],0
b3,1,0.464214,0.535714,[9 6] ; [7 8],[8. 7.] ; [8. 7.],0
b2,1,0.464214,0.535714,[9 6] ; [7 8],[8. 7.] ; [8. 7.],0
s2,1,0.485263,0.487013,[18 10] ; [12 10],[16.8 11.2] ; [13.2  8.8],0
s6,1,0.503454,0.447649,[21  8] ; [14  8],[19.90196078  9.09803922] ; [15.09803922  6.90196078],0
d1,1,0.503454,0.447649,[21  8] ; [14  8],[19.90196078  9.09803922] ; [15.09803922  6.90196078],0
n5,1,0.542721,0.37052,[22  7] ; [15  7],[21.03921569  7.96078431] ; [15.96078431  6.03921569],0
u1,1,0.583067,0.301302,[ 6 23] ; [ 6 16],[ 6.82352941 22.17647059] ; [ 5.17647059 16.82352941],0
a7,1,0.583067,0.301302,[23  6] ; [16  6],[22.17647059  6.82352941] ; [16.82352941  5.17647059],0
r4,1,0.605718,0.266458,[25  4] ; [20  2],[25.58823529  3.41176471] ; [19.41176471  2.58823529],0
n1,1,0.614295,0.253968,[4 4] ; [5 3],[4.5 3.5] ; [4.5 3.5],0
p8,1,0.638271,0.221011,[10 19] ; [ 9 13],[10.80392157 18.19607843] ; [ 8.19607843 13.80392157],0
n4,1,0.669504,0.182183,[25  4] ; [18  4],[24.45098039  4.54901961] ; [18.54901961  3.45098039],0
d4,1,0.669504,0.182183,[25  4] ; [18  4],[24.45098039  4.54901961] ; [18.54901961  3.45098039],0
a6,1,0.689272,0.159875,[20  9] ; [14  8],[19.33333333  9.66666667] ; [14.66666667  7.33333333],0
p4,1,0.689272,0.159875,[20  9] ; [14  8],[19.33333333  9.66666667] ; [14.66666667  7.33333333],0
p9,1,0.717848,0.130564,[26  3] ; [19  3],[25.58823529  3.41176471] ; [19.41176471  2.58823529],0
u4,1,0.723777,0.124902,[ 2 27] ; [ 1 21],[ 1.70588235 27.29411765] ; [ 1.29411765 20.70588235],0
s7,1,0.754447,0.097832,[16 11] ; [14  8],[16.53061224 10.46938776] ; [13.46938776  8.53061224],0
a3,1,0.770283,0.085266,[20  9] ; [16  6],[20.47058824  8.52941176] ; [15.52941176  6.47058824],0
b4,1,0.771028,0.084698,[17 12] ; [12 10],[16.49019608 12.50980392] ; [12.50980392  9.49019608],0
r2,1,0.815021,0.054735,[28  1] ; [20  1],[27.84  1.16] ; [20.16  0.84],0
p2,1,0.823216,0.049912,[23  6] ; [18  4],[23.31372549  5.68627451] ; [17.68627451  4.31372549],0
a2,1,0.823216,0.049912,[ 6 23] ; [ 4 18],[ 5.68627451 23.31372549] ; [ 4.31372549 17.68627451],0
p11,1,0.841542,0.039969,[19 10] ; [15  7],[19.33333333  9.66666667] ; [14.66666667  7.33333333],0
a8,1,0.861327,0.030515,[ 2 24] ; [ 2 20],[ 2.16666667 23.83333333] ; [ 1.83333333 20.16666667],0
p3,1,0.90291,0.014881,[15 14] ; [11 11],[14.78431373 14.21568627] ; [11.21568627 10.78431373],0
d3,1,0.952364,0.003569,[20  9] ; [15  7],[19.90196078  9.09803922] ; [15.09803922  6.90196078],0
a4,1,0.964454,0.001986,[16 13] ; [12 10],[15.92156863 13.07843137] ; [12.07843137  9.92156863],0
u3,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
u2,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
