Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2e-06,23.014206,[157  65] ; [70 82],[134.74331551  87.25668449] ; [92.25668449 59.74331551],1
v3,1,2e-06,22.407198,[121 102] ; [ 46 109],[ 98.52116402 124.47883598] ; [68.47883598 86.52116402],1
s5,1,0.000167,14.169799,[130  92] ; [58 92],[112.19354839 109.80645161] ; [75.80645161 74.19354839],1
s8,1,0.00099,10.846746,[158  75] ; [81 77],[142.42199488  90.57800512] ; [96.57800512 61.42199488],1
n5,1,0.002208,9.367961,[191  40] ; [109  48],[178.60824742  52.39175258] ; [121.39175258  35.60824742],0
p5,1,0.003702,8.424358,[ 39 190] ; [ 11 147],[ 29.58656331 199.41343669] ; [ 20.41343669 137.58656331],0
p12,1,0.018093,5.587124,[ 34 196] ; [ 11 147],[ 26.67525773 203.32474227] ; [ 18.32474227 139.67525773],0
a7,1,0.024382,5.067242,[162  71] ; [126  32],[171.62148338  61.37851662] ; [116.37851662  41.62148338],0
a5,1,0.032677,4.562637,[189  45] ; [113  45],[180.2755102  53.7244898] ; [121.7244898  36.2755102],0
p6,1,0.037811,4.313499,[110 116] ; [60 98],[100.05208333 125.94791667] ; [69.94791667 88.05208333],0
p9,1,0.039365,4.245056,[208  21] ; [130  25],[201.56770833  27.43229167] ; [136.43229167  18.56770833],0
p4,1,0.044107,4.052454,[163  68] ; [96 62],[153.80205656  77.19794344] ; [105.19794344  52.80205656],0
a3,1,0.051948,3.777448,[189  44] ; [115  43],[181.15601023  51.84398977] ; [122.84398977  35.15601023],0
n4,1,0.064553,3.416372,[192  41] ; [118  40],[184.7314578  48.2685422] ; [125.2685422  32.7314578],0
p3,1,0.071416,3.25016,[136  96] ; [78 80],[127.3025641 104.6974359] ; [86.6974359 71.3025641],0
u4,1,0.089958,2.875132,[ 10 224] ; [  2 156],[  7.16326531 226.83673469] ; [  4.83673469 153.16326531],0
p10,1,0.11888,2.432013,[201  29] ; [129  29],[195.6185567  34.3814433] ; [134.3814433  23.6185567],0
p8,1,0.126927,2.329686,[132  96] ; [78 78],[124.6875 103.3125] ; [85.3125 70.6875],0
p11,1,0.132033,2.268436,[187  47] ; [116  42],[180.87244898  53.12755102] ; [122.12755102  35.87244898],0
s4,1,0.133785,2.24802,[ 49 183] ; [ 43 112],[ 55.15245478 176.84754522] ; [ 36.84754522 118.15245478],0
n3,1,0.141827,2.158028,[28 18] ; [31 10],[31.1954023 14.8045977] ; [27.8045977 13.1954023],0
d5,1,0.162543,1.950407,[207  27] ; [132  26],[202.3622449  31.6377551] ; [136.6377551  21.3622449],0
n1,1,0.166312,1.915876,[22 23] ; [14 27],[18.8372093 26.1627907] ; [17.1627907 23.8372093],0
r4,1,0.170146,1.881658,[218  16] ; [141  17],[214.30102041  19.69897959] ; [144.69897959  13.30102041],0
a4,1,0.173199,1.855034,[126 108] ; [74 84],[119.3877551 114.6122449] ; [80.6122449 77.3877551],0
n2,1,0.207743,1.587084,[37  8] ; [29 12],[34.53488372 10.46511628] ; [31.46511628  9.53488372],0
a8,1,0.215622,1.533275,[ 37 181] ; [ 18 129],[ 32.84931507 185.15068493] ; [ 22.15068493 124.84931507],0
p1,1,0.218358,1.515132,[ 23 209] ; [ 10 147],[ 19.68123393 212.31876607] ; [ 13.31876607 143.68123393],0
b3,1,0.271552,1.208889,[67 86] ; [31 54],[63. 90.] ; [35. 50.],0
b2,1,0.271552,1.208889,[67 86] ; [31 54],[63. 90.] ; [35. 50.],0
n6,1,0.343033,0.899065,[199  30] ; [131  26],[195.77720207  33.22279793] ; [134.22279793  22.77720207],0
s7,1,0.360509,0.83612,[160  65] ; [100  50],[156.  69.] ; [104.  46.],0
a6,1,0.367711,0.811386,[149  84] ; [108  50],[153.1483376  79.8516624] ; [103.8516624  54.1483376],0
d3,1,0.391896,0.733052,[178  56] ; [126  32],[181.46938776  52.53061224] ; [122.53061224  35.46938776],0
d1,1,0.401168,0.704823,[172  62] ; [110  48],[168.33673469  65.66326531] ; [113.66326531  44.33673469],0
s1,1,0.41195,0.673167,[  9 221] ; [  9 149],[ 10.67010309 219.32989691] ; [  7.32989691 150.67010309],0
u3,1,0.453262,0.562482,[34 11] ; [28 13],[32.44186047 12.55813953] ; [29.55813953 11.44186047],0
d2,1,0.466937,0.529215,[127 106] ; [92 66],[130.50383632 102.49616368] ; [88.49616368 69.50383632],0
r2,1,0.534476,0.385875,[225   9] ; [147   8],[223.77377892  10.22622108] ; [148.22622108   6.77377892],0
p7,1,0.557763,0.343591,[152  70] ; [101  53],[149.37765957  72.62234043] ; [103.62234043  50.37765957],0
r1,1,0.578764,0.308237,[195  38] ; [128  29],[192.97179487  40.02820513] ; [130.02820513  26.97179487],0
b5,1,0.622605,0.242223,[145  89] ; [94 64],[142.66836735  91.33163265] ; [96.33163265 61.66836735],0
a2,1,0.658561,0.195277,[ 70 164] ; [ 44 114],[ 68.05102041 165.94897959] ; [ 45.94897959 112.05102041],0
v4,1,0.659217,0.194476,[226   7] ; [151   6],[225.23333333   7.76666667] ; [151.76666667   5.23333333],0
s3,1,0.675247,0.175526,[199  33] ; [137  20],[200.3907455  31.6092545] ; [135.6092545  21.3907455],0
u1,1,0.68504,0.164508,[ 59 175] ; [ 37 121],[ 57.30612245 176.69387755] ; [ 38.69387755 119.30612245],0
b1,1,0.717866,0.130547,[ 92 142] ; [65 93],[ 93.71938776 140.28061224] ; [63.28061224 94.71938776],0
a1,1,0.719682,0.128798,[ 17 217] ; [ 10 148],[ 16.11734694 217.88265306] ; [ 10.88265306 147.11734694],0
b4,1,0.754953,0.097416,[137  97] ; [95 63],[138.48979592  95.51020408] ; [93.51020408 64.48979592],0
u2,1,0.815266,0.054587,[29 15] ; [28 13],[29.50588235 14.49411765] ; [27.49411765 13.50588235],0
s6,1,0.831899,0.045057,[199  29] ; [135  21],[198.3125  29.6875] ; [135.6875  20.3125],0
r3,1,0.910603,0.012606,[226   7] ; [151   5],[225.81233933   7.18766067] ; [151.18766067   4.81233933],0
p2,1,0.991735,0.000107,[196  35] ; [134  24],[195.96401028  35.03598972] ; [134.03598972  23.96401028],0
