Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,4.9e-05,16.47571,[ 1 63] ; [2 3],[ 2.7826087 61.2173913] ; [0.2173913 4.7826087],1
a1,1,0.002302,9.291351,[ 2 62] ; [2 4],[ 3.65714286 60.34285714] ; [0.34285714 5.65714286],0
s8,1,0.00418,8.203815,[17 47] ; [5 1],[20.11428571 43.88571429] ; [1.88571429 4.11428571],0
p3,1,0.007525,7.143133,[12 52] ; [4 2],[14.62857143 49.37142857] ; [1.37142857 4.62857143],0
b2,1,0.01128,6.420675,[15 34] ; [5 1],[17.81818182 31.18181818] ; [2.18181818 3.81818182],0
b3,1,0.01128,6.420675,[15 34] ; [5 1],[17.81818182 31.18181818] ; [2.18181818 3.81818182],0
s7,1,0.017284,5.667336,[21 41] ; [5 1],[23.70588235 38.29411765] ; [2.29411765 3.70588235],0
p4,1,0.018486,5.549454,[22 42] ; [5 1],[24.68571429 39.31428571] ; [2.31428571 3.68571429],0
a8,1,0.021544,5.28227,[ 8 46] ; [2 1],[ 9.47368421 44.52631579] ; [0.52631579 2.47368421],0
a2,1,0.025526,4.987877,[ 9 55] ; [3 3],[10.97142857 53.02857143] ; [1.02857143 4.97142857],0
p8,1,0.043534,4.074546,[17 46] ; [4 2],[19.17391304 43.82608696] ; [1.82608696 4.17391304],0
p7,1,0.057467,3.609013,[27 36] ; [5 1],[29.2173913 33.7826087] ; [2.7826087 3.2173913],0
s2,1,0.059894,3.540312,[18 44] ; [4 2],[20.05882353 41.94117647] ; [1.94117647 4.05882353],0
s3,1,0.062278,3.475657,[27 35] ; [5 1],[29.17647059 32.82352941] ; [2.82352941 3.17647059],0
d1,1,0.101986,2.674207,[31 33] ; [5 1],[32.91428571 31.08571429] ; [3.08571429 2.91428571],0
p12,1,0.121498,2.397908,[ 2 61] ; [1 5],[ 2.73913043 60.26086957] ; [0.26086957 5.73913043],0
p6,1,0.131341,2.276584,[14 49] ; [3 3],[15.52173913 47.47826087] ; [1.47826087 4.52173913],0
d2,1,0.187785,1.734914,[35 28] ; [5 1],[36.52173913 26.47826087] ; [3.47826087 2.52173913],0
a4,1,0.2484,1.332282,[27 37] ; [4 2],[28.34285714 35.65714286] ; [2.65714286 3.34285714],0
u1,1,0.330828,0.945653,[11 53] ; [2 4],[11.88571429 52.11428571] ; [1.11428571 4.88571429],0
n4,1,0.415303,0.663569,[43 21] ; [5 1],[43.88571429 20.11428571] ; [4.11428571 1.88571429],0
s5,1,0.537755,0.379717,[14 49] ; [2 4],[14.60869565 48.39130435] ; [1.39130435 4.60869565],0
d5,1,0.546179,0.364207,[46 18] ; [5 1],[46.62857143 17.37142857] ; [4.37142857 1.62857143],0
r1,1,0.648989,0.207177,[48 16] ; [5 1],[48.45714286 15.54285714] ; [4.54285714 1.45714286],0
b5,1,0.673763,0.177232,[37 27] ; [4 2],[37.48571429 26.51428571] ; [3.51428571 2.48571429],0
a6,1,0.898708,0.016204,[41 23] ; [4 2],[41.14285714 22.85714286] ; [3.85714286 2.14285714],0
b4,1,0.97928,0.000675,[43 21] ; [4 2],[42.97142857 21.02857143] ; [4.02857143 1.97142857],0
a7,1,1.0,0.0,[42 21] ; [4 2],[42. 21.] ; [4. 2.],0
