Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,45.189796,[22 36] ; [81  9],[40.36486486 17.63513514] ; [62.63513514 27.36486486],1
r2,1,3.3e-05,17.21941,[36 21] ; [82  8],[45.75510204 11.24489796] ; [72.24489796 17.75510204],1
a5,1,0.000321,12.94508,[16 42] ; [52 38],[26.64864865 31.35135135] ; [41.35135135 48.64864865],1
p11,1,0.000529,12.009487,[30 28] ; [71 19],[39.58108108 18.41891892] ; [61.41891892 28.58108108],1
r3,1,0.000971,10.882525,[38 19] ; [80 10],[45.75510204 11.24489796] ; [72.24489796 17.75510204],1
v4,1,0.001078,10.688156,[41 16] ; [82  7],[48.02054795  8.97945205] ; [74.97945205 14.02054795],0
d3,1,0.005221,7.801141,[15 43] ; [44 46],[23.12162162 34.87837838] ; [35.87837838 54.12162162],0
v2,1,0.005324,7.765796,[12 45] ; [36 46],[19.68345324 37.31654676] ; [28.31654676 53.68345324],0
a6,1,0.00586,7.592991,[22 36] ; [55 35],[30.17567568 27.82432432] ; [46.82432432 43.17567568],0
v3,1,0.006985,7.276837,[ 9 49] ; [31 55],[16.11111111 41.88888889] ; [23.88888889 62.11111111],0
a7,1,0.007058,7.258238,[21 37] ; [53 37],[29. 29.] ; [45. 45.],0
u2,1,0.020465,5.371816,[10 24] ; [23 18],[14.96 19.04] ; [18.04 22.96],0
a4,1,0.021417,5.29252,[ 7 51] ; [25 64],[12.62585034 45.37414966] ; [19.37414966 69.62585034],0
u3,1,0.02725,4.874881,[10 25] ; [22 19],[14.73684211 20.26315789] ; [17.26315789 23.73684211],0
a2,1,0.033556,4.517208,[ 1 57] ; [10 80],[ 4.31081081 53.68918919] ; [ 6.68918919 83.31081081],0
s8,1,0.073755,3.19741,[10 48] ; [27 62],[14.59863946 43.40136054] ; [22.40136054 66.59863946],0
a3,1,0.094901,2.789205,[23 34] ; [48 40],[27.91034483 29.08965517] ; [43.08965517 44.91034483],0
d4,1,0.105022,2.627569,[24 34] ; [49 40],[28.80272109 29.19727891] ; [44.19727891 44.80272109],0
p10,1,0.106076,2.611723,[32 25] ; [61 27],[36.55862069 20.44137931] ; [56.44137931 31.55862069],0
v1,1,0.132967,2.257514,[19 37] ; [41 47],[23.33333333 32.66666667] ; [36.66666667 51.33333333],0
s7,1,0.145208,2.121887,[13 45] ; [28 55],[16.86524823 41.13475177] ; [24.13475177 58.86524823],0
b4,1,0.161282,1.962168,[28 30] ; [54 36],[32.13513514 25.86486486] ; [49.86486486 40.13513514],0
s6,1,0.174802,1.84127,[24 34] ; [46 41],[28. 30.] ; [42. 45.],0
n6,1,0.179891,1.798527,[37 21] ; [66 23],[40.63945578 17.36054422] ; [62.36054422 26.63945578],0
s3,1,0.206111,1.598531,[24 33] ; [46 41],[27.70833333 29.29166667] ; [42.29166667 44.70833333],0
b2,1,0.231445,1.431959,[ 9 25] ; [21 33],[11.59090909 22.40909091] ; [18.40909091 35.59090909],0
b3,1,0.231445,1.431959,[ 9 25] ; [21 33],[11.59090909 22.40909091] ; [18.40909091 35.59090909],0
d1,1,0.281968,1.157579,[ 2 56] ; [ 7 83],[ 3.52702703 54.47297297] ; [ 5.47297297 84.52702703],0
n4,1,0.282045,1.15721,[32 26] ; [57 32],[35.11564626 22.88435374] ; [53.88435374 35.11564626],0
a8,1,0.362978,0.827564,[ 4 51] ; [10 73],[ 5.57971014 49.42028986] ; [ 8.42028986 74.57971014],0
p8,1,0.386766,0.749084,[18 39] ; [34 54],[20.44137931 36.55862069] ; [31.55862069 56.44137931],0
s5,1,0.497731,0.45977,[10 48] ; [19 68],[11.6 46.4] ; [17.4 69.6],0
s1,1,0.50351,0.447531,[ 3 55] ; [ 7 80],[ 4. 54.] ; [ 6. 81.],0
p5,1,0.513411,0.427109,[ 4 53] ; [ 4 85],[ 3.12328767 53.87671233] ; [ 4.87671233 84.12328767],0
a1,1,0.519565,0.414756,[ 4 54] ; [ 4 86],[ 3.13513514 54.86486486] ; [ 4.86486486 85.13513514],0
p3,1,0.525207,0.403655,[14 44] ; [26 64],[15.67567568 42.32432432] ; [24.32432432 65.67567568],0
n2,1,0.570036,0.322621,[17  7] ; [21  6],[17.88235294  6.11764706] ; [20.11764706  6.88235294],0
s2,1,0.654812,0.199887,[19 39] ; [32 56],[20.26027397 37.73972603] ; [30.73972603 57.26027397],0
n5,1,0.654812,0.199887,[39 19] ; [56 32],[37.73972603 20.26027397] ; [57.26027397 30.73972603],0
p2,1,0.665826,0.186524,[36 22] ; [59 31],[37.22972973 20.77027027] ; [57.77027027 32.22972973],0
n1,1,0.705857,0.14245,[ 8 16] ; [10 16],[ 8.64 15.36] ; [ 9.36 16.64],0
s4,1,0.808577,0.058691,[10 48] ; [14 75],[ 9.46938776 48.53061224] ; [14.53061224 74.46938776],0
b5,1,0.826523,0.048032,[32 26] ; [48 42],[31.35135135 26.64864865] ; [48.64864865 41.35135135],0
p4,1,0.831327,0.045369,[21 37] ; [30 57],[20.4 37.6] ; [30.6 56.4],0
b1,1,0.915705,0.011203,[25 33] ; [38 52],[24.68918919 33.31081081] ; [38.31081081 51.68918919],0
n3,1,0.920746,0.009899,[16  8] ; [17  8],[16.16326531  7.83673469] ; [16.83673469  8.16326531],0
p7,1,0.931139,0.007467,[24 33] ; [36 51],[23.75 33.25] ; [36.25 50.75],0
p1,1,0.955126,0.003166,[ 5 53] ; [ 8 82],[ 5.09459459 52.90540541] ; [ 7.90540541 82.09459459],0
d2,1,0.966157,0.0018,[14 44] ; [22 68],[14.10810811 43.89189189] ; [21.89189189 68.10810811],0
p9,1,0.983211,0.000443,[40 16] ; [63 25],[40.05555556 15.94444444] ; [62.94444444 25.05555556],0
