Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4.1e-05,16.802249,[47 37] ; [142  35],[60.82758621 23.17241379] ; [128.17241379  48.82758621],1
p10,1,0.000157,14.29052,[43 40] ; [134  44],[56.28735632 26.71264368] ; [120.71264368  57.28735632],1
p11,1,0.000358,12.741362,[44 41] ; [133  47],[56.77358491 28.22641509] ; [120.22641509  59.77358491],1
p8,1,0.001374,10.240251,[11 74] ; [ 56 123],[21.5719697 63.4280303] ; [ 45.4280303 133.5719697],0
r3,1,0.002389,9.223454,[72 13] ; [171   8],[78.23863636  6.76136364] ; [164.76136364  14.23863636],0
a1,1,0.002803,8.931512,[ 7 78] ; [  2 178],[ 2.88679245 82.11320755] ; [  6.11320755 173.88679245],0
p4,1,0.003439,8.558415,[25 59] ; [88 92],[35.95454545 48.04545455] ; [ 77.04545455 102.95454545],0
v1,1,0.004603,8.029258,[28 55] ; [92 83],[38.60465116 44.39534884] ; [81.39534884 93.60465116],0
v4,1,0.005638,7.66239,[73 12] ; [171   8],[78.56060606  6.43939394] ; [165.43939394  13.56060606],0
a7,1,0.015597,5.847755,[54 31] ; [139  40],[62.14015152 22.85984848] ; [130.85984848  48.14015152],0
s4,1,0.020504,5.368439,[19 64] ; [ 21 157],[12.72030651 70.27969349] ; [ 27.27969349 150.72030651],0
n6,1,0.026786,4.904559,[59 26] ; [146  33],[66.00378788 18.99621212] ; [138.99621212  40.00378788],0
b1,1,0.031187,4.642651,[39 46] ; [ 58 122],[31.11320755 53.88679245] ; [ 65.88679245 114.11320755],0
d5,1,0.031442,4.62867,[60 25] ; [148  32],[66.71698113 18.28301887] ; [141.28301887  38.71698113],0
n5,1,0.040699,4.18851,[49 36] ; [126  53],[56.34469697 28.65530303] ; [118.65530303  60.34469697],0
n4,1,0.050656,3.819625,[56 29] ; [139  41],[62.54716981 22.45283019] ; [132.45283019  47.54716981],0
s1,1,0.069052,3.305418,[ 8 76] ; [  7 171],[ 4.80916031 79.19083969] ; [ 10.19083969 167.80916031],0
r4,1,0.073056,3.212981,[73 12] ; [167  13],[76.98113208  8.01886792] ; [163.01886792  16.98113208],0
s3,1,0.083628,2.992937,[35 47] ; [96 81],[41.47490347 40.52509653] ; [89.52509653 87.47490347],0
d3,1,0.087642,2.91716,[51 34] ; [127  53],[57.09433962 27.90566038] ; [120.90566038  59.09433962],0
