Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.6e-05,17.679459,[121  23] ; [90 55],[105.1349481  38.8650519] ; [105.8650519  39.1349481],1
v3,1,5.5e-05,16.266257,[74 68] ; [ 41 102],[57.29824561 84.70175439] ; [57.70175439 85.29824561],1
b3,1,0.000141,14.489164,[39 56] ; [13 72],[27.44444444 67.55555556] ; [24.55555556 60.44444444],1
b2,1,0.000141,14.489164,[39 56] ; [13 72],[27.44444444 67.55555556] ; [24.55555556 60.44444444],1
v2,1,0.000215,13.694226,[98 45] ; [65 74],[82.65602837 60.34397163] ; [80.34397163 58.65602837],1
a3,1,0.006438,7.423301,[115  31] ; [94 52],[104.5  41.5] ; [104.5  41.5],0
p3,1,0.007092,7.249636,[86 60] ; [63 83],[74.5 71.5] ; [74.5 71.5],0
p1,1,0.011048,6.457625,[ 11 135] ; [  2 143],[  6.52233677 139.47766323] ; [  6.47766323 138.52233677],0
n6,1,0.022551,5.20273,[125  19] ; [110  34],[117.5  26.5] ; [117.5  26.5],0
p10,1,0.026578,4.918039,[125  20] ; [111  35],[117.59450172  27.40549828] ; [118.40549828  27.59450172],0
a4,1,0.027983,4.829089,[68 77] ; [50 96],[58.79725086 86.20274914] ; [59.20274914 86.79725086],0
s8,1,0.031427,4.629484,[68 77] ; [50 95],[59. 86.] ; [59. 86.],0
p9,1,0.062156,3.478892,[125  20] ; [112  32],[118.9100346  26.0899654] ; [118.0899654  25.9100346],0
d4,1,0.068694,3.313951,[123  23] ; [109  35],[116.8  29.2] ; [115.2  28.8],0
r1,1,0.070626,3.2684,[120  23] ; [110  36],[113.80622837  29.19377163] ; [116.19377163  29.80622837],0
b5,1,0.075434,3.160629,[92 54] ; [77 69],[84.5 61.5] ; [84.5 61.5],0
p4,1,0.076615,3.13529,[90 56] ; [75 71],[82.5 63.5] ; [82.5 63.5],0
n2,1,0.07719,3.123105,[23  3] ; [25 11],[20.12903226  5.87096774] ; [27.87096774  8.12903226],0
r2,1,0.091401,2.849529,[135   8] ; [128  16],[131.04181185  11.95818815] ; [131.95818815  12.04181185],0
u1,1,0.095391,2.780952,[ 26 120] ; [ 16 130],[ 21. 125.] ; [ 21. 125.],0
p2,1,0.113353,2.506836,[132  14] ; [123  23],[127.5  18.5] ; [127.5  18.5],0
r3,1,0.11943,2.424774,[141   5] ; [134  11],[137.97250859   8.02749141] ; [137.02749141   7.97250859],0
p12,1,0.124347,2.361695,[  8 138] ; [  3 143],[  5.5 140.5] ; [  5.5 140.5],0
s5,1,0.13544,2.229013,[50 96] ; [ 38 107],[ 44.15120275 101.84879725] ; [ 43.84879725 101.15120275],0
a7,1,0.156464,2.00807,[98 48] ; [109  37],[103.5  42.5] ; [103.5  42.5],0
d2,1,0.173107,1.855831,[71 75] ; [59 86],[65.2233677 80.7766323] ; [64.7766323 80.2233677],0
r4,1,0.183582,1.768385,[134  12] ; [127  19],[130.5  15.5] ; [130.5  15.5],0
n1,1,0.197213,1.662896,[11 15] ; [ 9 25],[ 8.66666667 17.33333333] ; [11.33333333 22.66666667],0
a5,1,0.228004,1.453272,[113  33] ; [104  42],[108.5  37.5] ; [108.5  37.5],0
d1,1,0.239663,1.382576,[85 61] ; [75 71],[80. 66.] ; [80. 66.],0
n3,1,0.250291,1.321678,[24  3] ; [28  8],[22.28571429  4.71428571] ; [29.71428571  6.28571429],0
p5,1,0.257265,1.283413,[ 13 132] ; [  8 137],[ 10.5 134.5] ; [ 10.5 134.5],0
n4,1,0.260093,1.268262,[110  34] ; [103  43],[105.76551724  38.23448276] ; [107.23448276  38.76551724],0
v4,1,0.278918,1.172354,[138   5] ; [135   9],[136.02439024   6.97560976] ; [136.97560976   7.02439024],0
p8,1,0.290614,1.116773,[90 55] ; [80 63],[85.59027778 59.40972222] ; [84.40972222 58.59027778],0
a1,1,0.309736,1.031802,[  6 140] ; [  3 143],[  4.5 141.5] ; [  4.5 141.5],0
a2,1,0.319315,0.991752,[ 35 111] ; [ 28 118],[ 31.5 114.5] ; [ 31.5 114.5],0
s1,1,0.319805,0.989743,[  3 140] ; [  6 139],[  4.46875 138.53125] ; [  4.53125 140.46875],0
s3,1,0.322304,0.979575,[75 67] ; [85 60],[79.16376307 62.83623693] ; [80.83623693 64.16376307],0
s6,1,0.463502,0.537425,[94 50] ; [88 56],[91. 53.] ; [91. 53.],0
p11,1,0.466176,0.531025,[119  27] ; [114  32],[116.5  29.5] ; [116.5  29.5],0
b4,1,0.482155,0.493985,[73 73] ; [79 67],[76. 70.] ; [76. 70.],0
u3,1,0.504569,0.445313,[16 15] ; [22 28],[14.54320988 16.45679012] ; [23.45679012 26.54320988],0
u2,1,0.581139,0.304397,[14 16] ; [26 23],[15.18987342 14.81012658] ; [24.81012658 24.18987342],0
a8,1,0.585644,0.297199,[ 24 109] ; [ 21 114],[ 22.33208955 110.66791045] ; [ 22.66791045 112.33208955],0
s7,1,0.613904,0.254529,[66 75] ; [60 77],[63.90647482 77.09352518] ; [62.09352518 74.90647482],0
b1,1,0.629039,0.233367,[53 93] ; [57 89],[55. 91.] ; [55. 91.],0
s2,1,0.643515,0.214174,[69 75] ; [66 80],[67.03448276 76.96551724] ; [67.96551724 78.03448276],0
