Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,26.032283,[ 8 35] ; [23  6],[18.51388889 24.48611111] ; [12.48611111 16.51388889],1
s6,1,0.000336,12.855829,[12 33] ; [20  9],[19.45945946 25.54054054] ; [12.54054054 16.45945946],1
s7,1,0.002438,9.186789,[13 31] ; [19 10],[19.28767123 24.71232877] ; [12.71232877 16.28767123],0
r3,1,0.002792,8.938543,[23 21] ; [25  4],[28.93150685 15.06849315] ; [19.06849315  9.93150685],0
p7,1,0.010544,6.540579,[16 26] ; [20  9],[21.29577465 20.70422535] ; [14.70422535 14.29577465],0
s8,1,0.014144,6.020067,[ 9 36] ; [14 16],[13.8 31.2] ; [ 9.2 20.8],0
s5,1,0.01463,5.96043,[ 5 40] ; [10 19],[ 9.12162162 35.87837838] ; [ 5.87837838 23.12162162],0
v2,1,0.016447,5.754421,[12 32] ; [16 13],[16.87671233 27.12328767] ; [11.12328767 17.87671233],0
a6,1,0.058782,3.571429,[17 28] ; [18 12],[21. 24.] ; [14. 16.],0
n1,1,0.059346,3.555556,[10 10] ; [ 2 10],[ 7.5 12.5] ; [4.5 7.5],0
p3,1,0.060054,3.535881,[10 34] ; [13 17],[13.67567568 30.32432432] ; [ 9.32432432 20.67567568],0
b4,1,0.064063,3.428951,[32 13] ; [15 15],[28.2 16.8] ; [18.8 11.2],0
p6,1,0.080218,3.060481,[ 7 37] ; [10 20],[10.10810811 33.89189189] ; [ 6.89189189 23.10810811],0
d1,1,0.099845,2.708021,[14 31] ; [15 15],[17.4 27.6] ; [11.6 18.4],0
p2,1,0.127893,2.317894,[29 14] ; [25  5],[31.80821918 11.19178082] ; [22.19178082  7.80821918],0
a1,1,0.14195,2.15669,[ 1 44] ; [ 3 27],[ 2.4 42.6] ; [ 1.6 28.4],0
d4,1,0.147184,2.101201,[29 16] ; [24  6],[31.8 13.2] ; [21.2  8.8],0
a8,1,0.156314,2.00953,[ 1 42] ; [ 3 27],[ 2.35616438 40.64383562] ; [ 1.64383562 28.35616438],0
n6,1,0.179527,1.801532,[32 13] ; [15 12],[29.375 15.625] ; [17.625  9.375],0
v3,1,0.215517,1.533976,[ 8 37] ; [ 9 21],[10.2 34.8] ; [ 6.8 23.2],0
p1,1,0.223858,1.479469,[ 5 40] ; [ 1 29],[ 3.6 41.4] ; [ 2.4 27.6],0
p9,1,0.230955,1.434971,[35  9] ; [27  3],[36.86486486  7.13513514] ; [25.13513514  4.86486486],0
p5,1,0.232363,1.426335,[ 7 37] ; [ 2 28],[ 5.35135135 38.64864865] ; [ 3.64864865 26.35135135],0
d5,1,0.23458,1.412873,[27 18] ; [22  8],[29.4 15.6] ; [19.6 10.4],0
s4,1,0.238593,1.388889,[ 7 38] ; [ 8 22],[ 9. 36.] ; [ 6. 24.],0
n3,1,0.241529,1.371646,[12  7] ; [5 7],[10.41935484  8.58064516] ; [6.58064516 5.41935484],0
n4,1,0.250655,1.319648,[24 21] ; [20 10],[26.4 18.6] ; [17.6 12.4],0
n2,1,0.264122,1.247021,[13  7] ; [10  2],[14.375  5.625] ; [8.625 3.375],0
u3,1,0.28315,1.151909,[ 7 11] ; [6 4],[8.35714286 9.64285714] ; [4.64285714 5.35714286],0
b5,1,0.299651,1.075747,[20 25] ; [17 13],[22.2 22.8] ; [14.8 15.2],0
p4,1,0.33266,0.938515,[17 27] ; [15 15],[19.02702703 24.97297297] ; [12.97297297 17.02702703],0
u1,1,0.344704,0.892857,[ 4 41] ; [ 1 29],[ 3. 42.] ; [ 2. 28.],0
n5,1,0.345162,0.891164,[29 16] ; [21  7],[30.82191781 14.17808219] ; [19.17808219  8.82191781],0
r1,1,0.365525,0.81882,[17 28] ; [ 8 21],[15.2027027 29.7972973] ; [ 9.7972973 19.2027027],0
d3,1,0.396723,0.718235,[22 22] ; [18 12],[23.78378378 20.21621622] ; [16.21621622 13.78378378],0
b1,1,0.508936,0.436254,[23 22] ; [13 17],[21.6 23.4] ; [14.4 15.6],0
a2,1,0.516853,0.420168,[ 5 40] ; [ 2 28],[ 4.2 40.8] ; [ 2.8 27.2],0
p11,1,0.539615,0.376254,[30 15] ; [22  8],[31.2 13.8] ; [20.8  9.2],0
d2,1,0.558709,0.341945,[18 27] ; [10 20],[16.8 28.2] ; [11.2 18.8],0
a3,1,0.558709,0.341945,[27 18] ; [20 10],[28.2 16.8] ; [18.8 11.2],0
p8,1,0.614069,0.254292,[16 29] ; [12 17],[17.02702703 27.97297297] ; [10.97297297 18.02702703],0
a4,1,0.617075,0.25,[16 29] ; [ 9 21],[15. 30.] ; [10. 20.],0
r2,1,0.741827,0.108527,[27 16] ; [18  9],[27.64285714 15.35714286] ; [17.35714286  9.64285714],0
a7,1,0.776347,0.080703,[24 21] ; [17 13],[24.6 20.4] ; [16.4 13.6],0
p12,1,0.782369,0.076305,[ 1 43] ; [ 1 29],[ 1.18918919 42.81081081] ; [ 0.81081081 29.18918919],0
v1,1,0.799152,0.064742,[18 26] ; [11 18],[17.47945205 26.52054795] ; [11.52054795 17.47945205],0
s1,1,0.809894,0.05787,[ 2 43] ; [ 1 29],[ 1.8 43.2] ; [ 1.2 28.8],0
b2,1,0.831002,0.045547,[ 9 17] ; [ 6 13],[ 8.66666667 17.33333333] ; [ 6.33333333 12.66666667],0
b3,1,0.831002,0.045547,[ 9 17] ; [ 6 13],[ 8.66666667 17.33333333] ; [ 6.33333333 12.66666667],0
a5,1,0.924341,0.009019,[25 20] ; [17 13],[25.2 19.8] ; [16.8 13.2],0
v4,1,0.99398,5.7e-05,[31 13] ; [19  8],[30.98591549 13.01408451] ; [19.01408451  7.98591549],0
u2,1,1.0,0.0,[10  8] ; [5 4],[10.  8.] ; [5. 4.],0
