Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.9e-05,18.308728,[279  91] ; [14 20],[268.34158416 101.65841584] ; [24.65841584  9.34158416],1
p8,1,0.008285,6.970757,[243 128] ; [14 19],[236.00742574 134.99257426] ; [20.99257426 12.00742574],0
p9,1,0.01082,6.494566,[329  42] ; [25  9],[324.28148148  46.71851852] ; [29.71851852  4.28148148],0
n4,1,0.010878,6.485177,[308  65] ; [22 12],[302.43243243  70.56756757] ; [27.56756757  6.43243243],0
d3,1,0.012232,6.276923,[308  66] ; [22 12],[302.5  71.5] ; [27.5  6.5],0
a6,1,0.033781,4.505771,[300  74] ; [22 12],[295.16666667  78.83333333] ; [26.83333333  7.16666667],0
v4,1,0.035234,4.433794,[362   9] ; [31  3],[360.00740741  10.99259259] ; [32.99259259  1.00740741],0
r4,1,0.037732,4.317065,[353  21] ; [29  5],[350.16666667  23.83333333] ; [31.83333333  2.16666667],0
p6,1,0.037972,4.306298,[189 182] ; [11 23],[183.20987654 187.79012346] ; [16.79012346 17.20987654],0
p11,1,0.060178,3.532468,[312  62] ; [24 10],[308.  66.] ; [28.  6.],0
n5,1,0.073476,3.203617,[299  72] ; [23 11],[294.96790123  76.03209877] ; [27.03209877  6.96790123],0
r3,1,0.073494,3.203216,[360  11] ; [31  3],[358.17530864  12.82469136] ; [32.82469136  1.17530864],0
p10,1,0.088238,2.906227,[322  48] ; [26  8],[318.71287129  51.28712871] ; [29.28712871  4.71287129],0
d5,1,0.104309,2.638388,[324  50] ; [26  8],[320.83333333  53.16666667] ; [29.16666667  4.83333333],0
a3,1,0.124236,2.363095,[276  97] ; [21 13],[272.18918919 100.81081081] ; [24.81081081  9.18918919],0
r1,1,0.151386,2.05823,[317  53] ; [26  8],[314.13366337  55.86633663] ; [28.86633663  5.13366337],0
r2,1,0.197069,1.663962,[355  15] ; [31  3],[353.51485149  16.48514851] ; [32.48514851  1.51485149],0
v1,1,0.214232,1.542593,[224 142] ; [16 16],[220.70351759 145.29648241] ; [19.29648241 12.70351759],0
s7,1,0.23713,1.397577,[192 160] ; [13 17],[188.90052356 163.09947644] ; [16.09947644 13.90052356],0
n2,1,0.239317,1.384615,[45 15] ; [7 5],[43.33333333 16.66666667] ; [8.66666667 3.33333333],0
a2,1,0.250693,1.319439,[124 250] ; [ 8 26],[121. 253.] ; [11. 23.],0
s4,1,0.267021,1.231988,[ 61 306] ; [ 8 25],[ 63.3075 303.6925] ; [ 5.6925 27.3075],0
d4,1,0.311762,1.023197,[321  53] ; [27  7],[319.  55.] ; [29.  5.],0
p1,1,0.314908,1.009977,[ 43 330] ; [ 2 32],[ 41.24078624 331.75921376] ; [ 3.75921376 30.24078624],0
u3,1,0.335282,0.928388,[64 31] ; [7 6],[62.4537037 32.5462963] ; [8.5462963 4.4537037],0
b1,1,0.353018,0.862579,[140 234] ; [10 24],[137.5 236.5] ; [12.5 21.5],0
a1,1,0.400145,0.70789,[ 20 354] ; [ 3 31],[ 21.08333333 352.91666667] ; [ 1.91666667 32.08333333],0
n1,1,0.400828,0.70584,[23 38] ; [3 9],[21.7260274 39.2739726] ; [4.2739726 7.7260274],0
v3,1,0.417512,0.657307,[149 208] ; [11 21],[146.83804627 210.16195373] ; [13.16195373 18.83804627],0
b5,1,0.41816,0.655481,[238 136] ; [24 10],[240.16666667 133.83333333] ; [21.83333333 12.16666667],0
p12,1,0.441315,0.592862,[ 39 335] ; [ 5 29],[ 40.33333333 333.66666667] ; [ 3.66666667 30.33333333],0
n3,1,0.445592,0.58184,[47 14] ; [8 4],[45.95890411 15.04109589] ; [9.04109589 2.95890411],0
p3,1,0.45023,0.570074,[254 119] ; [21 13],[252.02702703 120.97297297] ; [22.97297297 11.02702703],0
u2,1,0.469397,0.523394,[57 40] ; [9 4],[58.2 38.8] ; [7.8 5.2],0
s1,1,0.484483,0.488756,[ 13 357] ; [ 2 32],[ 13.73762376 356.26237624] ; [ 1.26237624 32.73762376],0
s3,1,0.561747,0.336688,[212 153] ; [18 16],[210.40100251 154.59899749] ; [19.59899749 14.40100251],0
b3,1,0.648138,0.208256,[ 87 150] ; [ 7 15],[ 86.01544402 150.98455598] ; [ 7.98455598 14.01544402],0
b2,1,0.648138,0.208256,[ 87 150] ; [ 7 15],[ 86.01544402 150.98455598] ; [ 7.98455598 14.01544402],0
u1,1,0.659093,0.194627,[ 97 277] ; [10 24],[ 98.08333333 275.91666667] ; [ 8.91666667 25.08333333],0
n6,1,0.664899,0.187627,[328  43] ; [30  3],[328.75742574  42.24257426] ; [29.24257426  3.75742574],0
s6,1,0.66917,0.182575,[267  98] ; [23 10],[265.95477387  99.04522613] ; [24.04522613  8.95477387],0
s8,1,0.677631,0.172805,[177 193] ; [15 19],[175.84158416 194.15841584] ; [16.15841584 17.84158416],0
d2,1,0.709171,0.139107,[196 177] ; [19 15],[197.03931204 175.96068796] ; [17.96068796 16.03931204],0
d1,1,0.726117,0.122707,[253 121] ; [22 12],[252.08333333 121.91666667] ; [22.91666667 11.08333333],0
b4,1,0.784288,0.074931,[222 152] ; [21 13],[222.75 151.25] ; [20.25 13.75],0
a5,1,0.791444,0.069926,[301  73] ; [28  6],[301.58333333  72.41666667] ; [27.41666667  6.58333333],0
a4,1,0.845668,0.037888,[180 193] ; [17 17],[180.54299754 192.45700246] ; [16.45700246 17.54299754],0
u4,1,0.848922,0.036288,[  9 364] ; [ 1 33],[  9.16461916 363.83538084] ; [ 0.83538084 33.16461916],0
s5,1,0.850668,0.035444,[129 231] ; [12 20],[129.48979592 230.51020408] ; [11.51020408 20.48979592],0
s2,1,0.860501,0.030883,[206 161] ; [18 15],[205.52 161.48] ; [18.48 14.52],0
p5,1,0.963615,0.002081,[ 59 314] ; [ 5 26],[ 59.08910891 313.91089109] ; [ 4.91089109 26.08910891],0
v2,1,0.97529,0.000959,[219 144] ; [20 13],[219.08333333 143.91666667] ; [19.91666667 13.08333333],0
