Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,26.262382,[5 9] ; [595 100],[11.84767278  2.15232722] ; [588.15232722 106.84767278],1
p5,1,2.4e-05,17.820296,[7 7] ; [ 83 609],[ 1.78470255 12.21529745] ; [ 88.21529745 603.78470255],1
v4,1,0.001351,10.270932,[12  2] ; [685  13],[13.70505618  0.29494382] ; [683.29494382  14.70505618],0
s7,1,0.008574,6.90938,[ 2 11] ; [348 319],[6.69117647 6.30882353] ; [343.30882353 323.69117647],0
s2,1,0.017395,5.656091,[ 3 11] ; [369 321],[7.39772727 6.60227273] ; [364.60227273 325.39772727],0
n2,1,0.017771,5.618618,[1 3] ; [106  32],[3.01408451 0.98591549] ; [103.98591549  34.01408451],0
s3,1,0.029979,4.710519,[ 4 10] ; [395 291],[7.98 6.02] ; [391.02 294.98],0
a5,1,0.031934,4.602058,[7 7] ; [524 173],[10.4556962  3.5443038] ; [520.5443038 176.4556962],0
v1,1,0.039734,4.229207,[ 4 10] ; [383 299],[7.78448276 6.21551724] ; [379.21551724 302.78448276],0
d1,1,0.058108,3.590589,[5 9] ; [424 274],[8.43539326 5.56460674] ; [420.56460674 277.43539326],0
a4,1,0.061975,3.48373,[ 3 11] ; [323 371],[6.44632768 7.55367232] ; [319.55367232 374.44632768],0
n4,1,0.085508,2.956979,[9 5] ; [572 124],[11.45633803  2.54366197] ; [569.54366197 126.45633803],0
a8,1,0.103304,2.653777,[4 9] ; [ 92 541],[ 1.93188854 11.06811146] ; [ 94.06811146 538.93188854],0
u2,1,0.1339,2.246697,[5 1] ; [101  92],[3.1959799 2.8040201] ; [102.8040201  90.1959799],0
s8,1,0.165483,1.923395,[ 4 10] ; [327 365],[6.56373938 7.43626062] ; [324.43626062 367.56373938],0
a3,1,0.204906,1.607057,[8 6] ; [503 191],[10.10451977  3.89548023] ; [500.89548023 193.10451977],0
p3,1,0.224836,1.473238,[5 9] ; [362 333],[7.24682652 6.75317348] ; [359.75317348 335.24682652],0
n3,1,0.250361,1.321286,[2 2] ; [104  34],[2.98591549 1.01408451] ; [103.01408451  34.98591549],0
v2,1,0.258001,1.279454,[6 8] ; [390 283],[8.069869 5.930131] ; [387.930131 285.069869],0
p11,1,0.276898,1.182251,[13  1] ; [569 129],[11.44382022  2.55617978] ; [570.55617978 127.44382022],0
d4,1,0.28429,1.146469,[10  4] ; [574 122],[11.51549296  2.48450704] ; [572.48450704 123.51549296],0
d5,1,0.324126,0.972226,[10  4] ; [569 127],[11.41690141  2.58309859] ; [567.58309859 128.41690141],0
p8,1,0.367375,0.812525,[6 8] ; [376 308],[7.66189112 6.33810888] ; [374.33810888 309.66189112],0
a7,1,0.377345,0.779333,[9 5] ; [519 176],[10.42595205  3.57404795] ; [517.57404795 177.42595205],0
b5,1,0.382485,0.762698,[10  4] ; [418 280],[8.41573034 5.58426966] ; [419.58426966 278.41573034],0
n5,1,0.382998,0.761058,[10  4] ; [562 134],[11.27887324  2.72112676] ; [560.72112676 135.27887324],0
p6,1,0.421391,0.646431,[ 4 10] ; [269 418],[5.45221113 8.54778887] ; [267.54778887 419.45221113],0
p4,1,0.458278,0.550096,[10  4] ; [427 265],[8.66572238 5.33427762] ; [428.33427762 263.66572238],0
p12,1,0.462383,0.540121,[ 2 12] ; [ 60 632],[ 1.22946176 12.77053824] ; [ 60.77053824 631.22946176],0
p9,1,0.510363,0.433322,[13  1] ; [596  90],[12.18  1.82] ; [596.82  89.18],0
p10,1,0.547547,0.361731,[11  3] ; [582 107],[11.80938834  2.19061166] ; [581.19061166 107.80938834],0
b1,1,0.560927,0.338102,[ 4 10] ; [252 446],[5.03370787 8.96629213] ; [250.96629213 447.03370787],0
p2,1,0.561295,0.337467,[11  3] ; [585 109],[11.78531073  2.21468927] ; [584.21468927 109.78531073],0
s6,1,0.584981,0.298251,[9 5] ; [482 197],[9.91919192 4.08080808] ; [481.08080808 197.91919192],0
v3,1,0.62542,0.238323,[5 9] ; [285 390],[5.89259797 8.10740203] ; [284.10740203 390.89259797],0
b4,1,0.645676,0.211395,[9 5] ; [406 292],[8.16011236 5.83988764] ; [406.83988764 291.16011236],0
d3,1,0.646227,0.210691,[9 5] ; [487 209],[9.78028169 4.21971831] ; [486.21971831 209.78028169],0
a1,1,0.652124,0.203232,[ 1 13] ; [ 32 666],[ 0.6488764 13.3511236] ; [ 32.3511236 665.6488764],0
s5,1,0.657483,0.196596,[6 8] ; [248 421],[5.20644217 8.79355783] ; [248.79355783 420.20644217],0
u3,1,0.725097,0.123661,[3 3] ; [111  83],[3.42 2.58] ; [110.58  83.42],0
a6,1,0.734834,0.11472,[9 5] ; [477 219],[9.58309859 4.41690141] ; [476.41690141 219.58309859],0
p1,1,0.814571,0.055006,[ 1 13] ; [ 62 631],[ 1.24752475 12.75247525] ; [ 61.75247525 631.24752475],0
b3,1,0.844271,0.038586,[3 4] ; [167 259],[2.7482679 4.2517321] ; [167.2517321 258.7482679],0
b2,1,0.844271,0.038586,[3 4] ; [167 259],[2.7482679 4.2517321] ; [167.2517321 258.7482679],0
p7,1,0.870056,0.026761,[9 5] ; [452 229],[9.28633094 4.71366906] ; [451.71366906 229.28633094],0
d2,1,0.991506,0.000113,[7 7] ; [349 347],[7.01971831 6.98028169] ; [348.98028169 347.01971831],0
