Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.167258,[54 15] ; [20 36],[40.848 28.152] ; [33.152 22.848],1
r3,1,0.003532,8.509804,[44 24] ; [49  7],[51. 17.] ; [42. 14.],0
n6,1,0.006671,7.359387,[49 19] ; [27 29],[41.67741935 26.32258065] ; [34.32258065 21.67741935],0
a1,1,0.063034,3.455712,[ 9 60] ; [ 2 54],[ 6.072 62.928] ; [ 4.928 51.072],0
p1,1,0.067195,3.350235,[ 9 60] ; [ 2 53],[ 6.12096774 62.87903226] ; [ 4.87903226 50.12096774],0
a8,1,0.120978,2.404619,[ 7 55] ; [ 2 53],[ 4.76923077 57.23076923] ; [ 4.23076923 50.76923077],0
n3,1,0.125311,2.34965,[12 15] ; [14  7],[14.625 12.375] ; [11.375  9.625],0
d2,1,0.161638,1.958833,[36 31] ; [23 33],[32.13821138 34.86178862] ; [26.86178862 29.13821138],0
a5,1,0.174352,1.84512,[38 31] ; [24 32],[34.224 34.776] ; [27.776 28.224],0
s6,1,0.195038,1.679149,[30 39] ; [18 38],[26.496 42.504] ; [21.504 34.496],0
s8,1,0.208865,1.579273,[16 53] ; [ 8 48],[13.248 55.752] ; [10.752 45.248],0
b3,1,0.213633,1.546634,[14 29] ; [ 7 28],[11.57692308 31.42307692] ; [ 9.42307692 25.57692308],0
b2,1,0.213633,1.546634,[14 29] ; [ 7 28],[11.57692308 31.42307692] ; [ 9.42307692 25.57692308],0
p10,1,0.235835,1.405317,[21 47] ; [12 44],[18.09677419 49.90322581] ; [14.90322581 41.09677419],0
b4,1,0.256476,1.287678,[40 29] ; [38 18],[43.056 25.944] ; [34.944 21.056],0
v2,1,0.259661,1.270561,[18 49] ; [20 35],[20.86885246 46.13114754] ; [17.13114754 37.86885246],0
p11,1,0.281837,1.158211,[35 34] ; [23 33],[32.016 36.984] ; [25.984 30.016],0
s3,1,0.288834,1.125047,[29 40] ; [18 37],[26.15322581 42.84677419] ; [20.84677419 34.15322581],0
a4,1,0.309883,1.031172,[24 44] ; [15 41],[21.38709677 46.61290323] ; [17.61290323 38.38709677],0
s2,1,0.340822,0.907338,[21 47] ; [13 43],[18.64516129 49.35483871] ; [15.35483871 40.64516129],0
d4,1,0.367278,0.812854,[44 23] ; [41 15],[46.30081301 20.69918699] ; [38.69918699 17.30081301],0
p3,1,0.391906,0.73302,[16 52] ; [17 39],[18.09677419 49.90322581] ; [14.90322581 41.09677419],0
a6,1,0.392484,0.731234,[41 28] ; [29 27],[38.64 30.36] ; [31.36 24.64],0
a3,1,0.394842,0.723978,[38 30] ; [27 29],[35.64516129 32.35483871] ; [29.35483871 26.64516129],0
u1,1,0.400848,0.705781,[ 8 61] ; [ 4 52],[ 6.624 62.376] ; [ 5.376 50.624],0
p2,1,0.423684,0.640074,[32 37] ; [30 26],[34.224 34.776] ; [27.776 28.224],0
d1,1,0.426088,0.633464,[32 37] ; [22 34],[29.808 39.192] ; [24.192 31.808],0
u3,1,0.438323,0.600667,[14 17] ; [16 13],[15.5 15.5] ; [14.5 14.5],0
n2,1,0.443458,0.587317,[14 15] ; [13  9],[15.35294118 13.64705882] ; [11.64705882 10.35294118],0
a2,1,0.468175,0.526279,[ 9 60] ; [ 5 51],[ 7.728 61.272] ; [ 6.272 49.728],0
v4,1,0.477684,0.504145,[51 17] ; [45 11],[52.64516129 15.35483871] ; [43.35483871 12.64516129],0
r4,1,0.548701,0.35965,[42 27] ; [37 19],[43.608 25.392] ; [35.392 20.608],0
v3,1,0.563512,0.33366,[16 53] ; [10 43],[14.70491803 54.29508197] ; [11.29508197 41.70491803],0
r2,1,0.582217,0.302665,[57 11] ; [44 11],[55.83739837 12.16260163] ; [45.16260163  9.83739837],0
p6,1,0.615081,0.252842,[11 57] ; [11 45],[12.06451613 55.93548387] ; [ 9.93548387 46.06451613],0
b1,1,0.622166,0.242834,[40 29] ; [30 26],[38.64 30.36] ; [31.36 24.64],0
s1,1,0.652569,0.202677,[ 5 63] ; [ 3 53],[ 4.38709677 63.61290323] ; [ 3.61290323 52.38709677],0
s4,1,0.660797,0.192557,[10 57] ; [10 46],[10.89430894 56.10569106] ; [ 9.10569106 46.89430894],0
p4,1,0.692478,0.156416,[24 43] ; [22 34],[25.05691057 41.94308943] ; [20.94308943 35.05691057],0
u2,1,0.697667,0.15091,[14 16] ; [15 14],[14.74576271 15.25423729] ; [14.25423729 14.74576271],0
p7,1,0.72267,0.125949,[27 41] ; [24 32],[27.96774194 40.03225806] ; [23.03225806 32.96774194],0
s7,1,0.733564,0.115865,[16 50] ; [11 40],[15.23076923 50.76923077] ; [11.76923077 39.23076923],0
p8,1,0.742694,0.107773,[20 48] ; [18 38],[20.83870968 47.16129032] ; [17.16129032 38.83870968],0
n1,1,0.755468,0.096993,[ 9 17] ; [ 7 16],[ 8.48979592 17.51020408] ; [ 7.51020408 15.48979592],0
r1,1,0.780502,0.077654,[46 23] ; [36 20],[45.264 23.736] ; [36.736 19.264],0
d5,1,0.854614,0.033575,[47 22] ; [39 17],[47.472 21.528] ; [38.528 17.472],0
b5,1,0.90605,0.013929,[35 34] ; [29 27],[35.328 33.672] ; [28.672 27.328],0
d3,1,0.935776,0.006493,[35 34] ; [28 28],[34.776 34.224] ; [28.224 27.776],0
s5,1,0.95864,0.002689,[11 56] ; [ 9 47],[10.89430894 56.10569106] ; [ 9.10569106 46.89430894],0
a7,1,0.990561,0.00014,[40 28] ; [33 23],[40.03225806 27.96774194] ; [32.96774194 23.03225806],0
