Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,88.218884,[385  98] ; [62 93],[338.40282132 144.59717868] ; [108.59717868  46.40282132],1
d3,1,0.0,74.664218,[418  66] ; [83 72],[379.4741784 104.5258216] ; [121.5258216  33.4741784],1
a2,1,0.0,29.146699,[153 331] ; [ 15 140],[127.24882629 356.75117371] ; [ 40.75117371 114.24882629],1
u1,1,0.0,27.111499,[122 362] ; [  9 146],[ 99.22378717 384.77621283] ; [ 31.77621283 123.22378717],1
b5,1,6.6e-05,15.923385,[315 169] ; [73 82],[293.88419405 190.11580595] ; [94.11580595 60.88419405],1
r2,1,0.00089,11.044192,[459  17] ; [137  16],[451.02702703  24.97297297] ; [144.97297297   8.02702703],1
v4,1,0.001624,9.932544,[468  11] ; [143  12],[461.62302839  17.37697161] ; [149.37697161   5.62302839],0
b1,1,0.002589,9.076259,[163 321] ; [73 82],[178.7543036 305.2456964] ; [57.2456964 97.7543036],0
s7,1,0.016929,5.703727,[224 238] ; [89 60],[236.6710311 225.3289689] ; [76.3289689 72.6710311],0
r4,1,0.020191,5.395295,[448  36] ; [134  21],[440.82629108  43.17370892] ; [141.17370892  13.82629108],0
s5,1,0.02839,4.804241,[159 304] ; [66 83],[170.22058824 292.77941176] ; [54.77941176 94.22058824],0
n5,1,0.028742,4.782983,[350 129] ; [126  28],[360.19589258 118.80410742] ; [115.80410742  38.19589258],0
d1,1,0.036362,4.380029,[346 138] ; [97 58],[335.54303599 148.45696401] ; [107.45696401  47.54303599],0
u3,1,0.052115,3.772072,[81 42] ; [14 16],[76.37254902 46.62745098] ; [18.62745098 11.37254902],0
n4,1,0.067387,3.345538,[371 112] ; [129  25],[379.12087912 103.87912088] ; [120.87912088  33.12087912],0
a3,1,0.081384,3.037046,[358 124] ; [125  29],[366.04716981 115.95283019] ; [116.95283019  37.04716981],0
b4,1,0.084563,2.974954,[297 187] ; [83 72],[287.82472613 196.17527387] ; [92.17527387 62.82472613],0
r1,1,0.102631,2.664168,[405  75] ; [122  33],[398.36220472  81.63779528] ; [128.63779528  26.36220472],0
