Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6e-06,20.451205,[49 23] ; [ 5 23],[38.88 33.12] ; [15.12 12.88],1
a3,1,0.003791,8.381301,[53 19] ; [12 16],[46.8 25.2] ; [18.2  9.8],0
p10,1,0.004704,7.989761,[53 18] ; [12 15],[47.09183673 23.90816327] ; [17.90816327  9.09183673],0
p11,1,0.009982,6.63816,[53 19] ; [13 15],[47.52 24.48] ; [18.48  9.52],0
r4,1,0.017779,5.617803,[65  7] ; [20  8],[61.2 10.8] ; [23.8  4.2],0
a6,1,0.029096,4.761905,[48 24] ; [12 16],[43.2 28.8] ; [16.8 11.2],0
n6,1,0.033054,4.543,[47 24] ; [12 16],[42.31313131 28.68686869] ; [16.68686869 11.31313131],0
s7,1,0.050941,3.810201,[33 36] ; [ 6 18],[28.93548387 40.06451613] ; [10.06451613 13.93548387],0
d3,1,0.056858,3.626741,[55 17] ; [16 12],[51.12 20.88] ; [19.88  8.12],0
a2,1,0.059452,3.552606,[17 55] ; [ 2 26],[13.68 58.32] ; [ 5.32 22.68],0
p9,1,0.065392,3.395062,[56 16] ; [16 11],[52.36363636 19.63636364] ; [19.63636364  7.36363636],0
p6,1,0.084136,2.983136,[32 35] ; [ 8 20],[28.21052632 38.78947368] ; [11.78947368 16.21052632],0
n3,1,0.105817,2.615602,[13  1] ; [6 3],[11.56521739  2.43478261] ; [7.43478261 1.56521739],0
a5,1,0.167252,1.907402,[56 16] ; [18 10],[53.28 18.72] ; [20.72  7.28],0
p2,1,0.194633,1.682192,[61 10] ; [21  7],[58.80808081 12.19191919] ; [23.19191919  4.80808081],0
p1,1,0.201243,1.633333,[ 8 62] ; [ 6 22],[10. 60.] ; [ 4. 24.],0
d2,1,0.212968,1.551138,[33 39] ; [ 9 19],[30.24 41.76] ; [11.76 16.24],0
n1,1,0.241696,1.370677,[ 3 11] ; [4 5],[4.26086957 9.73913043] ; [2.73913043 6.26086957],0
b3,1,0.281109,1.161719,[13 34] ; [6 8],[14.63934426 32.36065574] ; [4.36065574 9.63934426],0
b2,1,0.281109,1.161719,[13 34] ; [6 8],[14.63934426 32.36065574] ; [4.36065574 9.63934426],0
s2,1,0.28263,1.154401,[30 42] ; [15 13],[32.4 39.6] ; [12.6 15.4],0
d1,1,0.28263,1.154401,[42 30] ; [13 15],[39.6 32.4] ; [15.4 12.6],0
p5,1,0.308689,1.036275,[ 7 65] ; [ 1 27],[ 5.76 66.24] ; [ 2.24 25.76],0
v1,1,0.31281,1.018776,[27 43] ; [13 13],[29.16666667 40.83333333] ; [10.83333333 15.16666667],0
v4,1,0.363976,0.824129,[68  4] ; [25  3],[66.96  5.04] ; [26.04  1.96],0
u2,1,0.368714,0.807994,[13  6] ; [8 7],[11.73529412  7.26470588] ; [9.26470588 5.73529412],0
u3,1,0.386997,0.748355,[13  6] ; [13  3],[14.11428571  4.88571429] ; [11.88571429  4.11428571],0
v2,1,0.391147,0.735375,[36 33] ; [11 15],[34.13684211 34.86315789] ; [12.86315789 13.13684211],0
s3,1,0.481837,0.494702,[38 32] ; [13 15],[36.42857143 33.57142857] ; [14.57142857 13.42857143],0
b5,1,0.491261,0.473763,[44 28] ; [15 13],[42.48 29.52] ; [16.52 11.48],0
a1,1,0.523662,0.406676,[ 5 67] ; [ 1 27],[ 4.32 67.68] ; [ 1.68 26.32],0
a7,1,0.525,0.404061,[51 21] ; [18 10],[49.68 22.32] ; [19.32  8.68],0
r3,1,0.53268,0.389277,[67  5] ; [25  3],[66.24  5.76] ; [25.76  2.24],0
s4,1,0.532845,0.388963,[17 55] ; [ 5 23],[15.84 56.16] ; [ 6.16 21.84],0
s1,1,0.539784,0.37594,[ 3 69] ; [ 2 26],[ 3.6 68.4] ; [ 1.4 26.6],0
s8,1,0.585379,0.297619,[30 42] ; [10 18],[28.8 43.2] ; [11.2 16.8],0
n4,1,0.616729,0.250492,[32 40] ; [14 14],[33.12 38.88] ; [12.88 15.12],0
d4,1,0.617788,0.248988,[62 10] ; [23  5],[61.2 10.8] ; [23.8  4.2],0
p4,1,0.61951,0.246557,[50 22] ; [18 10],[48.96 23.04] ; [19.04  8.96],0
s6,1,0.66947,0.182223,[47 25] ; [17 11],[46.08 25.92] ; [17.92 10.08],0
d5,1,0.707311,0.140977,[54 18] ; [22  6],[54.72 17.28] ; [21.28  6.72],0
v3,1,0.788204,0.07217,[21 47] ; [ 7 18],[20.47311828 47.52688172] ; [ 7.52688172 17.47311828],0
n2,1,0.808605,0.058673,[10  4] ; [6 3],[9.73913043 4.26086957] ; [6.26086957 2.73913043],0
b4,1,0.821454,0.050929,[48 24] ; [18 10],[47.52 24.48] ; [18.48  9.52],0
r1,1,0.853812,0.033951,[52 20] ; [20  7],[52.36363636 19.63636364] ; [19.63636364  7.36363636],0
a8,1,0.8675,0.027834,[ 2 64] ; [ 1 26],[ 2.12903226 63.87096774] ; [ 0.87096774 26.12903226],0
s5,1,0.868639,0.027353,[23 45] ; [ 8 17],[22.66666667 45.33333333] ; [ 8.33333333 16.66666667],0
a4,1,0.868799,0.027286,[27 45] ; [11 17],[27.36 44.64] ; [10.64 17.36],0
b1,1,0.900724,0.015562,[35 37] ; [14 14],[35.28 36.72] ; [13.72 14.28],0
r2,1,1.0,0.0,[65  5] ; [26  2],[65.  5.] ; [26.  2.],0
