Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000944,10.934376,[2 1] ; [399  10],[2.91990291 0.08009709] ; [398.08009709  10.91990291],1
u1,1,0.023328,5.1439,[2 1] ; [ 70 343],[0.51923077 2.48076923] ; [ 71.48076923 341.51923077],0
n6,1,0.156395,2.008738,[2 1] ; [371  38],[2.71601942 0.28398058] ; [370.28398058  38.71601942],0
n1,1,0.205732,1.601208,[2 1] ; [26 56],[0.98823529 2.01176471] ; [27.01176471 54.98823529],0
a4,1,0.358659,0.842583,[2 1] ; [167 245],[1.22168675 1.77831325] ; [167.77831325 244.22168675],0
s3,1,0.438069,0.601335,[1 2] ; [226 180],[1.66503667 1.33496333] ; [225.33496333 180.66503667],0
s2,1,0.522885,0.408199,[1 2] ; [212 197],[1.55097087 1.44902913] ; [211.44902913 197.55097087],0
s7,1,0.556416,0.345948,[1 2] ; [201 198],[1.50746269 1.49253731] ; [200.49253731 198.50746269],0
a2,1,0.612793,0.256128,[1 2] ; [ 88 325],[0.64182692 2.35817308] ; [ 88.35817308 324.64182692],0
n5,1,0.646019,0.210956,[2 1] ; [318  91],[2.33009709 0.66990291] ; [317.66990291  91.33009709],0
s8,1,0.68261,0.167202,[1 2] ; [185 225],[1.35108959 1.64891041] ; [184.64891041 225.35108959],0
n2,1,0.683584,0.166119,[2 1] ; [63 19],[2.29411765 0.70588235] ; [62.70588235 19.29411765],0
a7,1,0.713551,0.134756,[2 1] ; [313 100],[2.27163462 0.72836538] ; [312.72836538 100.27163462],0
v1,1,0.751659,0.100142,[2 1] ; [231 170],[1.73019802 1.26980198] ; [231.26980198 169.73019802],0
v3,1,0.757404,0.095414,[1 2] ; [167 229],[1.26315789 1.73684211] ; [166.73684211 229.26315789],0
a5,1,0.762091,0.091649,[2 1] ; [307 106],[2.22836538 0.77163462] ; [306.77163462 106.22836538],0
b2,1,0.795534,0.067149,[1 2] ; [101 147],[1.21912351 1.78087649] ; [100.78087649 147.21912351],0
b3,1,0.795534,0.067149,[1 2] ; [101 147],[1.21912351 1.78087649] ; [100.78087649 147.21912351],0
b4,1,0.802733,0.062406,[2 1] ; [246 167],[1.78846154 1.21153846] ; [246.21153846 166.78846154],0
n3,1,0.803315,0.06203,[2 1] ; [60 22],[2.18823529 0.81176471] ; [59.81176471 22.18823529],0
d3,1,0.834869,0.043456,[2 1] ; [297 115],[2.16144578 0.83855422] ; [296.83855422 115.16144578],0
v2,1,0.846722,0.037366,[2 1] ; [243 154],[1.8375 1.1625] ; [243.1625 153.8375],0
s6,1,0.876573,0.024123,[2 1] ; [288 119],[2.12195122 0.87804878] ; [287.87804878 119.12195122],0
a6,1,0.880627,0.022552,[2 1] ; [291 121],[2.11807229 0.88192771] ; [290.88192771 121.11807229],0
a3,1,0.915694,0.011206,[2 1] ; [287 126],[2.08413462 0.91586538] ; [286.91586538 126.08413462],0
