Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.689504,[32 41] ; [219  81],[49.1233244 23.8766756] ; [201.8766756  98.1233244],1
p10,1,4e-06,21.498288,[42 30] ; [250  50],[56.51612903 15.48387097] ; [235.48387097  64.51612903],1
n4,1,9e-05,15.327813,[37 36] ; [224  78],[50.808 22.192] ; [210.192  91.808],1
p11,1,0.000187,13.959548,[48 25] ; [257  46],[59.21542553 13.78457447] ; [245.78457447  57.21542553],1
p9,1,0.000237,13.51236,[49 23] ; [258  41],[59.57951482 12.42048518] ; [247.42048518  51.57951482],1
b1,1,0.004039,8.266294,[37 36] ; [ 99 204],[26.40425532 46.59574468] ; [109.59574468 193.40425532],0
r3,1,0.011044,6.458292,[65  8] ; [289  11],[69.28150134  3.71849866] ; [284.71849866  15.28150134],0
r4,1,0.043699,4.068145,[59 14] ; [271  32],[64.06914894  8.93085106] ; [265.93085106  37.06914894],0
p8,1,0.074966,3.170791,[30 42] ; [159 139],[36.77837838 35.22162162] ; [152.22162162 145.77837838],0
d1,1,0.093464,2.81368,[33 40] ; [170 133],[39.41223404 33.58776596] ; [163.58776596 139.41223404],0
v4,1,0.100159,2.70301,[66  7] ; [287  14],[68.90106952  4.09893048] ; [284.09893048  16.90106952],0
d3,1,0.10969,2.558675,[43 29] ; [210  92],[48.70588235 23.29411765] ; [204.29411765  97.70588235],0
s1,1,0.116621,2.462128,[ 2 69] ; [  2 296],[ 0.7696477 70.2303523] ; [  3.2303523 294.7696477],0
p4,1,0.126623,2.333426,[33 40] ; [166 135],[38.84224599 34.15775401] ; [160.15775401 140.84224599],0
s5,1,0.128949,2.305114,[11 59] ; [ 71 223],[15.76923077 54.23076923] ; [ 66.23076923 227.76923077],0
d5,1,0.132146,2.267116,[54 19] ; [247  55],[58.59466667 14.40533333] ; [242.40533333  59.59466667],0
d4,1,0.195346,1.676834,[54 19] ; [244  58],[58.01066667 14.98933333] ; [239.98933333  62.01066667],0
v2,1,0.198806,1.651124,[30 38] ; [152 136],[34.76404494 33.23595506] ; [147.23595506 140.76404494],0
n2,1,0.202154,1.626747,[19  4] ; [44 20],[16.65517241  6.34482759] ; [46.34482759 17.65517241],0
b5,1,0.259501,1.271415,[50 23] ; [186 117],[45.81914894 27.18085106] ; [190.18085106 112.81914894],0
r2,1,0.264454,1.245288,[65  8] ; [277  21],[67.29380054  5.70619946] ; [274.70619946  23.29380054],0
p7,1,0.267605,1.228984,[39 31] ; [188 111],[43.06233062 26.93766938] ; [183.93766938 115.06233062],0
a5,1,0.27631,1.185149,[45 28] ; [207  96],[48.92553191 24.07446809] ; [203.07446809  99.92553191],0
b3,1,0.311144,1.025813,[10 30] ; [ 53 106],[12.66331658 27.33668342] ; [ 50.33668342 108.66331658],0
b2,1,0.311144,1.025813,[10 30] ; [ 53 106],[12.66331658 27.33668342] ; [ 50.33668342 108.66331658],0
p6,1,0.316272,1.004303,[17 53] ; [ 91 209],[20.43243243 49.56756757] ; [ 87.56756757 212.43243243],0
p12,1,0.319743,0.989997,[ 2 70] ; [ 17 284],[ 3.66756032 68.33243968] ; [ 15.33243968 285.66756032],0
p5,1,0.344108,0.895067,[ 3 69] ; [ 22 281],[ 4.8 67.2] ; [ 20.2 282.8],0
v1,1,0.354826,0.856123,[32 38] ; [153 142],[35.47945205 34.52054795] ; [149.52054795 145.47945205],0
s3,1,0.356224,0.851161,[32 40] ; [114 182],[28.56521739 43.43478261] ; [117.43478261 178.56521739],0
u2,1,0.356757,0.849275,[16 12] ; [56 62],[13.80821918 14.19178082] ; [58.19178082 59.80821918],0
n3,1,0.396819,0.717943,[19  4] ; [48 17],[17.51136364  5.48863636] ; [49.48863636 15.51136364],0
v3,1,0.403877,0.696754,[18 49] ; [ 95 201],[20.85674931 46.14325069] ; [ 92.14325069 203.85674931],0
d2,1,0.423199,0.641414,[28 45] ; [131 170],[31.03475936 41.96524064] ; [127.96524064 173.03475936],0
u1,1,0.48543,0.48664,[ 7 66] ; [ 38 265],[ 8.73670213 64.26329787] ; [ 36.26329787 266.73670213],0
a4,1,0.517209,0.419454,[26 47] ; [120 182],[28.42133333 44.57866667] ; [117.57866667 184.42133333],0
b4,1,0.530307,0.393803,[47 26] ; [183 120],[44.65425532 28.34574468] ; [185.34574468 117.65425532],0
a8,1,0.548649,0.359742,[ 6 61] ; [ 32 246],[ 7.37971014 59.62028986] ; [ 30.62028986 247.37971014],0
s8,1,0.550565,0.356305,[17 56] ; [ 61 242],[15.14361702 57.85638298] ; [ 62.85638298 240.14361702],0
r1,1,0.585232,0.297852,[53 19] ; [230  70],[54.77419355 17.22580645] ; [228.22580645  71.77419355],0
a2,1,0.638139,0.221184,[12 61] ; [ 57 246],[13.3962766 59.6037234] ; [ 55.6037234 247.3962766],0
s4,1,0.721893,0.126686,[10 63] ; [ 36 260],[ 9.100271 63.899729] ; [ 36.899729 259.100271],0
s2,1,0.781552,0.076894,[20 52] ; [ 88 211],[20.95956873 51.04043127] ; [ 87.04043127 211.95956873],0
a7,1,0.80955,0.058084,[54 19] ; [226  74],[54.79892761 18.20107239] ; [225.20107239  74.79892761],0
a3,1,0.869287,0.027082,[45 28] ; [183 119],[44.384 28.616] ; [183.616 118.384],0
p1,1,0.897226,0.016684,[ 5 68] ; [ 22 280],[ 5.256 67.744] ; [ 21.744 280.256],0
a6,1,0.897774,0.016505,[51 22] ; [214  89],[51.44946809 21.55053191] ; [213.55053191  89.44946809],0
p3,1,0.898729,0.016197,[30 43] ; [127 176],[30.48138298 42.51861702] ; [126.51861702 176.48138298],0
u3,1,0.924965,0.00887,[14 13] ; [60 58],[13.77931034 13.22068966] ; [60.22068966 57.77931034],0
n1,1,0.948234,0.004215,[ 6 16] ; [17 47],[ 5.88372093 16.11627907] ; [17.11627907 46.88372093],0
a1,1,0.962184,0.002248,[ 2 71] ; [  8 295],[ 1.94148936 71.05851064] ; [  8.05851064 294.94148936],0
s6,1,0.998293,5e-06,[38 35] ; [153 141],[37.99182561 35.00817439] ; [153.00817439 140.99182561],0
