Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,25.2,[27 78] ; [63 42],[45. 60.] ; [45. 60.],1
p7,1,3e-06,21.857471,[53 47] ; [86 17],[68.4729064 31.5270936] ; [70.5270936 32.4729064],1
p8,1,0.00013,14.638247,[35 69] ; [62 41],[48.73429952 55.26570048] ; [48.26570048 54.73429952],1
p5,1,0.00028,13.199285,[  2 102] ; [17 86],[ 9.54589372 94.45410628] ; [ 9.45410628 93.54589372],1
p6,1,0.000379,12.633207,[19 83] ; [43 61],[30.69902913 71.30097087] ; [31.30097087 72.69902913],1
s7,1,0.015073,5.907864,[47 54] ; [63 36],[55.55 45.45] ; [54.45 44.55],0
r2,1,0.02397,5.096836,[99  4] ; [91 13],[94.5410628  8.4589372] ; [95.4589372  8.5410628],0
p2,1,0.031298,4.636533,[79 25] ; [91 13],[85. 19.] ; [85. 19.],0
a5,1,0.037558,4.324943,[50 55] ; [65 40],[57.5 47.5] ; [57.5 47.5],0
s8,1,0.052031,3.774762,[40 65] ; [54 51],[47. 58.] ; [47. 58.],0
n1,1,0.052901,3.747033,[ 8 21] ; [11  9],[11.24489796 17.75510204] ; [ 7.75510204 12.24489796],0
n5,1,0.060285,3.529524,[68 36] ; [81 24],[74.14354067 29.85645933] ; [74.85645933 30.14354067],0
n6,1,0.068192,3.326021,[75 29] ; [86 18],[80.5 23.5] ; [80.5 23.5],0
a2,1,0.074462,3.181818,[  3 102] ; [ 9 96],[ 6. 99.] ; [ 6. 99.],0
p1,1,0.123204,2.376115,[ 5 98] ; [11 93],[ 7.96135266 95.03864734] ; [ 8.03864734 95.96135266],0
b4,1,0.126474,2.335263,[64 41] ; [53 52],[58.5 46.5] ; [58.5 46.5],0
p10,1,0.13969,2.18137,[71 31] ; [81 22],[75.62926829 26.37073171] ; [76.37073171 26.62926829],0
s6,1,0.156023,2.012353,[76 28] ; [83 19],[80.27184466 23.72815534] ; [78.72815534 23.27184466],0
s2,1,0.175334,1.836735,[69 36] ; [78 27],[73.5 31.5] ; [73.5 31.5],0
s4,1,0.193974,1.687172,[27 78] ; [19 85],[23.11004785 81.88995215] ; [22.88995215 81.11004785],0
b1,1,0.20577,1.600941,[38 67] ; [47 58],[42.5 62.5] ; [42.5 62.5],0
d3,1,0.20577,1.600941,[38 67] ; [47 58],[42.5 62.5] ; [42.5 62.5],0
u3,1,0.227405,1.457019,[29 19] ; [18 20],[26.23255814 21.76744186] ; [20.76744186 17.23255814],0
n3,1,0.235605,1.406699,[20  8] ; [18  3],[21.71428571  6.28571429] ; [16.28571429  4.71428571],0
a3,1,0.298017,1.083049,[57 47] ; [65 40],[60.70813397 43.29186603] ; [61.29186603 43.70813397],0
a6,1,0.329662,0.950226,[56 49] ; [63 42],[59.5 45.5] ; [59.5 45.5],0
v3,1,0.344972,0.891866,[30 72] ; [37 67],[33.17475728 68.82524272] ; [33.82524272 70.17475728],0
s1,1,0.352528,0.864336,[ 7 96] ; [ 4 99],[ 5.5 97.5] ; [ 5.5 97.5],0
p12,1,0.352659,0.863867,[  4 100] ; [ 7 97],[ 5.5 98.5] ; [ 5.5 98.5],0
a4,1,0.392742,0.730436,[22 83] ; [27 77],[24.61722488 80.38277512] ; [24.38277512 79.61722488],0
a8,1,0.524989,0.404082,[15 85] ; [18 80],[16.66666667 83.33333333] ; [16.33333333 81.66666667],0
v4,1,0.60581,0.266322,[96  6] ; [96  8],[95.06796117  6.93203883] ; [96.93203883  7.06796117],0
p11,1,0.633656,0.227136,[80 25] ; [77 28],[78.5 26.5] ; [78.5 26.5],0
n4,1,0.676206,0.174428,[74 31] ; [76 28],[75.35885167 29.64114833] ; [74.64114833 29.35885167],0
d5,1,0.677962,0.17243,[55 50] ; [58 47],[56.5 48.5] ; [56.5 48.5],0
r4,1,0.693282,0.155556,[91 14] ; [89 16],[90. 15.] ; [90. 15.],0
u2,1,0.696114,0.152546,[22 24] ; [17 22],[21.10588235 24.89411765] ; [17.89411765 21.10588235],0
