Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,35.754306,[74 43] ; [ 7 45],[56.07692308 60.92307692] ; [24.92307692 27.07692308],1
a3,1,0.0,28.347264,[97 19] ; [22 29],[82.65868263 33.34131737] ; [36.34131737 14.65868263],1
d2,1,0.000291,13.127883,[72 44] ; [17 36],[61.0887574 54.9112426] ; [27.9112426 25.0887574],1
u1,1,0.000729,11.415042,[30 87] ; [ 2 51],[22.02352941 94.97647059] ; [ 9.97647059 43.02352941],1
n4,1,0.002093,9.46654,[85 31] ; [26 27],[76.18934911 39.81065089] ; [34.81065089 18.18934911],0
a6,1,0.003324,8.620429,[80 36] ; [24 29],[71.38461538 44.61538462] ; [32.61538462 20.38461538],0
r2,1,0.005585,7.679403,[114   3] ; [45  7],[110.07692308   6.92307692] ; [48.92307692  3.07692308],0
v2,1,0.007598,7.125754,[65 48] ; [17 32],[57.19753086 55.80246914] ; [24.80246914 24.19753086],0
d3,1,0.008369,6.952674,[87 29] ; [29 24],[79.62130178 36.37869822] ; [36.37869822 16.62130178],0
r3,1,0.018948,5.506285,[107  10] ; [40 11],[102.375  14.625] ; [44.625  6.375],0
a7,1,0.033108,4.540211,[93 24] ; [34 19],[87.40588235 29.59411765] ; [39.59411765 13.40588235],0
p9,1,0.039365,4.245068,[77 38] ; [25 25],[71.09090909 43.90909091] ; [30.90909091 19.09090909],0
v3,1,0.039785,4.227023,[46 65] ; [12 37],[40.2375 70.7625] ; [17.7625 31.2375],0
d1,1,0.048955,3.876894,[74 43] ; [25 28],[68.13529412 48.86470588] ; [30.86470588 22.13529412],0
u3,1,0.052901,3.747033,[ 8 11] ; [21  9],[11.24489796  7.75510204] ; [17.75510204 12.24489796],0
p1,1,0.054677,3.691911,[  7 109] ; [ 8 45],[ 10.29585799 105.70414201] ; [ 4.70414201 48.29585799],0
s5,1,0.055667,3.662002,[40 69] ; [11 40],[34.74375 74.25625] ; [16.25625 34.74375],0
p7,1,0.056651,3.632812,[58 55] ; [18 33],[52.36585366 60.63414634] ; [23.63414634 27.36585366],0
r4,1,0.063774,3.436402,[105  12] ; [42 11],[101.17058824  15.82941176] ; [45.82941176  7.17058824],0
n1,1,0.079889,3.067158,[23 22] ; [ 7 17],[19.56521739 25.43478261] ; [10.43478261 13.56521739],0
d5,1,0.085916,2.949271,[100  16] ; [40 13],[96.09467456 19.90532544] ; [43.90532544  9.09467456],0
p6,1,0.09853,2.729181,[41 73] ; [12 40],[36.39759036 77.60240964] ; [16.60240964 35.39759036],0
u2,1,0.104023,2.642761,[ 7 13] ; [17 12],[ 9.79591837 10.20408163] ; [14.20408163 14.79591837],0
a8,1,0.137113,2.21006,[15 87] ; [ 3 45],[12.24 89.76] ; [ 5.76 42.24],0
n3,1,0.155143,2.020939,[33 11] ; [14 10],[30.41176471 13.58823529] ; [16.58823529  7.41176471],0
a1,1,0.181759,1.783182,[  8 109] ; [ 1 52],[  6.19411765 110.80588235] ; [ 2.80588235 50.19411765],0
n2,1,0.232862,1.423293,[34 13] ; [14 10],[31.77464789 15.22535211] ; [16.22535211  7.77464789],0
b4,1,0.23638,1.402056,[66 51] ; [35 18],[69.51176471 47.48823529] ; [31.48823529 21.51176471],0
v4,1,0.237062,1.397978,[108   9] ; [45  7],[105.92307692  11.07692308] ; [47.07692308  4.92307692],0
p5,1,0.244829,1.352572,[  7 107] ; [ 6 47],[  8.8742515 105.1257485] ; [ 4.1257485 48.8742515],0
n6,1,0.256073,1.289864,[81 33] ; [33 20],[77.82035928 36.17964072] ; [36.17964072 16.82035928],0
v1,1,0.256813,1.285858,[56 61] ; [20 32],[52.61538462 64.38461538] ; [23.38461538 28.61538462],0
s4,1,0.270792,1.212733,[26 90] ; [ 8 45],[23.33727811 92.66272189] ; [10.66272189 42.33727811],0
p4,1,0.270841,1.212482,[57 58] ; [21 31],[53.71257485 61.28742515] ; [24.28742515 27.71257485],0
s1,1,0.288041,1.128754,[  8 109] ; [ 6 45],[  9.75 107.25] ; [ 4.25 46.75],0
d4,1,0.296078,1.091777,[99 17] ; [41 11],[96.66666667 19.33333333] ; [43.33333333  8.66666667],0
p10,1,0.308581,1.036738,[69 45] ; [26 24],[66.03658537 47.96341463] ; [28.96341463 21.03658537],0
s7,1,0.347548,0.882391,[57 51] ; [20 25],[54.35294118 53.64705882] ; [22.64705882 22.35294118],0
b2,1,0.353601,0.860491,[18 42] ; [ 6 23],[16.17977528 43.82022472] ; [ 7.82022472 21.17977528],0
b3,1,0.353601,0.860491,[18 42] ; [ 6 23],[16.17977528 43.82022472] ; [ 7.82022472 21.17977528],0
p3,1,0.392978,0.729708,[47 68] ; [18 35],[44.49404762 70.50595238] ; [20.50595238 32.49404762],0
b1,1,0.39542,0.72221,[58 59] ; [30 23],[60.56470588 56.43529412] ; [27.43529412 25.56470588],0
s8,1,0.406828,0.688052,[49 66] ; [19 34],[46.54761905 68.45238095] ; [21.45238095 31.54761905],0
s6,1,0.462836,0.539027,[81 33] ; [34 18],[78.97590361 35.02409639] ; [36.02409639 15.97590361],0
n5,1,0.466162,0.531058,[74 41] ; [31 22],[71.875 43.125] ; [33.125 19.875],0
p8,1,0.469679,0.52273,[42 73] ; [16 36],[39.94011976 75.05988024] ; [18.05988024 33.94011976],0
s3,1,0.571164,0.320738,[62 55] ; [30 22],[63.69230769 53.30769231] ; [28.30769231 23.69230769],0
b5,1,0.573676,0.316571,[72 45] ; [35 18],[73.64117647 43.35882353] ; [33.35882353 19.64117647],0
p12,1,0.585018,0.298192,[  4 111] ; [ 1 51],[  3.44311377 111.55688623] ; [ 1.55688623 50.44311377],0
s2,1,0.670136,0.181443,[61 55] ; [26 27],[59.71597633 56.28402367] ; [27.28402367 25.71597633],0
p2,1,0.818443,0.052692,[78 37] ; [35 18],[77.35119048 37.64880952] ; [35.64880952 17.35119048],0
