Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.8e-05,16.972545,[ 3 19] ; [22  9],[10.37735849 11.62264151] ; [14.62264151 16.37735849],1
v4,1,0.006826,7.31824,[10 11] ; [25  5],[14.41176471  6.58823529] ; [20.58823529  9.41176471],0
p11,1,0.009839,6.663856,[ 7 15] ; [21 10],[11.62264151 10.37735849] ; [16.37735849 14.62264151],0
p2,1,0.01226,6.272872,[ 8 14] ; [22  9],[12.45283019  9.54716981] ; [17.54716981 13.45283019],0
b5,1,0.023742,5.1134,[ 8 14] ; [21 10],[12.03773585  9.96226415] ; [16.96226415 14.03773585],0
s8,1,0.042228,4.126029,[ 1 21] ; [ 8 23],[ 3.73584906 18.26415094] ; [ 5.26415094 25.73584906],0
d2,1,0.04434,4.043583,[ 8 14] ; [ 4 27],[ 4.98113208 17.01886792] ; [ 7.01886792 23.98113208],0
d3,1,0.057572,3.605983,[ 5 17] ; [15 16],[ 8.30188679 13.69811321] ; [11.69811321 19.30188679],0
a3,1,0.100462,2.69819,[ 8 13] ; [19 12],[10.90384615 10.09615385] ; [16.09615385 14.90384615],0
u3,1,0.115582,2.47619,[5 9] ; [8 4],[7. 7.] ; [6. 6.],0
s6,1,0.121491,2.397989,[ 6 16] ; [15 16],[ 8.71698113 13.28301887] ; [12.28301887 18.71698113],0
p4,1,0.146059,2.112935,[ 4 18] ; [11 19],[ 6.34615385 15.65384615] ; [ 8.65384615 21.34615385],0
r3,1,0.152095,2.051114,[13  9] ; [24  7],[15.35849057  6.64150943] ; [21.64150943  9.35849057],0
s1,1,0.157432,1.998721,[ 3 19] ; [ 1 30],[ 1.66037736 20.33962264] ; [ 2.33962264 28.66037736],0
a7,1,0.227727,1.455003,[ 7 15] ; [15 16],[ 9.13207547 12.86792453] ; [12.86792453 18.13207547],0
d4,1,0.235729,1.405956,[ 8 13] ; [17 14],[10.09615385 10.90384615] ; [14.90384615 16.09615385],0
r1,1,0.271794,1.207672,[14  8] ; [15 16],[12.03773585  9.96226415] ; [16.96226415 14.03773585],0
v1,1,0.272727,1.202982,[ 6 16] ; [13 18],[ 7.88679245 14.11320755] ; [11.11320755 19.88679245],0
s7,1,0.299358,1.077054,[ 3 17] ; [ 8 21],[ 4.48979592 15.51020408] ; [ 6.51020408 22.48979592],0
p1,1,0.305039,1.052034,[ 1 21] ; [ 4 27],[ 2.0754717 19.9245283] ; [ 2.9245283 28.0754717],0
n2,1,0.305507,1.05,[9 5] ; [6 1],[10.  4.] ; [5. 2.],0
