Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,6e-06,20.562365,[15 48] ; [19  6],[24.34090909 38.65909091] ; [ 9.65909091 15.34090909],1
p7,1,6.4e-05,15.968305,[16 46] ; [18  7],[24.22988506 37.77011494] ; [ 9.77011494 15.22988506],1
p8,1,0.000172,14.11328,[12 51] ; [15 10],[19.32954545 43.67045455] ; [ 7.67045455 17.32954545],1
p6,1,0.000596,11.787707,[10 52] ; [13 12],[16.3908046 45.6091954] ; [ 6.6091954 18.3908046],1
p11,1,0.001461,10.127194,[30 34] ; [21  4],[36.6741573 27.3258427] ; [14.3258427 10.6741573],0
s2,1,0.004164,8.211088,[15 48] ; [13 10],[20.51162791 42.48837209] ; [ 7.48837209 15.51162791],0
p9,1,0.007839,7.069969,[32 28] ; [21  4],[37.41176471 22.58823529] ; [15.58823529  9.41176471],0
p10,1,0.010139,6.610294,[31 31] ; [20  5],[36.34482759 25.65517241] ; [14.65517241 10.34482759],0
d4,1,0.01697,5.699499,[33 30] ; [20  5],[37.94318182 25.05681818] ; [15.05681818  9.94318182],0
s6,1,0.022079,5.239538,[19 45] ; [13 10],[23.54022989 40.45977011] ; [ 8.45977011 14.54022989],0
p2,1,0.022113,5.23689,[31 32] ; [19  6],[35.79545455 27.20454545] ; [14.20454545 10.79545455],0
s3,1,0.025172,5.012023,[19 44] ; [13 10],[23.44186047 39.55813953] ; [ 8.55813953 14.44186047],0
a5,1,0.025834,4.9671,[32 32] ; [19  6],[36.6741573 27.3258427] ; [14.3258427 10.6741573],0
n6,1,0.030937,4.656475,[37 26] ; [20  4],[41.27586207 21.72413793] ; [15.72413793  8.27586207],0
a6,1,0.03258,4.567694,[30 34] ; [18  7],[34.51685393 29.48314607] ; [13.48314607 11.51685393],0
r3,1,0.033056,4.542861,[27 35] ; [16  7],[31.36470588 30.63529412] ; [11.63529412 11.36470588],0
p5,1,0.039894,4.222404,[ 5 58] ; [ 6 19],[ 7.875 55.125] ; [ 3.125 21.875],0
s8,1,0.042308,4.122854,[13 51] ; [10 14],[16.72727273 47.27272727] ; [ 6.27272727 17.72727273],0
d3,1,0.054202,3.706475,[26 37] ; [16  9],[30.06818182 32.93181818] ; [11.93181818 13.06818182],0
d5,1,0.084805,2.970316,[36 28] ; [19  6],[39.5505618 24.4494382] ; [15.4494382  9.5505618],0
s7,1,0.114477,2.491297,[20 40] ; [12 11],[23.13253012 36.86746988] ; [ 8.86746988 14.13253012],0
v2,1,0.126813,2.331093,[20 42] ; [12 12],[23.06976744 38.93023256] ; [ 8.93023256 15.06976744],0
p12,1,0.134904,2.23514,[ 1 62] ; [ 2 23],[ 2.14772727 60.85227273] ; [ 0.85227273 24.14772727],0
s4,1,0.151849,2.053576,[10 54] ; [ 7 17],[12.36363636 51.63636364] ; [ 4.63636364 19.36363636],0
p1,1,0.171062,1.873616,[ 6 58] ; [ 5 20],[ 7.91011236 56.08988764] ; [ 3.08988764 21.91011236],0
s5,1,0.177946,1.814694,[ 7 56] ; [ 5 17],[ 8.89411765 54.10588235] ; [ 3.10588235 18.89411765],0
b1,1,0.18624,1.747115,[31 33] ; [16  9],[33.79775281 30.20224719] ; [13.20224719 11.79775281],0
n2,1,0.2261,1.465229,[23 12] ; [7 1],[24.41860465 10.58139535] ; [5.58139535 2.41860465],0
d1,1,0.234452,1.413648,[22 42] ; [12 13],[24.4494382 39.5505618] ; [ 9.5505618 15.4494382],0
u1,1,0.249553,1.325806,[ 5 59] ; [ 4 21],[ 6.47191011 57.52808989] ; [ 2.52808989 22.47191011],0
a7,1,0.292788,1.106756,[25 38] ; [13 12],[27.20454545 35.79545455] ; [10.79545455 14.20454545],0
a1,1,0.343851,0.89602,[10 54] ; [ 2 23],[ 8.62921348 55.37078652] ; [ 3.37078652 21.62921348],0
a2,1,0.367905,0.810729,[ 8 56] ; [ 5 20],[ 9.34831461 54.65168539] ; [ 3.65168539 21.34831461],0
v1,1,0.385695,0.752473,[17 44] ; [ 9 15],[18.65882353 42.34117647] ; [ 7.34117647 16.65882353],0
b3,1,0.396443,0.719087,[15 25] ; [ 5 14],[13.55932203 26.44067797] ; [ 6.44067797 12.55932203],0
b2,1,0.396443,0.719087,[15 25] ; [ 5 14],[13.55932203 26.44067797] ; [ 6.44067797 12.55932203],0
a4,1,0.427538,0.629503,[22 41] ; [11 14],[23.625 39.375] ; [ 9.375 15.625],0
v3,1,0.474802,0.510779,[14 50] ; [ 7 17],[15.27272727 48.72727273] ; [ 5.72727273 18.27272727],0
r1,1,0.488099,0.480713,[18 46] ; [ 5 19],[16.72727273 47.27272727] ; [ 6.27272727 17.72727273],0
v4,1,0.498038,0.459115,[38 25] ; [12 11],[36.62790698 26.37209302] ; [13.37209302  9.62790698],0
a3,1,0.501998,0.450709,[38 25] ; [17  8],[39.375 23.625] ; [15.625  9.375],0
b5,1,0.521302,0.411316,[31 33] ; [14 11],[32.35955056 31.64044944] ; [12.64044944 12.35955056],0
a8,1,0.539295,0.376847,[ 3 56] ; [ 2 21],[ 3.59756098 55.40243902] ; [ 1.40243902 21.59756098],0
b4,1,0.619395,0.246718,[37 27] ; [13 12],[35.95505618 28.04494382] ; [14.04494382 10.95505618],0
u2,1,0.687421,0.161892,[ 9 17] ; [3 4],[ 9.45454545 16.54545455] ; [2.54545455 4.45454545],0
s1,1,0.767289,0.08757,[ 4 60] ; [ 2 23],[ 4.31460674 59.68539326] ; [ 1.68539326 23.31460674],0
n1,1,0.781702,0.076786,[15 20] ; [3 5],[14.65116279 20.34883721] ; [3.34883721 4.65116279],0
n3,1,0.826448,0.048075,[16 19] ; [4 4],[16.27906977 18.72093023] ; [3.72093023 4.27906977],0
n4,1,0.829096,0.046596,[50 14] ; [19  6],[49.61797753 14.38202247] ; [19.38202247  5.61797753],0
u3,1,0.914143,0.011624,[ 7 19] ; [2 6],[ 6.88235294 19.11764706] ; [2.11764706 5.88235294],0
d2,1,0.921485,0.009715,[28 34] ; [11 14],[27.79310345 34.20689655] ; [11.20689655 13.79310345],0
r2,1,1.0,0.0,[35 25] ; [14 10],[35. 25.] ; [14. 10.],0
