Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,2.9e-05,17.503188,[89 55] ; [44 78],[72. 72.] ; [61. 61.],1
v3,1,3.1e-05,17.385998,[64 78] ; [25 96],[48.05323194 93.94676806] ; [40.94676806 80.05323194],1
d1,1,0.001651,9.901614,[88 58] ; [50 72],[75.17910448 70.82089552] ; [62.82089552 59.17910448],0
d3,1,0.001836,9.706292,[114  31] ; [74 47],[102.48120301  42.51879699] ; [85.51879699 35.48120301],0
s1,1,0.013821,6.060921,[  2 141] ; [  9 111],[  5.98098859 137.01901141] ; [  5.01901141 114.98098859],0
d5,1,0.014416,5.986529,[121  25] ; [85 36],[112.64419476  33.35580524] ; [93.35580524 27.64419476],0
r3,1,0.015075,5.907714,[140   4] ; [109  12],[135.30566038   8.69433962] ; [113.69433962   7.30566038],0
a5,1,0.016006,5.802222,[109  36] ; [75 47],[99.92509363 45.07490637] ; [84.07490637 37.92509363],0
a2,1,0.017201,5.67576,[ 39 107] ; [ 18 104],[ 31.05223881 114.94776119] ; [25.94776119 96.05223881],0
a7,1,0.017506,5.644925,[118  27] ; [84 38],[109.70037453  35.29962547] ; [92.29962547 29.70037453],0
b1,1,0.024789,5.038583,[ 43 103] ; [52 70],[51.75373134 94.24626866] ; [43.24626866 78.75373134],0
p9,1,0.025082,5.018243,[122  20] ; [90 30],[114.90076336  27.09923664] ; [97.09923664 22.90076336],0
p12,1,0.025275,5.004932,[ 15 130] ; [  4 118],[ 10.31835206 134.68164794] ; [  8.68164794 113.31835206],0
d2,1,0.054016,3.712217,[66 79] ; [41 80],[58.32706767 86.67293233] ; [48.67293233 72.32706767],0
p10,1,0.059421,3.55346,[116  28] ; [84 35],[109.50570342  34.49429658] ; [90.49429658 28.50570342],0
p4,1,0.088075,2.909213,[94 51] ; [66 55],[87.21804511 57.78195489] ; [72.78195489 48.21804511],0
p1,1,0.100053,2.704703,[  6 139] ; [ 11 110],[  9.26691729 135.73308271] ; [  7.73308271 113.26691729],0
s4,1,0.100353,2.699929,[ 27 118] ; [32 86],[ 32.52851711 112.47148289] ; [26.47148289 91.52851711],0
a6,1,0.111355,2.534882,[101  44] ; [73 48],[94.84962406 50.15037594] ; [79.15037594 41.84962406],0
a3,1,0.141383,2.16284,[100  45] ; [73 48],[94.30451128 50.69548872] ; [78.69548872 42.30451128],0
p3,1,0.148198,2.090698,[74 71] ; [51 70],[68.13909774 76.86090226] ; [56.86090226 64.13909774],0
v4,1,0.159394,1.979962,[132  12] ; [117   5],[134.79699248   9.20300752] ; [114.20300752   7.79699248],0
d4,1,0.182305,1.77873,[123  22] ; [95 26],[118.83458647  26.16541353] ; [99.16541353 21.83458647],0
n1,1,0.188214,1.731541,[ 8 20] ; [14 17],[10.44067797 17.55932203] ; [11.55932203 19.44067797],0
u1,1,0.211817,1.558961,[ 26 120] ; [ 15 107],[ 22.3358209 123.6641791] ; [ 18.6641791 103.3358209],0
a4,1,0.262723,1.254353,[63 82] ; [44 76],[58.54716981 86.45283019] ; [48.45283019 71.54716981],0
r1,1,0.28555,1.140486,[115  30] ; [90 32],[111.32958801  33.67041199] ; [93.67041199 28.32958801],0
s2,1,0.289051,1.124037,[69 76] ; [66 56],[73.31460674 71.68539326] ; [61.68539326 60.31460674],0
s5,1,0.335069,0.929206,[50 92] ; [50 72],[53.78787879 88.21212121] ; [46.21212121 75.78787879],0
s3,1,0.34705,0.884214,[77 65] ; [72 48],[80.75572519 61.24427481] ; [68.24427481 51.75572519],0
n6,1,0.362944,0.827681,[118  26] ; [105  17],[120.72180451  23.27819549] ; [102.27819549  19.72180451],0
p6,1,0.370787,0.801026,[50 92] ; [36 84],[46.61068702 95.38931298] ; [39.38931298 80.61068702],0
p11,1,0.390735,0.736654,[112  34] ; [88 34],[108.95522388  37.04477612] ; [91.04477612 30.95522388],0
u4,1,0.459564,0.546957,[  1 145] ; [  2 120],[  1.63432836 144.36567164] ; [  1.36567164 120.63432836],0
u3,1,0.472393,0.516373,[25 21] ; [29 18],[26.70967742 19.29032258] ; [27.29032258 19.70967742],0
a1,1,0.506356,0.441589,[ 10 136] ; [  6 116],[  8.71641791 137.28358209] ; [  7.28358209 114.71641791],0
n4,1,0.538687,0.377978,[104  42] ; [91 31],[106.23134328  39.76865672] ; [88.76865672 33.23134328],0
