Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000318,12.96,[4 2] ; [ 2 28],[1. 5.] ; [ 5. 25.],1
s3,1,0.013922,6.048042,[4 2] ; [ 5 23],[1.58823529 4.41176471] ; [ 7.41176471 20.58823529],0
s8,1,0.015219,5.890909,[2 4] ; [ 1 29],[0.5 5.5] ; [ 2.5 27.5],0
v1,1,0.038301,4.291626,[3 3] ; [ 4 26],[1.16666667 4.83333333] ; [ 5.83333333 24.16666667],0
p11,1,0.038301,4.291626,[3 3] ; [ 4 26],[1.16666667 4.83333333] ; [ 5.83333333 24.16666667],0
s4,1,0.072998,3.214286,[3 3] ; [ 5 25],[1.33333333 4.66666667] ; [ 6.66666667 23.33333333],0
p2,1,0.072998,3.214286,[3 3] ; [ 5 25],[1.33333333 4.66666667] ; [ 6.66666667 23.33333333],0
b5,1,0.073638,3.2,[5 1] ; [13 17],[3. 3.] ; [15. 15.],0
n3,1,0.092987,2.821892,[3 1] ; [ 4 10],[1.55555556 2.44444444] ; [5.44444444 8.55555556],0
s6,1,0.121335,2.4,[3 3] ; [ 6 24],[1.5 4.5] ; [ 7.5 22.5],0
a2,1,0.131379,2.276129,[2 4] ; [ 3 27],[0.83333333 5.16666667] ; [ 4.16666667 25.83333333],0
u1,1,0.193059,1.694118,[1 5] ; [ 1 29],[0.33333333 5.66666667] ; [ 1.66666667 28.33333333],0
n6,1,0.195424,1.676245,[4 2] ; [11 18],[2.57142857 3.42857143] ; [12.42857143 16.57142857],0
n2,1,0.21289,1.551667,[3 1] ; [6 9],[1.89473684 2.10526316] ; [7.10526316 7.89473684],0
v2,1,0.230139,1.44,[2 4] ; [ 4 26],[1. 5.] ; [ 5. 25.],0
a3,1,0.230918,1.4352,[5 1] ; [16 12],[3.70588235 2.29411765] ; [17.29411765 10.70588235],0
p4,1,0.346373,0.8867,[2 4] ; [ 5 25],[1.16666667 4.83333333] ; [ 5.83333333 24.16666667],0
a5,1,0.371093,0.8,[4 2] ; [14 16],[3. 3.] ; [15. 15.],0
n4,1,0.418492,0.654545,[5 1] ; [20 10],[4.16666667 1.83333333] ; [20.83333333  9.16666667],0
d3,1,0.437813,0.602007,[3 3] ; [10 20],[2.16666667 3.83333333] ; [10.83333333 19.16666667],0
d4,1,0.45536,0.557276,[2 4] ; [15 15],[2.83333333 3.16666667] ; [14.16666667 15.83333333],0
d5,1,0.45536,0.557276,[2 4] ; [15 15],[2.83333333 3.16666667] ; [14.16666667 15.83333333],0
a6,1,0.45536,0.557276,[4 2] ; [15 15],[3.16666667 2.83333333] ; [15.83333333 14.16666667],0
v3,1,0.473289,0.514286,[2 4] ; [ 6 24],[1.33333333 4.66666667] ; [ 6.66666667 23.33333333],0
a4,1,0.513464,0.427002,[3 3] ; [10 18],[2.29411765 3.70588235] ; [10.70588235 17.29411765],0
s5,1,0.515252,0.423387,[1 4] ; [ 3 27],[0.57142857 4.42857143] ; [ 3.42857143 26.57142857],0
b2,1,0.600698,0.273945,[3 3] ; [ 8 13],[2.44444444 3.55555556] ; [ 8.55555556 12.44444444],0
b3,1,0.600698,0.273945,[3 3] ; [ 8 13],[2.44444444 3.55555556] ; [ 8.55555556 12.44444444],0
n5,1,0.605577,0.266667,[5 1] ; [22  8],[4.5 1.5] ; [22.5  7.5],0
r4,1,0.635256,0.225,[1 5] ; [ 3 27],[0.66666667 5.33333333] ; [ 3.33333333 26.66666667],0
s1,1,0.635256,0.225,[1 5] ; [ 3 27],[0.66666667 5.33333333] ; [ 3.33333333 26.66666667],0
p1,1,0.635256,0.225,[1 5] ; [ 3 27],[0.66666667 5.33333333] ; [ 3.33333333 26.66666667],0
b1,1,0.650147,0.205714,[3 3] ; [18 12],[3.5 2.5] ; [17.5 12.5],0
v4,1,0.650147,0.205714,[3 3] ; [12 18],[2.5 3.5] ; [12.5 17.5],0
p8,1,0.657738,0.196283,[1 5] ; [ 3 26],[0.68571429 5.31428571] ; [ 3.31428571 25.68571429],0
d2,1,0.697713,0.150862,[3 3] ; [12 17],[2.57142857 3.42857143] ; [12.42857143 16.57142857],0
p7,1,0.719918,0.128571,[1 5] ; [ 7 23],[1.33333333 4.66666667] ; [ 6.66666667 23.33333333],0
r1,1,0.73927,0.110769,[2 4] ; [ 8 22],[1.66666667 4.33333333] ; [ 8.33333333 21.66666667],0
d1,1,0.73927,0.110769,[2 4] ; [ 8 22],[1.66666667 4.33333333] ; [ 8.33333333 21.66666667],0
p9,1,0.850618,0.035468,[1 5] ; [ 6 24],[1.16666667 4.83333333] ; [ 5.83333333 24.16666667],0
a7,1,0.881316,0.022291,[3 3] ; [14 16],[2.83333333 3.16666667] ; [14.16666667 15.83333333],0
b4,1,0.881316,0.022291,[3 3] ; [16 14],[3.16666667 2.83333333] ; [15.83333333 14.16666667],0
n1,1,0.905565,0.014074,[2 2] ; [7 8],[1.89473684 2.10526316] ; [7.10526316 7.89473684],0
r2,1,0.953847,0.00335,[3 2] ; [17 12],[2.94117647 2.05882353] ; [17.05882353 11.94117647],0
p3,1,1.0,0.0,[1 5] ; [ 5 25],[1. 5.] ; [ 5. 25.],0
