Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,9.1e-05,15.305777,[4 4] ; [ 1 37],[0.86956522 7.13043478] ; [ 4.13043478 33.86956522],1
d5,1,0.000527,12.016254,[2 6] ; [32  6],[5.91304348 2.08695652] ; [28.08695652  9.91304348],1
d3,1,0.002041,9.512479,[1 7] ; [27 11],[4.86956522 3.13043478] ; [23.13043478 14.86956522],0
p1,1,0.016965,5.700016,[4 4] ; [ 5 33],[1.56521739 6.43478261] ; [ 7.43478261 30.56521739],0
p8,1,0.030111,4.702949,[5 3] ; [ 9 29],[2.43478261 5.56521739] ; [11.56521739 26.43478261],0
d2,1,0.04784,3.915587,[2 6] ; [24 14],[4.52173913 3.47826087] ; [21.47826087 16.52173913],0
p5,1,0.053542,3.726913,[3 5] ; [ 4 34],[1.2173913 6.7826087] ; [ 5.7826087 32.2173913],0
a4,1,0.090479,2.865829,[2 6] ; [22 16],[4.17391304 3.82608696] ; [19.82608696 18.17391304],0
a5,1,0.098746,2.725675,[5 3] ; [33  5],[6.60869565 1.39130435] ; [31.39130435  6.60869565],0
n5,1,0.114854,2.486121,[7 1] ; [22 16],[5.04347826 2.95652174] ; [23.95652174 14.04347826],0
p7,1,0.136189,2.220499,[5 3] ; [13 25],[3.13043478 4.86956522] ; [14.86956522 23.13043478],0
v3,1,0.140871,2.168415,[5 3] ; [12 23],[3.1627907 4.8372093] ; [13.8372093 21.1627907],0
b1,1,0.155022,2.022129,[6 2] ; [18 20],[4.17391304 3.82608696] ; [19.82608696 18.17391304],0
a3,1,0.185759,1.75094,[4 4] ; [28 10],[5.56521739 2.43478261] ; [26.43478261 11.56521739],0
u3,1,0.236724,1.4,[3 1] ; [4 6],[2. 2.] ; [5. 5.],0
v2,1,0.297711,1.08442,[3 4] ; [23 13],[4.23255814 2.76744186] ; [21.76744186 14.23255814],0
a6,1,0.30279,1.061865,[6 2] ; [21 17],[4.69565217 3.30434783] ; [22.30434783 15.69565217],0
r1,1,0.335597,0.92718,[7 1] ; [27 11],[5.91304348 2.08695652] ; [28.08695652  9.91304348],0
b5,1,0.360636,0.835676,[3 5] ; [21 17],[4.17391304 3.82608696] ; [19.82608696 18.17391304],0
p11,1,0.367582,0.811821,[6 2] ; [22 16],[4.86956522 3.13043478] ; [23.13043478 14.86956522],0
n4,1,0.367582,0.811821,[6 2] ; [22 16],[4.86956522 3.13043478] ; [23.13043478 14.86956522],0
p6,1,0.400387,0.707163,[4 4] ; [13 25],[2.95652174 5.04347826] ; [14.04347826 23.95652174],0
s3,1,0.426184,0.6332,[5 2] ; [21 17],[4.04444444 2.95555556] ; [21.95555556 16.04444444],0
v1,1,0.436577,0.605263,[5 3] ; [18 20],[4. 4.] ; [19. 19.],0
s2,1,0.440794,0.594214,[6 2] ; [23 15],[5.04347826 2.95652174] ; [23.95652174 14.04347826],0
p3,1,0.488256,0.480368,[4 4] ; [14 24],[3.13043478 4.86956522] ; [14.86956522 23.13043478],0
p12,1,0.532176,0.390235,[2 6] ; [ 6 32],[1.39130435 6.60869565] ; [ 6.60869565 31.39130435],0
r3,1,0.674368,0.176535,[7 1] ; [35  3],[7.30434783 0.69565217] ; [34.69565217  3.30434783],0
p10,1,0.680519,0.169542,[6 2] ; [25 12],[5.51111111 2.48888889] ; [25.48888889 11.51111111],0
p9,1,0.680519,0.169542,[6 2] ; [25 12],[5.51111111 2.48888889] ; [25.48888889 11.51111111],0
p4,1,0.76553,0.088939,[3 5] ; [16 21],[3.37777778 4.62222222] ; [15.62222222 21.37777778],0
s8,1,0.785904,0.073784,[4 4] ; [21 17],[4.34782609 3.65217391] ; [20.65217391 17.34782609],0
a7,1,0.809987,0.057813,[5 3] ; [22 16],[4.69565217 3.30434783] ; [22.30434783 15.69565217],0
s7,1,0.880368,0.022651,[4 3] ; [20 17],[3.81818182 3.18181818] ; [20.18181818 16.81818182],0
a8,1,0.910853,0.012536,[1 7] ; [ 4 32],[0.90909091 7.09090909] ; [ 4.09090909 31.90909091],0
u2,1,0.912637,0.012037,[1 3] ; [2 7],[0.92307692 3.07692308] ; [2.07692308 6.92307692],0
b4,1,0.917199,0.010808,[5 3] ; [23 15],[4.86956522 3.13043478] ; [23.13043478 14.86956522],0
s4,1,0.985741,0.000319,[3 5] ; [14 23],[3.02222222 4.97777778] ; [13.97777778 23.02222222],0
