Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,44.287933,[ 22 345] ; [24 52],[ 38.10835214 328.89164786] ; [ 7.89164786 68.10835214],1
s5,1,0.0,30.828855,[101 260] ; [45 28],[121.44239631 239.55760369] ; [24.55760369 48.44239631],1
p12,1,0.0,26.473336,[ 25 344] ; [20 56],[ 37.31460674 331.68539326] ; [ 7.68539326 68.31460674],1
p3,1,0.000209,13.74902,[229 140] ; [64 12],[242.95955056 126.04044944] ; [50.04044944 25.95955056],1
p8,1,0.000263,13.316751,[218 149] ; [62 14],[231.96388262 135.03611738] ; [48.03611738 27.96388262],1
p6,1,0.000309,13.012846,[154 213] ; [48 26],[168.10430839 198.89569161] ; [33.89569161 40.10430839],1
s7,1,0.000364,12.708076,[173 176] ; [51 19],[186.57756563 162.42243437] ; [37.42243437 32.57756563],1
b5,1,0.001305,10.335768,[225 145] ; [31 45],[212.37668161 157.62331839] ; [43.62331839 32.37668161],0
a1,1,0.001675,9.875916,[ 15 355] ; [10 66],[ 20.73991031 349.26008969] ; [ 4.26008969 71.73991031],0
n5,1,0.00237,9.238617,[281  86] ; [70  6],[290.78329571  76.21670429] ; [60.21670429 15.78329571],0
v3,1,0.003146,8.720691,[147 208] ; [44 29],[158.4228972 196.5771028] ; [32.5771028 40.4228972],0
p7,1,0.010397,6.565544,[254 112] ; [63 12],[263.08843537 102.91156463] ; [53.91156463 21.08843537],0
s6,1,0.021143,5.315005,[246 120] ; [59 14],[254.28246014 111.71753986] ; [50.71753986 22.28246014],0
s8,1,0.02619,4.943419,[169 199] ; [45 30],[177.76975169 190.23024831] ; [36.23024831 38.76975169],0
a6,1,0.039447,4.241505,[259 111] ; [44 32],[251.367713 118.632287] ; [51.632287 24.367713],0
n6,1,0.050151,3.836414,[312  56] ; [70  5],[317.32731377  50.67268623] ; [64.67268623 10.32731377],0
n3,1,0.058852,3.569447,[51 16] ; [9 8],[47.85714286 19.14285714] ; [12.14285714  4.85714286],0
s3,1,0.075179,3.166161,[191 171] ; [48 27],[197.98169336 164.01830664] ; [41.01830664 33.98169336],0
p9,1,0.090033,2.873788,[317  50] ; [71  5],[321.43566591  45.56433409] ; [66.56433409  9.43566591],0
b2,1,0.096242,2.766736,[ 89 146] ; [28 28],[ 94.48453608 140.51546392] ; [22.51546392 33.48453608],0
b3,1,0.096242,2.766736,[ 89 146] ; [28 28],[ 94.48453608 140.51546392] ; [22.51546392 33.48453608],0
n4,1,0.126108,2.339771,[298  71] ; [67  9],[302.66292135  66.33707865] ; [62.33707865 13.66292135],0
r2,1,0.126702,2.332453,[344  21] ; [68  8],[340.99773243  24.00226757] ; [71.00226757  4.99773243],0
s2,1,0.177977,1.81444,[184 183] ; [44 31],[189.31221719 177.68778281] ; [38.68778281 36.31221719],0
u4,1,0.181498,1.785313,[  9 361] ; [ 4 72],[ 10.78475336 359.21524664] ; [ 2.21524664 73.78475336],0
v1,1,0.230841,1.43567,[212 149] ; [49 25],[216.6 144.4] ; [44.4 29.6],0
a5,1,0.231824,1.429634,[291  79] ; [55 21],[287.04035874  82.95964126] ; [58.95964126 17.04035874],0
p10,1,0.23304,1.422207,[307  58] ; [68  8],[310.37414966  54.62585034] ; [64.62585034 11.37414966],0
a2,1,0.23547,1.407511,[ 97 273] ; [15 61],[ 92.91479821 277.08520179] ; [19.08520179 56.91479821],0
a7,1,0.250253,1.32189,[276  93] ; [52 24],[271.98202247  97.01797753] ; [56.01797753 19.98202247],0
p11,1,0.25346,1.30413,[301  69] ; [66 10],[304.46188341  65.53811659] ; [62.53811659 13.46188341],0
s1,1,0.255704,1.291869,[ 10 354] ; [ 4 72],[ 11.58181818 352.41818182] ; [ 2.41818182 73.58181818],0
r3,1,0.260145,1.267984,[356  14] ; [70  5],[354.20224719  15.79775281] ; [71.79775281  3.20224719],0
u3,1,0.270558,1.213916,[62 44] ; [13  5],[64.11290323 41.88709677] ; [10.88709677  7.11290323],0
v4,1,0.3247,0.969921,[353  15] ; [70  5],[351.38600451  16.61399549] ; [71.61399549  3.38600451],0
