Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000347,12.8,[ 7 42] ; [9 6],[12.25 36.75] ; [ 3.75 11.25],1
s3,1,0.001283,10.366226,[13 35] ; [11  4],[18.28571429 29.71428571] ; [5.71428571 9.28571429],0
s6,1,0.003574,8.488535,[11 37] ; [9 5],[15.48387097 32.51612903] ; [4.51612903 9.48387097],0
p6,1,0.020099,5.403234,[ 6 41] ; [6 9],[ 9.09677419 37.90322581] ; [ 2.90322581 12.09677419],0
n6,1,0.021791,5.262388,[21 27] ; [11  3],[24.77419355 23.22580645] ; [7.22580645 6.77419355],0
r3,1,0.023669,5.11875,[26 22] ; [13  2],[29.71428571 18.28571429] ; [9.28571429 5.71428571],0
p2,1,0.032779,4.557292,[17 31] ; [10  5],[20.57142857 27.42857143] ; [6.42857143 8.57142857],0
p4,1,0.03496,4.447149,[12 37] ; [8 7],[15.3125 33.6875] ; [ 4.6875 10.3125],0
v3,1,0.052301,3.766111,[ 8 41] ; [6 9],[10.71875 38.28125] ; [ 3.28125 11.71875],0
u2,1,0.06399,3.430827,[ 4 16] ; [4 3],[ 5.92592593 14.07407407] ; [2.07407407 4.92592593],0
s8,1,0.098169,2.735043,[ 7 42] ; [ 5 10],[ 9.1875 39.8125] ; [ 2.8125 12.1875],0
v2,1,0.120991,2.404443,[15 33] ; [8 7],[17.52380952 30.47619048] ; [5.47619048 9.52380952],0
p10,1,0.164827,1.929375,[19 29] ; [9 6],[21.33333333 26.66666667] ; [6.66666667 8.33333333],0
p7,1,0.191541,1.705722,[14 35] ; [7 8],[16.078125 32.921875] ; [ 4.921875 10.078125],0
v1,1,0.193229,1.692823,[11 37] ; [6 9],[12.95238095 35.04761905] ; [ 4.04761905 10.95238095],0
a4,1,0.209482,1.575,[18 30] ; [ 3 12],[16. 32.] ; [ 5. 10.],0
p8,1,0.23568,1.40625,[ 9 39] ; [ 5 10],[10.66666667 37.33333333] ; [ 3.33333333 11.66666667],0
s7,1,0.272734,1.202946,[ 8 39] ; [4 9],[ 9.4 37.6] ; [ 2.6 10.4],0
a7,1,0.3058,1.048728,[27 22] ; [6 9],[25.265625 23.734375] ; [7.734375 7.265625],0
d1,1,0.321941,0.981043,[20 29] ; [ 4 11],[18.375 30.625] ; [5.625 9.375],0
s1,1,0.362524,0.829129,[ 3 46] ; [ 2 13],[ 3.828125 45.171875] ; [ 1.171875 13.828125],0
p9,1,0.37365,0.791489,[22 25] ; [9 6],[23.5 23.5] ; [7.5 7.5],0
n5,1,0.392427,0.73141,[30 19] ; [11  4],[31.390625 17.609375] ; [9.609375 5.390625],0
a5,1,0.427449,0.629745,[27 22] ; [10  5],[28.328125 20.671875] ; [8.671875 6.328125],0
b3,1,0.428427,0.627083,[14 21] ; [2 6],[13.02325581 21.97674419] ; [2.97674419 5.02325581],0
b2,1,0.428427,0.627083,[14 21] ; [2 6],[13.02325581 21.97674419] ; [2.97674419 5.02325581],0
b5,1,0.454884,0.558454,[24 25] ; [9 6],[25.265625 23.734375] ; [7.734375 7.265625],0
d2,1,0.498475,0.458182,[24 24] ; [6 9],[22.85714286 25.14285714] ; [7.14285714 7.85714286],0
n3,1,0.534428,0.385965,[10  9] ; [1 2],[9.5 9.5] ; [1.5 1.5],0
a1,1,0.544727,0.366849,[ 6 43] ; [ 1 14],[ 5.359375 43.640625] ; [ 1.640625 13.359375],0
n1,1,0.589962,0.290404,[10 10] ; [1 2],[ 9.56521739 10.43478261] ; [1.43478261 1.56521739],0
n2,1,0.589962,0.290404,[10 10] ; [2 1],[10.43478261  9.56521739] ; [1.56521739 1.43478261],0
a8,1,0.607715,0.263516,[ 9 38] ; [ 2 13],[ 8.33870968 38.66129032] ; [ 2.66129032 12.33870968],0
a3,1,0.626689,0.236577,[29 19] ; [8 7],[28.19047619 19.80952381] ; [8.80952381 6.19047619],0
b1,1,0.664567,0.188024,[26 23] ; [7 8],[25.265625 23.734375] ; [7.734375 7.265625],0
p5,1,0.665835,0.186513,[ 5 43] ; [ 1 14],[ 4.57142857 43.42857143] ; [ 1.42857143 13.57142857],0
p12,1,0.691469,0.1575,[ 2 46] ; [ 1 14],[ 2.28571429 45.71428571] ; [ 0.71428571 14.28571429],0
n4,1,0.723932,0.124756,[35 14] ; [10  5],[34.453125 14.546875] ; [10.546875  4.453125],0
d4,1,0.723932,0.124756,[35 14] ; [10  5],[34.453125 14.546875] ; [10.546875  4.453125],0
u3,1,0.756158,0.096429,[ 2 18] ; [1 6],[ 2.22222222 17.77777778] ; [0.77777778 6.22222222],0
r4,1,0.769783,0.085649,[15 34] ; [ 4 11],[14.546875 34.453125] ; [ 4.453125 10.546875],0
d5,1,0.819202,0.052245,[31 18] ; [9 6],[30.625 18.375] ; [9.375 5.625],0
s5,1,0.831231,0.045421,[ 8 40] ; [ 2 12],[ 7.74193548 40.25806452] ; [ 2.25806452 11.74193548],0
r1,1,0.844565,0.038438,[21 28] ; [6 9],[20.671875 28.328125] ; [6.328125 8.671875],0
a6,1,0.875371,0.024599,[25 24] ; [8 7],[25.265625 23.734375] ; [7.734375 7.265625],0
r2,1,0.892961,0.018106,[26 21] ; [8 7],[25.77419355 21.22580645] ; [8.22580645 6.77419355],0
d3,1,0.90416,0.014498,[22 27] ; [7 8],[22.203125 26.796875] ; [6.796875 8.203125],0
a2,1,0.911195,0.012439,[ 6 43] ; [ 2 13],[ 6.125 42.875] ; [ 1.875 13.125],0
b4,1,0.922666,0.009424,[32 17] ; [10  5],[32.15625 16.84375] ; [9.84375 5.15625],0
u1,1,0.939268,0.005805,[ 3 46] ; [ 1 14],[ 3.0625 45.9375] ; [ 0.9375 14.0625],0
p11,1,0.985257,0.000341,[23 26] ; [7 8],[22.96875 26.03125] ; [7.03125 7.96875],0
