Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.004744,7.974572,[19 21] ; [124  51],[26.60465116 13.39534884] ; [116.39534884  58.60465116],0
v2,1,0.006735,7.342264,[13 27] ; [93 72],[20.68292683 19.31707317] ; [85.31707317 79.68292683],0
a6,1,0.018029,5.593372,[19 21] ; [118  57],[25.48837209 14.51162791] ; [111.51162791  63.48837209],0
v1,1,0.026477,4.924592,[ 9 31] ; [70 99],[15.11961722 24.88038278] ; [ 63.88038278 105.11961722],0
n6,1,0.026968,4.892831,[32  8] ; [107  67],[25.98130841 14.01869159] ; [113.01869159  60.98130841],0
d1,1,0.029227,4.754192,[15 25] ; [99 76],[21.20930233 18.79069767] ; [92.79069767 82.20930233],0
a1,1,0.074988,3.170314,[ 4 36] ; [  6 169],[ 1.86046512 38.13953488] ; [  8.13953488 166.86046512],0
b5,1,0.096446,2.763351,[29 11] ; [102  73],[24.37209302 15.62790698] ; [106.62790698  68.37209302],0
p6,1,0.104859,2.630034,[15 23] ; [ 45 126],[10.90909091 27.09090909] ; [ 49.09090909 121.90909091],0
a2,1,0.11019,2.551497,[ 3 37] ; [ 31 144],[ 6.3255814 33.6744186] ; [ 27.6744186 147.3255814],0
d3,1,0.148556,2.087018,[24 15] ; [128  47],[27.70093458 11.29906542] ; [124.29906542  50.70093458],0
s3,1,0.19233,1.699676,[15 24] ; [87 87],[18.67605634 20.32394366] ; [83.32394366 90.67605634],0
p8,1,0.212123,1.556878,[13 26] ; [77 97],[16.47887324 22.52112676] ; [ 73.52112676 100.47887324],0
p2,1,0.216284,1.528858,[27 13] ; [133  40],[30.04694836  9.95305164] ; [129.95305164  43.04694836],0
a7,1,0.26028,1.267268,[26 13] ; [132  43],[28.79439252 10.20560748] ; [129.20560748  45.79439252],0
a4,1,0.266893,1.232646,[12 28] ; [ 69 106],[15.06976744 24.93023256] ; [ 65.93023256 109.06976744],0
b2,1,0.287874,1.129538,[ 9 14] ; [27 70],[ 6.9 16.1] ; [29.1 67.9],0
b3,1,0.287874,1.129538,[ 9 14] ; [27 70],[ 6.9 16.1] ; [29.1 67.9],0
n4,1,0.298623,1.080335,[14 26] ; [77 98],[16.93023256 23.06976744] ; [ 74.06976744 100.93023256],0
n3,1,0.308419,1.037433,[8 4] ; [37  9],[9.31034483 2.68965517] ; [35.68965517 10.31034483],0
u1,1,0.323384,0.975213,[ 3 37] ; [ 23 152],[ 4.8372093 35.1627907] ; [ 21.1627907 153.8372093],0
p11,1,0.33747,0.920019,[25 15] ; [123  52],[27.53488372 12.46511628] ; [120.46511628  54.53488372],0
n2,1,0.341946,0.903123,[10  2] ; [32 14],[8.68965517 3.31034483] ; [33.31034483 12.68965517],0
d4,1,0.375171,0.786466,[31  9] ; [146  29],[32.93023256  7.06976744] ; [144.06976744  30.93023256],0
s6,1,0.396399,0.719221,[20 19] ; [101  71],[22.36492891 16.63507109] ; [98.63507109 73.36492891],0
b1,1,0.4102,0.678222,[16 24] ; [ 58 117],[13.76744186 26.23255814] ; [ 60.23255814 114.76744186],0
s5,1,0.416559,0.660004,[13 26] ; [ 44 120],[10.95073892 28.04926108] ; [ 46.04926108 117.95073892],0
p4,1,0.430123,0.622491,[15 24] ; [79 95],[17.21126761 21.78873239] ; [76.78873239 97.21126761],0
s2,1,0.480154,0.498514,[19 21] ; [ 72 102],[17.00934579 22.99065421] ; [ 73.99065421 100.00934579],0
p10,1,0.481156,0.496242,[24 15] ; [116  56],[25.87677725 13.12322275] ; [114.12322275  57.87677725],0
u2,1,0.492182,0.471752,[11  5] ; [35 24],[9.81333333 6.18666667] ; [36.18666667 22.81333333],0
r2,1,0.495392,0.464793,[38  2] ; [169   5],[38.69158879  1.30841121] ; [168.30841121   5.69158879],0
p1,1,0.5144,0.425107,[ 4 36] ; [ 12 160],[ 3.01886792 36.98113208] ; [ 12.98113208 159.01886792],0
b4,1,0.529142,0.396039,[23 17] ; [110  65],[24.74418605 15.25581395] ; [108.25581395  66.74418605],0
a3,1,0.540504,0.374607,[24 16] ; [114  61],[25.6744186 14.3255814] ; [112.3255814  62.6744186],0
a8,1,0.554878,0.348651,[ 2 36] ; [ 13 148],[ 2.86432161 35.13567839] ; [ 12.13567839 148.86432161],0
n1,1,0.587435,0.294367,[4 8] ; [12 35],[3.25423729 8.74576271] ; [12.74576271 34.25423729],0
d5,1,0.594977,0.282639,[29 10] ; [137  38],[30.25233645  8.74766355] ; [135.74766355  39.25233645],0
s7,1,0.639387,0.219545,[13 26] ; [ 62 104],[14.26829268 24.73170732] ; [ 60.73170732 105.26829268],0
s4,1,0.723656,0.125017,[ 9 31] ; [ 35 140],[ 8.18604651 31.81395349] ; [ 35.81395349 139.18604651],0
p9,1,0.725368,0.123407,[27 11] ; [127  45],[27.86666667 10.13333333] ; [126.13333333  45.86666667],0
s1,1,0.77571,0.081176,[ 2 38] ; [  7 168],[ 1.6744186 38.3255814] ; [  7.3255814 167.6744186],0
p12,1,0.792677,0.069083,[ 2 38] ; [  7 165],[ 1.69811321 38.30188679] ; [  7.30188679 164.69811321],0
p7,1,0.794855,0.067606,[23 17] ; [95 77],[22.26415094 17.73584906] ; [95.73584906 76.26415094],0
v3,1,0.802466,0.062579,[11 28] ; [ 49 113],[11.64179104 27.35820896] ; [ 48.35820896 113.64179104],0
u3,1,0.84202,0.039725,[11  5] ; [39 20],[10.66666667  5.33333333] ; [39.33333333 19.66666667],0
v4,1,0.913437,0.011817,[38  2] ; [166   8],[38.13084112  1.86915888] ; [165.86915888   8.13084112],0
p5,1,0.919358,0.01025,[ 2 38] ; [  8 165],[ 1.87793427 38.12206573] ; [  8.12206573 164.87793427],0
d2,1,0.92759,0.008259,[17 23] ; [ 73 102],[16.74418605 23.25581395] ; [ 73.25581395 101.74418605],0
s8,1,0.939947,0.005676,[14 26] ; [ 62 112],[14.20560748 25.79439252] ; [ 61.79439252 112.20560748],0
p3,1,0.967942,0.001615,[16 24] ; [ 69 105],[15.88785047 24.11214953] ; [ 69.11214953 104.88785047],0
