Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,32.460719,[254  21] ; [29 17],[242.44548287  32.55451713] ; [40.55451713  5.44548287],1
p9,1,0.0,29.171438,[258  18] ; [31 15],[247.71428571  28.28571429] ; [41.28571429  4.71428571],1
n5,1,0.000222,13.636394,[232  44] ; [28 18],[222.85714286  53.14285714] ; [37.14285714  8.85714286],1
p7,1,0.000501,12.112357,[237  34] ; [31 15],[229.11041009  41.88958991] ; [38.88958991  7.11041009],1
n6,1,0.006704,7.350608,[247  28] ; [34 11],[241.484375  33.515625] ; [39.515625  5.484375],0
a6,1,0.027857,4.836871,[189  86] ; [24 22],[182.47663551  92.52336449] ; [30.52336449 15.47663551],0
r3,1,0.029324,4.748505,[270   7] ; [41  4],[267.53726708   9.46273292] ; [43.46273292  1.53726708],0
p2,1,0.070941,3.261101,[256  20] ; [39  7],[252.85714286  23.14285714] ; [42.14285714  3.85714286],0
n4,1,0.080014,3.064609,[224  53] ; [32 14],[219.54179567  57.45820433] ; [36.45820433  9.54179567],0
a3,1,0.092818,2.824805,[205  71] ; [28 17],[200.3364486  75.6635514] ; [32.6635514 12.3364486],0
a8,1,0.129134,2.302881,[ 43 212] ; [ 3 37],[ 39.76271186 215.23728814] ; [ 6.23728814 33.76271186],0
b1,1,0.141593,2.160563,[101 176] ; [22 24],[105.48297214 171.51702786] ; [17.51702786 28.48297214],0
s8,1,0.147747,2.095355,[168 106] ; [23 23],[163.54375 110.45625] ; [27.45625 18.54375],0
v4,1,0.149113,2.081303,[269   7] ; [43  3],[267.42857143   8.57142857] ; [44.57142857  1.42857143],0
n1,1,0.1546,2.026266,[16 25] ; [8 5],[18.22222222 22.77777778] ; [5.77777778 7.22222222],0
p6,1,0.156512,2.007604,[150 124] ; [20 26],[145.5625 128.4375] ; [24.4375 21.5625],0
p12,1,0.174528,1.843617,[ 38 239] ; [ 3 43],[ 35.16099071 241.83900929] ; [ 5.83900929 40.16099071],0
b3,1,0.175523,1.835128,[ 67 105] ; [ 5 16],[ 64.16580311 107.83419689] ; [ 7.83419689 13.16580311],0
b2,1,0.175523,1.835128,[ 67 105] ; [ 5 16],[ 64.16580311 107.83419689] ; [ 7.83419689 13.16580311],0
u4,1,0.208277,1.58336,[  8 269] ; [ 3 43],[  9.43343653 267.56656347] ; [ 1.56656347 44.43343653],0
s5,1,0.250225,1.322046,[132 136] ; [18 27],[128.43450479 139.56549521] ; [21.56549521 23.43450479],0
a2,1,0.251242,1.316387,[ 63 214] ; [ 7 39],[ 60.03095975 216.96904025] ; [ 9.96904025 36.03095975],0
a7,1,0.276579,1.183824,[207  69] ; [31 15],[204.  72.] ; [34. 12.],0
p1,1,0.324126,0.972226,[ 29 246] ; [ 7 38],[ 30.9375 244.0625] ; [ 5.0625 39.9375],0
v2,1,0.388112,0.744849,[156 113] ; [23 22],[153.34713376 115.65286624] ; [25.65286624 19.34713376],0
s7,1,0.417011,0.658722,[173  95] ; [25 18],[170.62379421  97.37620579] ; [27.37620579 15.62379421],0
b5,1,0.421821,0.645237,[151 126] ; [28 18],[153.50773994 123.49226006] ; [25.49226006 20.50773994],0
u3,1,0.427194,0.63044,[45 26] ; [9 8],[43.56818182 27.43181818] ; [10.43181818  6.56818182],0
u2,1,0.443922,0.586124,[47 25] ; [10  8],[45.6 26.4] ; [11.4  6.6],0
d4,1,0.522057,0.409827,[237  38] ; [38  8],[235.59190031  39.40809969] ; [39.40809969  6.59190031],0
a1,1,0.522326,0.409297,[ 19 258] ; [ 2 44],[ 18.00928793 258.99071207] ; [ 2.99071207 43.00928793],0
v1,1,0.543643,0.368829,[166 105] ; [26 20],[164.13880126 106.86119874] ; [27.86119874 18.13880126],0
a4,1,0.559734,0.340165,[116 160] ; [21 24],[117.79439252 158.20560748] ; [19.20560748 25.79439252],0
p4,1,0.588668,0.29243,[214  62] ; [34 12],[212.57142857  63.42857143] ; [35.42857143 10.57142857],0
b4,1,0.594652,0.283137,[157 120] ; [28 18],[158.65325077 118.34674923] ; [26.34674923 19.65325077],0
s4,1,0.600451,0.274316,[ 56 217] ; [11 35],[ 57.33855799 215.66144201] ; [ 9.66144201 36.33855799],0
d2,1,0.615886,0.251693,[127 149] ; [23 23],[128.57142857 147.42857143] ; [21.42857143 24.57142857],0
s1,1,0.618944,0.247355,[ 10 267] ; [ 1 45],[  9.43343653 267.56656347] ; [ 1.56656347 44.43343653],0
n2,1,0.627268,0.235784,[34  7] ; [10  3],[33.40740741  7.59259259] ; [10.59259259  2.40740741],0
r4,1,0.679754,0.170403,[263  14] ; [43  3],[262.42105263  14.57894737] ; [43.57894737  2.42105263],0
u1,1,0.712493,0.135799,[ 48 229] ; [ 9 37],[ 48.88235294 228.11764706] ; [ 8.11764706 37.88235294],0
s3,1,0.744054,0.106596,[196  79] ; [31 14],[195.078125  79.921875] ; [31.921875 13.078125],0
r1,1,0.747658,0.103509,[234  43] ; [38  8],[233.26315789  43.73684211] ; [38.73684211  7.26315789],0
d3,1,0.760987,0.092529,[198  78] ; [34 12],[198.85714286  77.14285714] ; [33.14285714 12.85714286],0
d1,1,0.793232,0.068705,[169 108] ; [29 17],[169.80185759 107.19814241] ; [28.19814241 17.80185759],0
p3,1,0.811983,0.056582,[179  97] ; [29 17],[178.28571429  97.71428571] ; [29.71428571 16.28571429],0
a5,1,0.818233,0.052817,[215  62] ; [35 11],[214.39628483  62.60371517] ; [35.60371517 10.39628483],0
n3,1,0.821127,0.051119,[26 14] ; [8 5],[25.66037736 14.33962264] ; [8.33962264 4.66037736],0
s2,1,0.823043,0.050011,[182  95] ; [31 15],[182.66563467  94.33436533] ; [30.33436533 15.66563467],0
p5,1,0.831524,0.045261,[ 58 219] ; [ 9 37],[ 57.45820433 219.54179567] ; [ 9.54179567 36.45820433],0
d5,1,0.869565,0.026965,[224  51] ; [37  9],[223.59813084  51.40186916] ; [37.40186916  8.59813084],0
r2,1,0.89839,0.016306,[259  13] ; [44  2],[259.16981132  12.83018868] ; [43.83018868  2.16981132],0
v3,1,0.941715,0.005346,[116 155] ; [19 26],[115.77531646 155.22468354] ; [19.22468354 25.77531646],0
