Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.003027,8.791209,[50 10] ; [20 16],[43.75 16.25] ; [26.25  9.75],0
a7,1,0.00492,7.908595,[48 12] ; [19 17],[41.875 18.125] ; [25.125 10.875],0
d3,1,0.005869,7.590133,[45 15] ; [17 19],[38.75 21.25] ; [23.25 12.75],0
v3,1,0.006034,7.540215,[28 31] ; [ 7 29],[21.73684211 37.26315789] ; [13.26315789 22.73684211],0
d1,1,0.013066,6.160174,[34 26] ; [11 25],[28.125 31.875] ; [16.875 19.125],0
a6,1,0.020656,5.355598,[44 16] ; [18 18],[38.75 21.25] ; [23.25 12.75],0
u1,1,0.025675,4.977778,[11 49] ; [ 1 35],[ 7.5 52.5] ; [ 4.5 31.5],0
r3,1,0.026935,4.894968,[56  3] ; [29  7],[52.78947368  6.21052632] ; [32.21052632  3.78947368],0
r1,1,0.043779,4.065055,[48 12] ; [22 14],[43.75 16.25] ; [26.25  9.75],0
p6,1,0.045569,3.997446,[19 37] ; [ 5 29],[14.93333333 41.06666667] ; [ 9.06666667 24.93333333],0
v4,1,0.057407,3.610756,[57  2] ; [31  5],[54.65263158  4.34736842] ; [33.34736842  2.65263158],0
n2,1,0.082553,3.013915,[15  7] ; [13  1],[17.11111111  4.88888889] ; [10.88888889  3.11111111],0
p9,1,0.113416,2.50597,[50  7] ; [27  9],[47.19354839  9.80645161] ; [29.80645161  6.19354839],0
p11,1,0.128096,2.315434,[44 16] ; [21 15],[40.625 19.375] ; [24.375 11.625],0
a8,1,0.138213,2.19774,[ 1 54] ; [ 3 33],[ 2.41758242 52.58241758] ; [ 1.58241758 34.41758242],0
d4,1,0.147149,2.101564,[52  8] ; [27  9],[49.375 10.625] ; [29.625  6.375],0
b4,1,0.175851,1.832341,[40 20] ; [19 17],[36.875 23.125] ; [22.125 13.875],0
p8,1,0.187956,1.733567,[29 29] ; [13 23],[25.91489362 32.08510638] ; [16.08510638 19.91489362],0
a2,1,0.194366,1.684211,[15 45] ; [ 5 31],[12.5 47.5] ; [ 7.5 28.5],0
s4,1,0.194366,1.684211,[10 50] ; [10 26],[12.5 47.5] ; [ 7.5 28.5],0
r4,1,0.194366,1.684211,[50 10] ; [26 10],[47.5 12.5] ; [28.5  7.5],0
a5,1,0.211016,1.564444,[44 16] ; [22 14],[41.25 18.75] ; [24.75 11.25],0
r2,1,0.226052,1.465533,[54  5] ; [30  6],[52.16842105  6.83157895] ; [31.83157895  4.16842105],0
p5,1,0.268127,1.226305,[ 5 54] ; [ 1 35],[ 3.72631579 55.27368421] ; [ 2.27368421 33.72631579],0
n6,1,0.350604,0.871269,[40 19] ; [21 15],[37.88421053 21.11578947] ; [23.11578947 12.88421053],0
p2,1,0.353762,0.859917,[46 13] ; [25 11],[44.09473684 14.90526316] ; [26.90526316  9.09473684],0
a4,1,0.392421,0.731429,[27 33] ; [13 23],[25. 35.] ; [15. 21.],0
u3,1,0.423925,0.639408,[13  6] ; [9 2],[13.93333333  5.06666667] ; [8.06666667 2.93333333],0
p10,1,0.457272,0.552564,[45 12] ; [26 10],[43.51612903 13.48387097] ; [27.48387097  8.51612903],0
p1,1,0.460812,0.543921,[ 4 55] ; [ 4 32],[ 4.96842105 54.03157895] ; [ 3.03157895 32.96842105],0
n1,1,0.464795,0.534323,[ 4 18] ; [ 4 10],[ 4.88888889 17.11111111] ; [ 3.11111111 10.88888889],0
s3,1,0.506861,0.440542,[27 32] ; [19 17],[28.56842105 30.43157895] ; [17.43157895 18.56842105],0
s5,1,0.508347,0.437468,[18 41] ; [13 22],[19.45744681 39.54255319] ; [11.54255319 23.45744681],0
s2,1,0.525648,0.402797,[26 34] ; [18 18],[27.5 32.5] ; [16.5 19.5],0
a1,1,0.597843,0.278261,[ 2 58] ; [ 2 34],[ 2.5 57.5] ; [ 1.5 34.5],0
s1,1,0.610116,0.260006,[ 2 57] ; [ 2 34],[ 2.48421053 56.51578947] ; [ 1.51578947 34.48421053],0
n5,1,0.619907,0.245998,[26 33] ; [14 22],[24.84210526 34.15789474] ; [15.15789474 20.84210526],0
b5,1,0.626038,0.237471,[38 22] ; [21 15],[36.875 23.125] ; [22.125 13.875],0
p7,1,0.636087,0.223897,[32 25] ; [22 14],[33.09677419 23.90322581] ; [20.90322581 15.09677419],0
s8,1,0.706787,0.141507,[20 40] ; [13 22],[20.84210526 39.15789474] ; [12.15789474 22.84210526],0
b1,1,0.746451,0.104537,[23 37] ; [15 21],[23.75 36.25] ; [14.25 21.75],0
n3,1,0.755277,0.09715,[13  9] ; [9 5],[13.44444444  8.55555556] ; [8.55555556 5.44444444],0
d2,1,0.827638,0.047407,[23 37] ; [13 23],[22.5 37.5] ; [13.5 22.5],0
b2,1,0.83632,0.042685,[10 17] ; [ 8 12],[10.34042553 16.65957447] ; [ 7.65957447 12.34042553],0
b3,1,0.83632,0.042685,[10 17] ; [ 8 12],[10.34042553 16.65957447] ; [ 7.65957447 12.34042553],0
s7,1,0.889112,0.01944,[22 35] ; [13 22],[21.68478261 35.31521739] ; [13.31521739 21.68478261],0
a3,1,0.90947,0.012929,[41 19] ; [25 11],[41.25 18.75] ; [24.75 11.25],0
s6,1,0.927652,0.008244,[37 21] ; [22 13],[36.79569892 21.20430108] ; [22.20430108 12.79569892],0
p3,1,0.978071,0.000756,[24 34] ; [15 21],[24.06382979 33.93617021] ; [14.93617021 21.06382979],0
u2,1,0.979092,0.000687,[12  7] ; [7 4],[12.03333333  6.96666667] ; [6.96666667 4.03333333],0
p4,1,0.982214,0.000497,[28 31] ; [17 19],[27.94736842 31.05263158] ; [17.05263158 18.94736842],0
