Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.797403,[392 101] ; [ 84 110],[341.58369723 151.41630277] ; [134.41630277  59.58369723],1
d3,1,0.0,78.195001,[388 106] ; [ 85 109],[339.625 154.375] ; [133.375  60.625],1
a2,1,0.0,29.446607,[142 353] ; [ 18 176],[114.94920174 380.05079826] ; [ 45.05079826 148.94920174],1
u1,1,2e-06,22.446767,[109 386] ; [ 13 181],[ 87.64876633 407.35123367] ; [ 34.35123367 159.64876633],1
b5,1,2.3e-05,17.955838,[317 178] ; [ 90 104],[292.40203193 202.59796807] ; [114.59796807  79.40203193],1
d1,1,7.1e-05,15.796055,[319 176] ; [ 93 101],[295.99419448 199.00580552] ; [116.00580552  77.99419448],1
d4,1,0.000361,12.723867,[423  71] ; [143  50],[406.99272198  87.00727802] ; [159.00727802  33.99272198],1
r4,1,0.00042,12.44008,[476  19] ; [173  21],[466.26269956  28.73730044] ; [182.73730044  11.26269956],1
p4,1,0.001296,10.347513,[319 172] ; [98 92],[300.65638767 190.34361233] ; [116.34361233  73.65638767],0
p2,1,0.001801,9.742251,[434  58] ; [149  40],[421.19823789  70.80176211] ; [161.80176211  27.19823789],0
v2,1,0.002403,9.213085,[291 183] ; [89 95],[273.73860182 200.26139818] ; [106.26139818  77.73860182],0
v4,1,0.008873,6.848173,[484   8] ; [183  10],[479.07153285  12.92846715] ; [187.92846715   5.07153285],0
p8,1,0.009993,6.63606,[288 197] ; [91 97],[273.12778603 211.87221397] ; [105.87221397  82.12778603],0
b1,1,0.010951,6.473228,[156 339] ; [ 81 113],[170.26850508 324.73149492] ; [ 66.73149492 127.26850508],0
p10,1,0.011105,6.448426,[435  57] ; [153  36],[424.81057269  67.18942731] ; [163.18942731  25.81057269],0
r3,1,0.0119,6.325679,[484  10] ; [182  11],[478.89956332  15.10043668] ; [187.10043668   5.89956332],0
r1,1,0.030524,4.67955,[417  75] ; [151  43],[407.37026239  84.62973761] ; [160.62973761  33.37026239],0
b4,1,0.031788,4.609883,[307 188] ; [103  91],[294.55732946 200.44267054] ; [115.44267054  78.55732946],0
u3,1,0.038466,4.284291,[90 48] ; [27 28],[83.65803109 54.34196891] ; [33.34196891 21.65803109],0
d5,1,0.046865,3.950237,[409  85] ; [147  46],[399.80203785  94.19796215] ; [156.19796215  36.80203785],0
b3,1,0.048368,3.897158,[114 193] ; [61 68],[123.22247706 183.77752294] ; [51.77752294 77.22247706],0
b2,1,0.048368,3.897158,[114 193] ; [61 68],[123.22247706 183.77752294] ; [51.77752294 77.22247706],0
p9,1,0.083773,2.990139,[438  51] ; [162  29],[431.47058824  57.52941176] ; [168.52941176  22.47058824],0
s5,1,0.13787,2.201568,[154 325] ; [ 70 113],[162.07854985 316.92145015] ; [ 61.92145015 121.07854985],0
a5,1,0.16496,1.928161,[375 120] ; [137  57],[367.83744557 127.16255443] ; [144.16255443  49.83744557],0
n6,1,0.181257,1.787288,[433  58] ; [162  30],[427.73792094  63.26207906] ; [167.26207906  24.73792094],0
s7,1,0.188398,1.730103,[226 247] ; [101  88],[233.64199396 239.35800604] ; [93.35800604 95.64199396],0
s8,1,0.242738,1.364624,[214 275] ; [94 99],[220.83870968 268.16129032] ; [ 87.16129032 105.83870968],0
v3,1,0.253371,1.304623,[199 274] ; [ 70 118],[192.49167927 280.50832073] ; [ 76.50832073 111.49167927],0
p12,1,0.274978,1.191746,[ 47 444] ; [ 13 175],[ 43.38733432 447.61266568] ; [ 16.61266568 171.38733432],0
s4,1,0.276636,1.183543,[ 72 413] ; [ 35 157],[ 76.65435746 408.34564254] ; [ 30.34564254 161.65435746],0
p3,1,0.278149,1.176111,[261 231] ; [93 99],[254.63157895 237.36842105] ; [99.36842105 92.63157895],0
a8,1,0.288864,1.12491,[ 65 380] ; [ 21 163],[ 60.84260731 384.15739269] ; [ 25.15739269 158.84260731],0
p7,1,0.394464,0.725138,[321 156] ; [120  68],[316.32631579 160.67368421] ; [124.67368421  63.32631579],0
a1,1,0.423181,0.641463,[ 21 474] ; [ 11 183],[ 22.98984035 472.01015965] ; [  9.01015965 184.98984035],0
s2,1,0.423758,0.639869,[253 235] ; [93 99],[248.30588235 239.69411765] ; [97.69411765 94.30588235],0
p1,1,0.429245,0.624866,[ 45 445] ; [ 14 178],[ 42.39002933 447.60997067] ; [ 16.60997067 175.39002933],0
s6,1,0.433425,0.613629,[326 158] ; [120  67],[321.70491803 162.29508197] ; [124.29508197  62.70491803],0
u2,1,0.470823,0.520043,[82 56] ; [29 25],[79.78125 58.21875] ; [31.21875 22.78125],0
n1,1,0.557888,0.343373,[30 54] ; [20 29],[31.57894737 52.42105263] ; [18.42105263 30.57894737],0
d2,1,0.610214,0.259864,[238 255] ; [ 89 104],[235.00145773 257.99854227] ; [ 91.99854227 101.00145773],0
v1,1,0.621212,0.244168,[270 209] ; [102  86],[267.14842579 211.85157421] ; [104.85157421  83.14842579],0
s3,1,0.687007,0.162345,[275 208] ; [112  79],[277.33086053 205.66913947] ; [109.66913947  81.33086053],0
n4,1,0.72496,0.12379,[395  99] ; [152  41],[393.33042213 100.66957787] ; [153.66957787  39.33042213],0
n3,1,0.735198,0.114392,[63 22] ; [35 14],[62.1641791 22.8358209] ; [35.8358209 13.1641791],0
a4,1,0.764577,0.089686,[219 275] ; [ 88 105],[220.75400291 273.24599709] ; [ 86.24599709 106.75400291],0
u4,1,0.780743,0.077479,[ 11 484] ; [  5 189],[ 11.49492017 483.50507983] ; [  4.50507983 189.49492017],0
