Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.002875,8.885247,[ 2 92] ; [2 7],[ 3.65048544 90.34951456] ; [0.34951456 8.65048544],0
s7,1,0.009515,6.723526,[16 72] ; [5 4],[19.05154639 68.94845361] ; [1.94845361 7.05154639],0
d5,1,0.010046,6.626764,[38 56] ; [7 1],[41.47058824 52.52941176] ; [3.52941176 4.47058824],0
p6,1,0.011859,6.331763,[24 67] ; [6 3],[27.3 63.7] ; [2.7 6.3],0
p7,1,0.017145,5.681442,[43 48] ; [8 1],[46.41 44.59] ; [4.59 4.41],0
s4,1,0.018602,5.538564,[ 9 85] ; [3 5],[11.05882353 82.94117647] ; [0.94117647 7.05882353],0
b4,1,0.029525,4.736755,[46 48] ; [1 8],[42.89320388 51.10679612] ; [4.10679612 4.89320388],0
s6,1,0.039154,4.254154,[30 63] ; [6 3],[32.82352941 60.17647059] ; [3.17647059 5.82352941],0
r4,1,0.129447,2.29912,[60 34] ; [8 1],[62.05825243 31.94174757] ; [5.94174757 3.05825243],0
a6,1,0.235743,1.405868,[54 40] ; [7 2],[55.66990291 38.33009709] ; [5.33009709 3.66990291],0
d1,1,0.240078,1.380134,[ 3 91] ; [1 8],[ 3.65048544 90.34951456] ; [0.34951456 8.65048544],0
v2,1,0.270612,1.213641,[32 55] ; [5 4],[33.53125 53.46875] ; [3.46875 5.53125],0
a2,1,0.300771,1.07077,[10 84] ; [2 7],[10.95145631 83.04854369] ; [1.04854369 7.95145631],0
p10,1,0.306661,1.045003,[55 36] ; [7 2],[56.42 34.58] ; [5.58 3.42],0
a5,1,0.309469,1.032942,[46 48] ; [6 3],[47.45631068 46.54368932] ; [4.54368932 4.45631068],0
v3,1,0.342579,0.900756,[23 68] ; [1 8],[21.84 69.16] ; [2.16 6.84],0
u3,1,0.431191,0.619614,[20 28] ; [3 2],[20.83018868 27.16981132] ; [2.16981132 2.83018868],0
n6,1,0.458977,0.548387,[61 32] ; [7 2],[62. 31.] ; [6. 3.],0
n5,1,0.473296,0.51427,[69 24] ; [5 3],[68.13861386 24.86138614] ; [5.86138614 2.13861386],0
b1,1,0.474303,0.511933,[43 51] ; [3 6],[41.98058252 52.01941748] ; [4.01941748 4.98058252],0
p2,1,0.508839,0.436453,[63 31] ; [7 2],[63.88349515 30.11650485] ; [6.11650485 2.88349515],0
p8,1,0.523288,0.407407,[40 50] ; [5 4],[40.90909091 49.09090909] ; [4.09090909 4.90909091],0
r1,1,0.53399,0.386793,[52 41] ; [6 3],[52.88235294 40.11764706] ; [5.11764706 3.88235294],0
p4,1,0.551309,0.354977,[41 53] ; [3 6],[40.15533981 53.84466019] ; [3.84466019 5.15533981],0
a4,1,0.558632,0.342078,[23 71] ; [3 6],[23.72815534 70.27184466] ; [2.27184466 6.72815534],0
p9,1,0.566592,0.328418,[61 28] ; [7 2],[61.75510204 27.24489796] ; [6.24489796 2.75510204],0
n4,1,0.593427,0.285024,[60 33] ; [5 4],[59.26470588 33.73529412] ; [5.73529412 3.26470588],0
b5,1,0.634319,0.226249,[55 39] ; [6 3],[55.66990291 38.33009709] ; [5.33009709 3.66990291],0
u2,1,0.670347,0.181197,[24 24] ; [2 3],[23.54716981 24.45283019] ; [2.45283019 2.54716981],0
s5,1,0.683836,0.16584,[15 77] ; [1 8],[14.57425743 77.42574257] ; [1.42574257 7.57425743],0
a7,1,0.746738,0.104293,[52 41] ; [4 4],[51.56435644 41.43564356] ; [4.43564356 3.56435644],0
v1,1,0.751306,0.100437,[36 57] ; [3 6],[35.55882353 57.44117647] ; [3.44117647 5.55882353],0
b3,1,0.764648,0.08963,[21 32] ; [2 4],[20.66101695 32.33898305] ; [2.33898305 3.66101695],0
b2,1,0.764648,0.08963,[21 32] ; [2 4],[20.66101695 32.33898305] ; [2.33898305 3.66101695],0
p3,1,0.769268,0.086044,[36 58] ; [3 6],[35.59223301 58.40776699] ; [3.40776699 5.59223301],0
s8,1,0.771746,0.084153,[17 76] ; [2 7],[17.32352941 75.67647059] ; [1.67647059 7.32352941],0
a3,1,0.773698,0.08268,[46 47] ; [4 5],[45.58823529 47.41176471] ; [4.41176471 4.58823529],0
d2,1,0.775643,0.081226,[25 69] ; [2 7],[24.6407767 69.3592233] ; [2.3592233 6.6407767],0
d3,1,0.931698,0.007346,[22 71] ; [2 6],[22.0990099 70.9009901] ; [1.9009901 6.0990099],0
a8,1,0.933808,0.006898,[ 9 79] ; [1 8],[ 9.07216495 78.92783505] ; [0.92783505 8.07216495],0
p11,1,0.982758,0.000467,[63 31] ; [6 3],[62.97087379 31.02912621] ; [6.02912621 2.97087379],0
