Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2.1e-05,18.102053,[36 43] ; [ 6 49],[24.76119403 54.23880597] ; [17.23880597 37.76119403],1
p8,1,2.9e-05,17.468524,[47 32] ; [13 43],[35.11111111 43.88888889] ; [24.88888889 31.11111111],1
a6,1,0.018929,5.508024,[59 20] ; [31 25],[52.66666667 26.33333333] ; [37.33333333 18.66666667],0
n2,1,0.024705,5.04442,[9 6] ; [15  1],[11.61290323  3.38709677] ; [12.38709677  3.61290323],0
p1,1,0.034777,4.456089,[ 1 77] ; [ 5 51],[ 3.49253731 74.50746269] ; [ 2.50746269 53.49253731],0
n1,1,0.040181,4.210218,[ 1 14] ; [ 6 10],[ 3.38709677 11.61290323] ; [ 3.61290323 12.38709677],0
p4,1,0.051643,3.787309,[50 29] ; [26 30],[44.47407407 34.52592593] ; [31.52592593 24.47407407],0
p2,1,0.058846,3.569606,[67 12] ; [40 16],[62.61481481 16.38518519] ; [44.38518519 11.61481481],0
a5,1,0.083754,2.990506,[48 31] ; [42 14],[52.66666667 26.33333333] ; [37.33333333 18.66666667],0
n5,1,0.098641,2.727378,[56 23] ; [32 24],[51.4962963 27.5037037] ; [36.5037037 19.4962963],0
u3,1,0.100445,2.698465,[13 16] ; [18  9],[16.05357143 12.94642857] ; [14.94642857 12.05357143],0
a8,1,0.113351,2.506866,[11 65] ; [ 3 50],[ 8.24806202 67.75193798] ; [ 5.75193798 47.24806202],0
r1,1,0.1227,2.382508,[60 19] ; [35 20],[56.00746269 22.99253731] ; [38.99253731 16.00746269],0
d2,1,0.127242,2.325834,[27 52] ; [26 29],[31.24626866 47.75373134] ; [21.75373134 33.24626866],0
n6,1,0.15531,2.019309,[65 13] ; [41 15],[61.70149254 16.29850746] ; [44.29850746 11.70149254],0
s3,1,0.162736,1.948616,[58 21] ; [46  9],[61.31343284 17.68656716] ; [42.68656716 12.31343284],0
d3,1,0.236195,1.40316,[55 23] ; [34 22],[51.80597015 26.19402985] ; [37.19402985 18.80597015],0
p3,1,0.280335,1.165467,[37 42] ; [21 35],[33.94074074 45.05925926] ; [24.05925926 31.94074074],0
a2,1,0.286439,1.136281,[17 62] ; [ 8 48],[14.62962963 64.37037037] ; [10.37037037 45.62962963],0
a3,1,0.299389,1.076914,[48 31] ; [29 27],[45.05925926 33.94074074] ; [31.94074074 24.05925926],0
v1,1,0.302871,1.061511,[37 41] ; [30 23],[39.89312977 38.10687023] ; [27.10687023 25.89312977],0
p12,1,0.341174,0.906014,[ 6 73] ; [ 7 49],[ 7.60740741 71.39259259] ; [ 5.39259259 50.60740741],0
v4,1,0.375051,0.786861,[75  4] ; [51  5],[73.73333333  5.26666667] ; [52.26666667  3.73333333],0
p5,1,0.375051,0.786861,[ 4 75] ; [ 5 51],[ 5.26666667 73.73333333] ; [ 3.73333333 52.26666667],0
s4,1,0.403782,0.697033,[13 62] ; [13 43],[14.88549618 60.11450382] ; [11.11450382 44.88549618],0
b5,1,0.413775,0.667928,[52 27] ; [33 23],[49.74074074 29.25925926] ; [35.25925926 20.74074074],0
n3,1,0.445601,0.581818,[10  6] ; [12  4],[11.  5.] ; [11.  5.],0
r3,1,0.47648,0.506909,[74  5] ; [54  2],[74.9037037  4.0962963] ; [53.0962963  2.9037037],0
u2,1,0.502686,0.449261,[14 16] ; [15 12],[15.26315789 14.73684211] ; [13.73684211 13.26315789],0
p11,1,0.513359,0.427215,[63 16] ; [42 14],[61.44444444 17.55555556] ; [43.55555556 12.44444444],0
b1,1,0.528892,0.39652,[31 48] ; [19 37],[29.25925926 49.74074074] ; [20.74074074 35.25925926],0
r2,1,0.533575,0.387578,[70  8] ; [52  4],[71.01492537  6.98507463] ; [50.98507463  5.01492537],0
d1,1,0.546903,0.362894,[41 38] ; [32 24],[42.71851852 36.28148148] ; [30.28148148 25.71851852],0
b4,1,0.560833,0.338264,[44 35] ; [34 22],[45.64444444 33.35555556] ; [32.35555556 23.64444444],0
b2,1,0.585699,0.297112,[14 29] ; [ 6 17],[13.03030303 29.96969697] ; [ 6.96969697 16.03030303],0
b3,1,0.585699,0.297112,[14 29] ; [ 6 17],[13.03030303 29.96969697] ; [ 6.96969697 16.03030303],0
p9,1,0.60995,0.260248,[61 17] ; [45 10],[62.16541353 15.83458647] ; [43.83458647 11.16541353],0
r4,1,0.617615,0.249234,[70  9] ; [48  8],[69.05185185  9.94814815] ; [48.94814815  7.05185185],0
n4,1,0.64873,0.207505,[51 28] ; [34 22],[49.74074074 29.25925926] ; [35.25925926 20.74074074],0
u1,1,0.657916,0.196065,[12 67] ; [ 7 49],[11.11851852 67.88148148] ; [ 7.88148148 48.11851852],0
d4,1,0.657916,0.196065,[67 12] ; [49  7],[67.88148148 11.11851852] ; [48.11851852  7.88148148],0
a1,1,0.678572,0.171738,[ 4 75] ; [ 2 54],[ 3.51111111 75.48888889] ; [ 2.48888889 53.51111111],0
a4,1,0.691094,0.157904,[27 52] ; [21 35],[28.08888889 50.91111111] ; [19.91111111 36.08888889],0
a7,1,0.737034,0.112751,[61 16] ; [43 13],[60.21052632 16.78947368] ; [43.78947368 12.21052632],0
d5,1,0.796775,0.066318,[60 18] ; [42 14],[59.37313433 18.62686567] ; [42.62686567 13.37313433],0
v2,1,0.916969,0.010869,[36 36] ; [26 27],[35.712 36.288] ; [26.288 26.712],0
v3,1,0.92051,0.009958,[26 51] ; [18 34],[26.26356589 50.73643411] ; [17.73643411 34.26356589],0
p10,1,0.924187,0.009056,[64 15] ; [45 11],[63.78518519 15.21481481] ; [45.21481481 10.78518519],0
s5,1,0.940369,0.005596,[26 52] ; [18 35],[26.19847328 51.80152672] ; [17.80152672 35.19847328],0
s8,1,0.945374,0.004695,[23 56] ; [16 40],[22.82222222 56.17777778] ; [16.17777778 39.82222222],0
s6,1,0.985583,0.000327,[59 20] ; [41 14],[58.95522388 20.04477612] ; [41.04477612 13.95522388],0
