Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000332,12.879819,[18 13] ; [20 67],[ 9.98305085 21.01694915] ; [28.01694915 58.98305085],1
p11,1,0.001012,10.805519,[27  6] ; [46 48],[18.96850394 14.03149606] ; [54.03149606 39.96850394],0
n5,1,0.007589,7.12791,[25  8] ; [46 48],[18.4488189 14.5511811] ; [52.5511811 41.4488189],0
d5,1,0.017255,5.670209,[30  3] ; [66 28],[24.94488189  8.05511811] ; [71.05511811 22.94488189],0
n4,1,0.018797,5.520315,[28  5] ; [59 35],[22.60629921 10.39370079] ; [64.39370079 29.60629921],0
s3,1,0.019529,5.453499,[22 11] ; [40 53],[16.23809524 16.76190476] ; [45.76190476 47.23809524],0
a6,1,0.028928,4.771886,[26  7] ; [54 40],[20.78740157 12.21259843] ; [59.21259843 34.78740157],0
s8,1,0.031466,4.627342,[14 19] ; [21 71],[ 9.24 23.76] ; [25.76 66.24],0
p7,1,0.033605,4.514677,[21 10] ; [43 51],[15.872 15.128] ; [48.128 45.872],0
p8,1,0.05214,3.771266,[16 17] ; [28 66],[11.43307087 21.56692913] ; [32.56692913 61.43307087],0
a8,1,0.057323,3.613205,[ 6 25] ; [ 6 78],[ 3.23478261 27.76521739] ; [ 8.76521739 75.23478261],0
s5,1,0.063133,3.453116,[10 23] ; [14 77],[ 6.38709677 26.61290323] ; [17.61290323 73.38709677],0
b1,1,0.079707,3.070858,[23 10] ; [49 45],[18.70866142 14.29133858] ; [53.29133858 40.70866142],0
r2,1,0.103933,2.644127,[31  2] ; [93  1],[32.22047244  0.77952756] ; [91.77952756  2.22047244],0
s2,1,0.11391,2.499112,[16 17] ; [30 61],[12.24193548 20.75806452] ; [33.75806452 57.24193548],0
n1,1,0.143391,2.14119,[3 1] ; [11 19],[1.64705882 2.35294118] ; [12.35294118 17.64705882],0
a1,1,0.169366,1.888546,[ 3 30] ; [ 3 91],[ 1.55905512 31.44094488] ; [ 4.44094488 89.55905512],0
n6,1,0.204102,1.612776,[26  7] ; [63 31],[23.12598425  9.87401575] ; [65.87401575 28.12598425],0
a7,1,0.210208,1.569991,[25  8] ; [60 34],[22.08661417 10.91338583] ; [62.91338583 31.08661417],0
p2,1,0.213847,1.545189,[24  9] ; [57 37],[21.04724409 11.95275591] ; [59.95275591 34.04724409],0
v2,1,0.221632,1.493771,[17 15] ; [37 54],[14.04878049 17.95121951] ; [39.95121951 51.04878049],0
v1,1,0.256081,1.289823,[10 23] ; [39 55],[12.73228346 20.26771654] ; [36.26771654 57.73228346],0
a3,1,0.301338,1.068264,[22 11] ; [53 41],[19.48818898 13.51181102] ; [55.51181102 38.48818898],0
a5,1,0.302187,1.064518,[23 10] ; [56 38],[20.52755906 12.47244094] ; [58.47244094 35.52755906],0
d1,1,0.328798,0.953627,[18 15] ; [42 52],[15.59055118 17.40944882] ; [44.40944882 49.59055118],0
d3,1,0.352624,0.863993,[22 11] ; [54 40],[19.7480315 13.2519685] ; [56.2519685 37.7480315],0
a4,1,0.411034,0.675807,[10 23] ; [36 58],[11.95275591 21.04724409] ; [34.04724409 59.95275591],0
b5,1,0.420427,0.64912,[17 16] ; [56 38],[18.96850394 14.03149606] ; [54.03149606 39.96850394],0
p4,1,0.43326,0.614069,[17 16] ; [41 53],[15.07086614 17.92913386] ; [42.92913386 51.07086614],0
s1,1,0.452168,0.565212,[ 3 30] ; [ 5 88],[ 2.0952381 30.9047619] ; [ 5.9047619 87.0952381],0
v4,1,0.480209,0.498388,[31  1] ; [87  6],[30.208  1.792] ; [87.792  5.208],0
u3,1,0.489194,0.478299,[6 5] ; [27 14],[6.98076923 4.01923077] ; [26.01923077 14.98076923],0
s4,1,0.489445,0.477745,[ 3 29] ; [13 79],[ 4.12903226 27.87096774] ; [11.87096774 80.12903226],0
u1,1,0.506152,0.442013,[ 4 29] ; [16 78],[ 5.19685039 27.80314961] ; [14.80314961 79.19685039],0
s6,1,0.507766,0.438668,[18 15] ; [44 48],[16.368 16.632] ; [45.632 46.368],0
d4,1,0.520333,0.413232,[26  7] ; [68 25],[24.61904762  8.38095238] ; [69.38095238 23.61904762],0
v3,1,0.532266,0.390063,[13 20] ; [30 60],[11.53658537 21.46341463] ; [31.46341463 58.53658537],0
d2,1,0.579264,0.307426,[15 18] ; [48 46],[16.37007874 16.62992126] ; [46.62992126 47.37007874],0
a2,1,0.607947,0.263175,[ 5 28] ; [18 76],[ 5.97637795 27.02362205] ; [17.02362205 76.97637795],0
b2,1,0.668751,0.183066,[ 5 18] ; [15 42],[ 5.75 17.25] ; [14.25 42.75],0
b3,1,0.668751,0.183066,[ 5 18] ; [15 42],[ 5.75 17.25] ; [14.25 42.75],0
p5,1,0.755561,0.096917,[ 1 32] ; [ 4 90],[ 1.2992126 31.7007874] ; [ 3.7007874 90.2992126],0
r1,1,0.804141,0.0615,[29  4] ; [81 13],[28.58267717  4.41732283] ; [81.41732283 12.58267717],0
p1,1,0.882793,0.021735,[ 2 31] ; [ 5 88],[ 1.83333333 31.16666667] ; [ 5.16666667 87.83333333],0
p3,1,0.892649,0.018212,[12 20] ; [34 60],[11.68253968 20.31746032] ; [34.31746032 59.68253968],0
b4,1,0.89664,0.016876,[21 12] ; [61 33],[21.30708661 11.69291339] ; [60.69291339 33.30708661],0
u2,1,0.904191,0.014489,[6 5] ; [21 19],[5.82352941 5.17647059] ; [21.17647059 18.82352941],0
p6,1,0.911745,0.012285,[ 7 25] ; [21 71],[ 7.22580645 24.77419355] ; [20.77419355 71.22580645],0
