Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6.5e-05,15.948748,[34 60] ; [24  7],[43.616 50.384] ; [14.384 16.616],1
s2,1,0.001469,10.116714,[28 67] ; [19 12],[35.43650794 59.56349206] ; [11.56349206 19.43650794],0
s7,1,0.004991,7.882827,[20 71] ; [15 16],[26.10655738 64.89344262] ; [ 8.89344262 22.10655738],0
p5,1,0.01214,6.290235,[ 2 93] ; [ 4 26],[ 4.56 90.44] ; [ 1.44 28.56],0
d4,1,0.017333,5.662345,[54 41] ; [25  6],[59.56349206 35.43650794] ; [19.43650794 11.56349206],0
d5,1,0.033605,4.514677,[43 51] ; [21 10],[48.128 45.872] ; [15.872 15.128],0
a1,1,0.039701,4.23062,[ 3 92] ; [ 4 27],[ 5.27777778 89.72222222] ; [ 1.72222222 29.27777778],0
n6,1,0.068964,3.307503,[53 42] ; [23  8],[57.3015873 37.6984127] ; [18.6984127 12.3015873],0
b4,1,0.085295,2.961013,[54 41] ; [23  8],[58.05555556 36.94444444] ; [18.94444444 12.05555556],0
p10,1,0.085618,2.954894,[49 45] ; [21  9],[53.06451613 40.93548387] ; [16.93548387 13.06451613],0
v4,1,0.099641,2.711274,[80 14] ; [28  1],[82.53658537 11.46341463] ; [25.46341463  3.53658537],0
s3,1,0.105038,2.62734,[40 53] ; [18 12],[43.85365854 49.14634146] ; [14.14634146 15.85365854],0
s8,1,0.105253,2.624084,[20 75] ; [11 20],[23.37301587 71.62698413] ; [ 7.62698413 23.37301587],0
r3,1,0.107645,2.588455,[82 13] ; [30  1],[84.44444444 10.55555556] ; [27.55555556  3.44444444],0
p6,1,0.122905,2.379905,[16 78] ; [ 9 21],[18.9516129 75.0483871] ; [ 6.0483871 23.9516129],0
p12,1,0.142934,2.14608,[ 3 91] ; [ 3 28],[ 4.512 89.488] ; [ 1.488 29.512],0
p9,1,0.145108,2.122934,[55 39] ; [22  8],[58.37096774 35.62903226] ; [18.62903226 11.37096774],0
b1,1,0.162754,1.948446,[41 54] ; [ 9 22],[37.6984127 57.3015873] ; [12.3015873 18.6984127],0
v2,1,0.16783,1.902222,[31 59] ; [15 16],[34.21487603 55.78512397] ; [11.78512397 19.21487603],0
p11,1,0.172887,1.857726,[61 34] ; [24  7],[64.08730159 30.91269841] ; [20.91269841 10.08730159],0
b3,1,0.173087,1.855999,[10 42] ; [ 6 11],[12.05797101 39.94202899] ; [ 3.94202899 13.05797101],0
b2,1,0.173087,1.855999,[10 42] ; [ 6 11],[12.05797101 39.94202899] ; [ 3.94202899 13.05797101],0
v1,1,0.174609,1.842925,[31 63] ; [14 16],[34.11290323 59.88709677] ; [10.88709677 19.11290323],0
n3,1,0.175806,1.832727,[21  7] ; [4 4],[19.44444444  8.55555556] ; [5.55555556 2.44444444],0
s4,1,0.178906,1.806688,[12 83] ; [ 7 24],[14.32539683 80.67460317] ; [ 4.67460317 26.32539683],0
r4,1,0.207086,1.591681,[69 26] ; [26  5],[71.62698413 23.37301587] ; [23.37301587  7.62698413],0
a6,1,0.215566,1.533645,[52 43] ; [13 18],[49.00793651 45.99206349] ; [15.99206349 15.00793651],0
d2,1,0.220552,1.500774,[ 8 87] ; [ 5 26],[ 9.8015873 85.1984127] ; [ 3.1984127 27.8015873],0
n4,1,0.272889,1.202168,[38 57] ; [ 9 22],[35.43650794 59.56349206] ; [11.56349206 19.43650794],0
n1,1,0.326535,0.962592,[ 6 23] ; [3 5],[ 7.05405405 21.94594595] ; [1.94594595 6.05405405],0
p7,1,0.339634,0.911812,[47 47] ; [18 12],[49.27419355 44.72580645] ; [15.72580645 14.27419355],0
v3,1,0.372065,0.796756,[20 71] ; [ 9 21],[21.80991736 69.19008264] ; [ 7.19008264 22.80991736],0
p8,1,0.409359,0.680661,[35 60] ; [14 17],[36.94444444 58.05555556] ; [12.05555556 18.94444444],0
r1,1,0.469766,0.522527,[62 33] ; [18 13],[60.31746032 34.68253968] ; [19.68253968 11.31746032],0
a8,1,0.470797,0.520105,[ 6 85] ; [ 3 25],[ 6.88235294 84.11764706] ; [ 2.11764706 25.88235294],0
a4,1,0.475257,0.509727,[21 74] ; [ 5 26],[19.6031746 75.3968254] ; [ 6.3968254 24.6031746],0
b5,1,0.610914,0.258846,[54 41] ; [16 15],[52.77777778 42.22222222] ; [17.22222222 13.77777778],0
s1,1,0.610914,0.258846,[ 4 91] ; [ 2 29],[ 4.52380952 90.47619048] ; [ 1.47619048 29.52380952],0
a7,1,0.692474,0.15642,[60 34] ; [21 10],[60.912 33.088] ; [20.088 10.912],0
n2,1,0.729456,0.119612,[20  9] ; [5 3],[19.59459459  9.40540541] ; [5.40540541 2.59459459],0
p1,1,0.746732,0.104298,[ 8 86] ; [ 2 28],[ 7.58064516 86.41935484] ; [ 2.41935484 27.58064516],0
a5,1,0.752345,0.099571,[46 49] ; [14 17],[45.23809524 49.76190476] ; [14.76190476 16.23809524],0
u3,1,0.764276,0.089922,[22 21] ; [7 8],[21.5 21.5] ; [7.5 7.5],0
p4,1,0.769342,0.085987,[34 61] ; [12 19],[34.68253968 60.31746032] ; [11.31746032 19.68253968],0
p3,1,0.769888,0.085569,[31 64] ; [11 20],[31.66666667 63.33333333] ; [10.33333333 20.66666667],0
a2,1,0.80733,0.059474,[ 4 91] ; [ 1 30],[ 3.76984127 91.23015873] ; [ 1.23015873 29.76984127],0
r2,1,0.909038,0.013053,[80 15] ; [25  5],[79.8 15.2] ; [25.2  4.8],0
a3,1,0.946485,0.004505,[50 45] ; [16 14],[50.16 44.84] ; [15.84 14.16],0
d3,1,0.9549,0.003198,[43 51] ; [14 17],[42.864 51.136] ; [14.136 16.864],0
p2,1,0.969681,0.001445,[70 25] ; [22  8],[69.92 25.08] ; [22.08  7.92],0
u2,1,0.99173,0.000107,[23 20] ; [8 7],[22.98275862 20.01724138] ; [8.01724138 6.98275862],0
