Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,8.8e-05,15.377774,[ 1 63] ; [3 6],[ 3.50684932 60.49315068] ; [0.49315068 8.50684932],1
s8,1,0.000225,13.611564,[17 47] ; [8 1],[21.91780822 42.08219178] ; [3.08219178 5.91780822],1
s2,1,0.000496,12.131967,[18 44] ; [8 1],[22.70422535 39.29577465] ; [3.29577465 5.70422535],1
p12,1,0.000871,11.084009,[ 2 61] ; [3 6],[ 4.375 58.625] ; [0.625 8.375],1
p3,1,0.001792,9.751768,[12 52] ; [6 3],[15.78082192 48.21917808] ; [2.21917808 6.78082192],0
a2,1,0.003072,8.764278,[ 9 55] ; [5 4],[12.2739726 51.7260274] ; [1.7260274 7.2739726],0
b3,1,0.007354,7.184406,[15 34] ; [7 2],[18.5862069 30.4137931] ; [3.4137931 5.5862069],0
b2,1,0.007354,7.184406,[15 34] ; [7 2],[18.5862069 30.4137931] ; [3.4137931 5.5862069],0
s3,1,0.011009,6.4639,[27 35] ; [8 1],[30.56338028 31.43661972] ; [4.43661972 4.56338028],0
s7,1,0.011781,6.343513,[21 41] ; [7 2],[24.45070423 37.54929577] ; [3.54929577 5.45070423],0
v3,1,0.043534,4.074546,[17 46] ; [4 2],[19.17391304 43.82608696] ; [1.82608696 4.17391304],0
a4,1,0.045053,4.016655,[27 37] ; [7 2],[29.80821918 34.19178082] ; [4.19178082 4.80821918],0
d2,1,0.056491,3.63753,[35 28] ; [8 1],[37.625 25.375] ; [5.375 3.625],0
u1,1,0.058103,3.590711,[11 53] ; [4 5],[13.15068493 50.84931507] ; [1.84931507 7.15068493],0
p4,1,0.062122,3.479812,[22 42] ; [6 3],[24.54794521 39.45205479] ; [3.45205479 5.54794521],0
v1,1,0.064728,3.411894,[22 40] ; [5 2],[24.26086957 37.73913043] ; [2.73913043 4.26086957],0
n1,1,0.0651,3.402446,[ 4 18] ; [2 1],[ 5.28 16.72] ; [0.72 2.28],0
p8,1,0.081758,3.02961,[17 46] ; [5 4],[19.25 43.75] ; [2.75 6.25],0
s6,1,0.082516,3.014645,[30 34] ; [7 2],[32.43835616 31.56164384] ; [4.56164384 4.43835616],0
n5,1,0.08593,2.949013,[38 26] ; [8 1],[40.32876712 23.67123288] ; [5.67123288 3.32876712],0
n2,1,0.111824,2.528259,[17  5] ; [1 2],[15.84  6.16] ; [2.16 0.84],0
p6,1,0.149821,2.074074,[14 49] ; [4 5],[15.75 47.25] ; [2.25 6.75],0
n3,1,0.152053,2.05153,[17  6] ; [1 2],[15.92307692  7.07692308] ; [2.07692308 0.92307692],0
a3,1,0.159512,1.978847,[42 22] ; [8 1],[43.83561644 20.16438356] ; [6.16438356 2.83561644],0
v2,1,0.174842,1.840932,[28 35] ; [5 2],[29.7 33.3] ; [3.3 3.7],0
b4,1,0.182174,1.779802,[43 21] ; [4 5],[41.20547945 22.79452055] ; [5.79452055 3.20547945],0
n4,1,0.184011,1.76493,[43 21] ; [8 1],[44.71232877 19.28767123] ; [6.28767123 2.71232877],0
a5,1,0.189456,1.72184,[35 29] ; [7 2],[36.82191781 27.17808219] ; [5.17808219 3.82191781],0
p2,1,0.220704,1.49979,[48 16] ; [5 4],[46.46575342 17.53424658] ; [6.53424658 2.46575342],0
a1,1,0.258454,1.277017,[ 2 62] ; [1 8],[ 2.63013699 61.36986301] ; [0.36986301 8.63013699],0
s1,1,0.271821,1.207534,[ 2 60] ; [1 8],[ 2.61971831 59.38028169] ; [0.38028169 8.61971831],0
d5,1,0.276071,1.186329,[46 18] ; [8 1],[47.34246575 16.65753425] ; [6.65753425 2.34246575],0
r1,1,0.355985,0.852007,[48 16] ; [8 1],[49.09589041 14.90410959] ; [6.90410959 2.09589041],0
a6,1,0.416866,0.659133,[41 23] ; [7 2],[42.08219178 21.91780822] ; [5.91780822 3.08219178],0
p1,1,0.436661,0.605042,[ 3 60] ; [1 8],[ 3.5 59.5] ; [0.5 8.5],0
n6,1,0.499491,0.456017,[50 13] ; [8 1],[50.75 12.25] ; [7.25 1.75],0
b5,1,0.613204,0.255535,[37 27] ; [6 3],[37.69863014 26.30136986] ; [5.30136986 3.69863014],0
d3,1,0.675526,0.175206,[38 26] ; [6 3],[38.57534247 25.42465753] ; [5.42465753 3.57534247],0
p7,1,0.701192,0.147235,[27 36] ; [4 4],[27.50704225 35.49295775] ; [3.49295775 4.50704225],0
s5,1,0.704304,0.144033,[14 49] ; [2 5],[14.4 48.6] ; [1.6 5.4],0
a8,1,0.768779,0.08642,[ 8 46] ; [1 8],[ 7.71428571 46.28571429] ; [1.28571429 7.71428571],0
s4,1,0.796713,0.066359,[ 9 54] ; [1 8],[ 8.75 54.25] ; [1.25 7.75],0
v4,1,0.905539,0.014082,[56  8] ; [8 1],[56.10958904  7.89041096] ; [7.89041096 1.10958904],0
a7,1,1.0,0.0,[42 21] ; [6 3],[42. 21.] ; [6. 3.],0
