Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,43.364807,[ 7 29] ; [42  4],[21.51219512 14.48780488] ; [27.48780488 18.51219512],1
s7,1,1.7e-05,18.450145,[15 17] ; [41  4],[23.27272727  8.72727273] ; [32.72727273 12.27272727],1
s8,1,0.000607,11.753115,[15 20] ; [36  9],[22.3125 12.6875] ; [28.6875 16.3125],1
p6,1,0.004212,8.189916,[19 15] ; [39  7],[24.65  9.35] ; [33.35 12.65],0
s5,1,0.008258,6.976744,[16 16] ; [34  9],[21.33333333 10.66666667] ; [28.66666667 14.33333333],0
n5,1,0.008905,6.841698,[29  7] ; [45  1],[32.48780488  3.51219512] ; [41.51219512  4.48780488],0
d1,1,0.012375,6.25634,[16 20] ; [33 13],[21.51219512 14.48780488] ; [27.48780488 18.51219512],0
v1,1,0.026049,4.952743,[19 16] ; [35 10],[23.625 11.375] ; [30.375 14.625],0
d3,1,0.032203,4.587635,[19 17] ; [34 11],[23.55555556 12.44444444] ; [29.44444444 15.55555556],0
n1,1,0.033968,4.496327,[2 8] ; [5 2],[4.11764706 5.88235294] ; [2.88235294 4.11764706],0
a1,1,0.039624,4.233931,[ 2 34] ; [10 36],[ 5.26829268 30.73170732] ; [ 6.73170732 39.26829268],0
n6,1,0.042133,4.129844,[30  5] ; [44  1],[32.375  2.625] ; [41.625  3.375],0
r4,1,0.043217,4.086882,[31  5] ; [45  1],[33.36585366  2.63414634] ; [42.63414634  3.36585366],0
d4,1,0.049657,3.852998,[27  9] ; [41  4],[30.22222222  5.77777778] ; [37.77777778  7.22222222],0
a3,1,0.053665,3.723076,[24 12] ; [39  7],[27.65853659  8.34146341] ; [35.34146341 10.65853659],0
p12,1,0.054643,3.692954,[ 7 29] ; [18 28],[10.97560976 25.02439024] ; [14.02439024 31.97560976],0
n4,1,0.062081,3.480905,[30  6] ; [44  2],[32.48780488  3.51219512] ; [41.51219512  4.48780488],0
v4,1,0.09326,2.817191,[32  4] ; [45  1],[33.80487805  2.19512195] ; [43.19512195  2.80487805],0
p8,1,0.141252,2.164269,[28  7] ; [42  4],[30.24691358  4.75308642] ; [39.75308642  6.24691358],0
d2,1,0.149548,2.07686,[15 21] ; [26 19],[18.22222222 17.77777778] ; [22.77777778 22.22222222],0
r1,1,0.164583,1.931603,[27  9] ; [40  6],[29.41463415  6.58536585] ; [37.58536585  8.41463415],0
s4,1,0.167676,1.903598,[ 3 32] ; [ 9 37],[ 5.18518519 29.81481481] ; [ 6.81481481 39.18518519],0
a4,1,0.186172,1.747656,[12 24] ; [22 24],[14.92682927 21.07317073] ; [19.07317073 26.92682927],0
p1,1,0.257824,1.280404,[ 7 29] ; [14 32],[ 9.2195122 26.7804878] ; [11.7804878 34.2195122],0
a6,1,0.279946,1.167353,[25 11] ; [26 19],[22.66666667 13.33333333] ; [28.33333333 16.66666667],0
p2,1,0.436239,0.606155,[31  4] ; [43  3],[31.97530864  3.02469136] ; [42.02469136  3.97530864],0
r2,1,0.436239,0.606155,[31  4] ; [43  3],[31.97530864  3.02469136] ; [42.02469136  3.97530864],0
n2,1,0.452209,0.56511,[7 3] ; [6 1],[7.64705882 2.35294118] ; [5.35294118 1.64705882],0
v2,1,0.485062,0.48746,[23 11] ; [27 18],[21.51898734 12.48101266] ; [28.48101266 16.51898734],0
u1,1,0.497815,0.459592,[ 5 31] ; [ 9 37],[ 6.14634146 29.85365854] ; [ 7.85365854 38.14634146],0
a8,1,0.519495,0.414896,[ 5 28] ; [ 9 34],[ 6.07894737 26.92105263] ; [ 7.92105263 35.07894737],0
u2,1,0.56813,0.325822,[7 5] ; [5 2],[7.57894737 4.42105263] ; [4.42105263 2.57894737],0
v3,1,0.569798,0.323021,[19 15] ; [28 17],[20.2278481 13.7721519] ; [26.7721519 18.2278481],0
n3,1,0.585106,0.298052,[7 3] ; [4 3],[6.47058824 3.52941176] ; [4.52941176 2.47058824],0
d5,1,0.590679,0.289286,[27  9] ; [36  9],[28.  8.] ; [35. 10.],0
p3,1,0.645542,0.211567,[29  7] ; [38  7],[29.77777778  6.22222222] ; [37.22222222  7.77777778],0
p11,1,0.714494,0.133829,[32  4] ; [42  4],[32.48780488  3.51219512] ; [41.51219512  4.48780488],0
b4,1,0.718172,0.130251,[21 15] ; [25 21],[20.19512195 15.80487805] ; [25.80487805 20.19512195],0
a2,1,0.736172,0.113519,[ 6 30] ; [ 9 37],[ 6.58536585 29.41463415] ; [ 8.41463415 37.58536585],0
p9,1,0.778576,0.079059,[33  2] ; [44  2],[33.27160494  1.72839506] ; [43.72839506  2.27160494],0
a7,1,0.779537,0.078356,[24 12] ; [32 14],[24.58536585 11.41463415] ; [31.41463415 14.58536585],0
b1,1,0.824819,0.048996,[14 22] ; [19 27],[14.48780488 21.51219512] ; [18.51219512 27.48780488],0
u3,1,0.829454,0.046398,[8 4] ; [5 2],[8.21052632 3.78947368] ; [4.78947368 2.21052632],0
s1,1,0.856011,0.032926,[ 2 34] ; [ 3 43],[ 2.19512195 33.80487805] ; [ 2.80487805 43.19512195],0
b3,1,0.906103,0.013913,[14 14] ; [17 16],[14.2295082 13.7704918] ; [16.7704918 16.2295082],0
b2,1,0.906103,0.013913,[14 14] ; [17 16],[14.2295082 13.7704918] ; [16.7704918 16.2295082],0
a5,1,0.909439,0.012938,[27  9] ; [35 11],[27.2195122  8.7804878] ; [34.7804878 11.2195122],0
b5,1,0.913148,0.011896,[16 20] ; [21 25],[16.24390244 19.75609756] ; [20.75609756 25.24390244],0
p10,1,0.984274,0.000388,[32  3] ; [42  4],[31.97530864  3.02469136] ; [42.02469136  3.97530864],0
