Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.001816,9.7268,[1 1] ; [ 1 40],[0.09302326 1.90697674] ; [ 1.90697674 39.09302326],0
p12,1,0.001816,9.7268,[1 1] ; [ 1 40],[0.09302326 1.90697674] ; [ 1.90697674 39.09302326],0
s5,1,0.014449,5.982419,[1 1] ; [ 2 39],[0.13953488 1.86046512] ; [ 2.86046512 38.13953488],0
a2,1,0.042434,4.117808,[1 1] ; [ 3 38],[0.18604651 1.81395349] ; [ 3.81395349 37.18604651],0
p1,1,0.042434,4.117808,[1 1] ; [ 3 38],[0.18604651 1.81395349] ; [ 3.81395349 37.18604651],0
p6,1,0.146812,2.105067,[1 1] ; [ 5 34],[0.29268293 1.70731707] ; [ 5.70731707 33.29268293],0
s7,1,0.182627,1.776114,[1 1] ; [ 5 30],[0.32432432 1.67567568] ; [ 5.67567568 29.32432432],0
r4,1,0.185871,1.750048,[1 1] ; [ 6 35],[0.3255814 1.6744186] ; [ 6.6744186 34.3255814],0
r1,1,0.645981,0.211005,[1 1] ; [14 27],[0.69767442 1.30232558] ; [14.30232558 26.69767442],0
d3,1,0.701537,0.146878,[1 1] ; [15 26],[0.74418605 1.25581395] ; [15.25581395 25.74418605],0
r3,1,0.722403,0.126202,[1 1] ; [25 15],[1.23809524 0.76190476] ; [24.76190476 15.23809524],0
b1,1,0.756563,0.096099,[1 1] ; [25 16],[1.20930233 0.79069767] ; [24.79069767 16.20930233],0
a6,1,0.756563,0.096099,[1 1] ; [16 25],[0.79069767 1.20930233] ; [16.20930233 24.79069767],0
a7,1,0.91932,0.01026,[1 1] ; [19 22],[0.93023256 1.06976744] ; [19.06976744 21.93023256],0
n4,1,0.973124,0.001135,[1 1] ; [20 21],[0.97674419 1.02325581] ; [20.02325581 20.97674419],0
