Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,36.961432,[45 53] ; [234  65],[68.87153652 29.12846348] ; [210.12846348  88.87153652],1
d3,1,0.0,33.968497,[45 53] ; [230  68],[68.05555556 29.94444444] ; [206.94444444  91.05555556],1
r3,1,9.5e-05,15.230984,[84 14] ; [285  10],[92.01526718  5.98473282] ; [276.98473282  18.01526718],1
a2,1,0.00016,14.252957,[ 6 92] ; [ 70 229],[18.76070529 79.23929471] ; [ 57.23929471 241.76070529],1
r4,1,0.002276,9.312482,[76 22] ; [268  31],[84.91687657 13.08312343] ; [259.08312343  39.91687657],0
v4,1,0.004586,8.035706,[86 11] ; [285  11],[91.56997455  5.43002545] ; [279.43002545  16.56997455],0
s2,1,0.007129,7.240135,[24 73] ; [118 178],[35.04834606 61.95165394] ; [106.95165394 189.04834606],0
u1,1,0.008288,6.9702,[ 5 93] ; [ 46 253],[12.58942065 85.41057935] ; [ 38.41057935 260.58942065],0
p12,1,0.023859,5.104861,[ 1 97] ; [ 21 277],[ 5.44444444 92.55555556] ; [ 16.55555556 281.44444444],0
b5,1,0.024473,5.060779,[48 50] ; [185 114],[57.5163728 40.4836272] ; [175.4836272 123.5163728],0
r1,1,0.035681,4.4123,[67 31] ; [234  63],[74.67848101 23.32151899] ; [226.32151899  70.67848101],0
r2,1,0.044356,4.04294,[86 10] ; [281  14],[90.10741688  5.89258312] ; [276.89258312  18.10741688],0
s5,1,0.050233,3.833649,[32 60] ; [ 71 220],[24.74151436 67.25848564] ; [ 78.25848564 212.74151436],0
u3,1,0.058911,3.567785,[13 19] ; [62 42],[17.64705882 14.35294118] ; [57.35294118 46.64705882],0
a5,1,0.061487,3.496801,[61 37] ; [216  83],[68.37783375 29.62216625] ; [208.62216625  90.37783375],0
d1,1,0.067562,3.34127,[44 54] ; [166 133],[51.83879093 46.16120907] ; [158.16120907 140.83879093],0
p8,1,0.075395,3.161466,[43 55] ; [160 135],[50.62086514 47.37913486] ; [152.37913486 142.62086514],0
d4,1,0.077717,3.112013,[73 25] ; [247  52],[78.99244332 19.00755668] ; [241.00755668  57.99244332],0
p3,1,0.080562,3.053529,[37 60] ; [144 154],[44.44810127 52.55189873] ; [136.55189873 161.44810127],0
d5,1,0.087718,2.915762,[71 27] ; [241  58],[77.01763224 20.98236776] ; [234.98236776  64.01763224],0
p4,1,0.088588,2.899847,[47 49] ; [176 123],[54.19746835 41.80253165] ; [168.80253165 130.19746835],0
a8,1,0.102867,2.660518,[ 6 87] ; [ 34 236],[10.24793388 82.75206612] ; [ 29.75206612 240.24793388],0
v3,1,0.118883,2.431981,[26 70] ; [103 185],[32.25 63.75] ; [ 96.75 191.25],0
p5,1,0.176459,1.827194,[13 84] ; [ 26 273],[ 9.5530303 87.4469697] ; [ 29.4469697 269.5530303],0
v2,1,0.207028,1.592091,[47 49] ; [159 123],[52.31746032 43.68253968] ; [153.68253968 128.31746032],0
p11,1,0.213499,1.547537,[78 20] ; [254  45],[81.95465995 16.04534005] ; [250.04534005  48.95465995],0
n5,1,0.21449,1.540861,[77 20] ; [217  80],[72.38071066 24.61928934] ; [221.61928934  75.38071066],0
s4,1,0.268958,1.222056,[19 79] ; [ 43 250],[15.53964194 82.46035806] ; [ 46.46035806 246.53964194],0
a1,1,0.299775,1.075194,[ 6 92] ; [ 11 288],[ 4.19647355 93.80352645] ; [ 12.80352645 286.19647355],0
p6,1,0.307751,1.040303,[24 71] ; [ 91 205],[27.94117647 67.05882353] ; [ 87.05882353 208.94117647],0
n6,1,0.334982,0.929543,[79 18] ; [254  43],[81.9822335 15.0177665] ; [251.0177665  45.9822335],0
s6,1,0.353764,0.859909,[47 47] ; [162 130],[50.89637306 43.10362694] ; [158.10362694 133.89637306],0
u2,1,0.387713,0.746101,[16 16] ; [61 43],[18.11764706 13.88235294] ; [58.88235294 45.11764706],0
s3,1,0.456679,0.554022,[37 59] ; [126 168],[40.12307692 55.87692308] ; [122.87692308 171.12307692],0
b3,1,0.458249,0.550168,[20 37] ; [ 44 104],[17.79512195 39.20487805] ; [ 46.20487805 101.79512195],0
b2,1,0.458249,0.550168,[20 37] ; [ 44 104],[17.79512195 39.20487805] ; [ 46.20487805 101.79512195],0
p7,1,0.477012,0.505687,[54 40] ; [181 113],[56.93298969 37.06701031] ; [178.06701031 115.93298969],0
n2,1,0.525507,0.403072,[20  8] ; [42 12],[21.17073171  6.82926829] ; [40.82926829 13.17073171],0
b1,1,0.551461,0.354705,[36 62] ; [100 199],[33.57178841 64.42821159] ; [102.42821159 196.57178841],0
d2,1,0.559102,0.341261,[41 56] ; [116 182],[38.55443038 58.44556962] ; [118.44556962 179.55443038],0
p2,1,0.593176,0.285412,[80 16] ; [255  43],[81.62436548 14.37563452] ; [253.37563452  44.62436548],0
p9,1,0.608646,0.262151,[89  8] ; [278  20],[90.12405063  6.87594937] ; [276.87594937  21.12405063],0
a4,1,0.634034,0.226629,[42 56] ; [120 179],[39.98992443 58.01007557] ; [122.01007557 176.98992443],0
a3,1,0.641137,0.217258,[66 32] ; [193 105],[64.0959596 33.9040404] ; [194.9040404 103.0959596],0
n3,1,0.71556,0.132787,[21  6] ; [40 14],[20.33333333  6.66666667] ; [40.66666667 13.33333333],0
s7,1,0.740522,0.109668,[25 70] ; [ 80 205],[26.25 68.75] ; [ 78.75 206.25],0
s1,1,0.741332,0.108959,[ 2 94] ; [  8 289],[ 2.44274809 93.55725191] ; [  7.55725191 289.44274809],0
p1,1,0.770904,0.084793,[ 7 91] ; [ 24 274],[ 7.67171717 90.32828283] ; [ 23.32828283 274.67171717],0
v1,1,0.83765,0.041984,[47 50] ; [144 146],[47.87338501 49.12661499] ; [143.12661499 146.87338501],0
n4,1,0.858695,0.031697,[73 25] ; [220  79],[72.32745592 25.67254408] ; [220.67254408  78.32745592],0
b4,1,0.906262,0.013866,[59 39] ; [178 121],[58.50377834 39.49622166] ; [178.49622166 120.50377834],0
n1,1,0.939529,0.005755,[ 8 20] ; [15 39],[ 7.85365854 20.14634146] ; [15.14634146 38.85365854],0
