Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5.3e-05,16.348144,[ 9 24] ; [50 22],[18.54285714 14.45714286] ; [40.45714286 31.54285714],1
a2,1,0.000478,12.199229,[ 1 32] ; [25 47],[ 8.17142857 24.82857143] ; [17.82857143 54.17142857],1
d3,1,0.001729,9.817405,[18 15] ; [60 12],[24.51428571  8.48571429] ; [53.48571429 18.51428571],0
r2,1,0.006239,7.479961,[26  7] ; [68  3],[29.82692308  3.17307692] ; [64.17307692  6.82692308],0
d5,1,0.008614,6.9012,[21 12] ; [62 10],[26.08571429  6.91428571] ; [56.91428571 15.08571429],0
a5,1,0.010809,6.49638,[17 16] ; [55 17],[22.62857143 10.37142857] ; [49.37142857 22.62857143],0
r1,1,0.020826,5.3413,[20 13] ; [58 13],[24.75  8.25] ; [53.25 17.75],0
b1,1,0.043676,4.069045,[23 10] ; [35 37],[18.22857143 14.77142857] ; [39.77142857 32.22857143],0
p2,1,0.046764,3.953877,[23 10] ; [62 10],[26.71428571  6.28571429] ; [58.28571429 13.71428571],0
n6,1,0.06021,3.531585,[22 11] ; [59 12],[25.70192308  7.29807692] ; [55.29807692 15.70192308],0
d1,1,0.098577,2.728415,[14 19] ; [43 29],[17.91428571 15.08571429] ; [39.08571429 32.91428571],0
n1,1,0.100752,2.693603,[7 4] ; [ 7 14],[4.8125 6.1875] ; [ 9.1875 11.8125],0
v1,1,0.103112,2.656742,[12 21] ; [38 33],[15.86538462 17.13461538] ; [34.13461538 36.86538462],0
b5,1,0.103441,2.65167,[17 16] ; [49 23],[20.74285714 12.25714286] ; [45.25714286 26.74285714],0
n5,1,0.151438,2.057709,[18 15] ; [49 22],[21.25961538 11.74038462] ; [45.74038462 25.25961538],0
b4,1,0.151951,2.052557,[21 12] ; [35 37],[17.6 15.4] ; [38.4 33.6],0
r4,1,0.169708,1.885522,[26  7] ; [64  8],[28.28571429  4.71428571] ; [61.71428571 10.28571429],0
a8,1,0.194839,1.680647,[ 5 28] ; [ 4 55],[ 3.22826087 29.77173913] ; [ 5.77173913 53.22826087],0
p8,1,0.247216,1.338966,[17 16] ; [28 43],[14.27884615 18.72115385] ; [30.72115385 40.27884615],0
p6,1,0.317728,0.998276,[11 22] ; [31 40],[13.32692308 19.67307692] ; [28.67307692 42.32692308],0
a4,1,0.378777,0.774667,[13 20] ; [35 37],[15.08571429 17.91428571] ; [32.91428571 39.08571429],0
p9,1,0.399377,0.710201,[21 12] ; [51 20],[22.84615385 10.15384615] ; [49.15384615 21.84615385],0
a1,1,0.414624,0.665504,[ 2 31] ; [ 2 70],[ 1.25714286 31.74285714] ; [ 2.74285714 69.25714286],0
p10,1,0.41662,0.659831,[17 16] ; [42 28],[18.90291262 14.09708738] ; [40.09708738 29.90291262],0
v4,1,0.416928,0.658959,[28  5] ; [65  7],[29.22857143  3.77142857] ; [63.77142857  8.22857143],0
a3,1,0.479456,0.5001,[19 14] ; [46 25],[20.625 12.375] ; [44.375 26.625],0
s5,1,0.481584,0.495275,[14 18] ; [24 42],[12.40816327 19.59183673] ; [25.59183673 40.40816327],0
n2,1,0.540396,0.374806,[8 3] ; [13  8],[7.21875 3.78125] ; [13.78125  7.21875],0
r3,1,0.554541,0.349245,[29  4] ; [65  6],[29.82692308  3.17307692] ; [64.17307692  6.82692308],0
p12,1,0.572702,0.318182,[ 1 32] ; [ 4 68],[ 1.57142857 31.42857143] ; [ 3.42857143 68.57142857],0
p5,1,0.577243,0.310713,[ 5 28] ; [ 8 63],[ 4.125 28.875] ; [ 8.875 62.125],0
n4,1,0.579357,0.307275,[20 13] ; [47 24],[21.25961538 11.74038462] ; [45.74038462 25.25961538],0
s8,1,0.698983,0.149532,[14 19] ; [33 38],[14.91346154 18.08653846] ; [32.08653846 38.91346154],0
u2,1,0.718432,0.13,[7 7] ; [11 14],[6.46153846 7.53846154] ; [11.53846154 13.46153846],0
b3,1,0.747514,0.103632,[ 5 14] ; [ 9 31],[ 4.50847458 14.49152542] ; [ 9.49152542 30.50847458],0
b2,1,0.747514,0.103632,[ 5 14] ; [ 9 31],[ 4.50847458 14.49152542] ; [ 9.49152542 30.50847458],0
s4,1,0.758293,0.094693,[ 7 26] ; [17 54],[ 7.61538462 25.38461538] ; [16.38461538 54.61538462],0
v3,1,0.773214,0.083044,[12 19] ; [25 45],[11.35643564 19.64356436] ; [25.64356436 44.35643564],0
u4,1,0.777647,0.079742,[ 1 32] ; [ 3 69],[ 1.25714286 31.74285714] ; [ 2.74285714 69.25714286],0
d2,1,0.782318,0.076342,[16 17] ; [37 35],[16.65714286 16.34285714] ; [36.34285714 35.65714286],0
d4,1,0.804627,0.061189,[24  9] ; [54 18],[24.51428571  8.48571429] ; [53.48571429 18.51428571],0
p3,1,0.83551,0.043114,[19 14] ; [43 29],[19.48571429 13.51428571] ; [42.51428571 29.48571429],0
s1,1,0.838633,0.04147,[ 2 31] ; [ 5 65],[ 2.24271845 30.75728155] ; [ 4.75728155 65.24271845],0
p7,1,0.846418,0.037516,[19 14] ; [40 32],[18.54285714 14.45714286] ; [40.45714286 31.54285714],0
n3,1,0.863894,0.029385,[7 4] ; [14  7],[7.21875 3.78125] ; [13.78125  7.21875],0
u3,1,0.881368,0.022271,[9 5] ; [16  8],[9.21052632 4.78947368] ; [15.78947368  8.21052632],0
s6,1,0.883577,0.021444,[25  7] ; [53 16],[24.71287129  7.28712871] ; [53.28712871 15.71287129],0
v2,1,0.885884,0.020596,[16 17] ; [35 35],[16.33980583 16.66019417] ; [34.66019417 35.33980583],0
p1,1,0.899086,0.016082,[ 4 29] ; [ 8 63],[ 3.80769231 29.19230769] ; [ 8.19230769 62.80769231],0
s3,1,0.931608,0.007365,[20 13] ; [43 29],[19.8 13.2] ; [43.2 28.8],0
s7,1,0.969709,0.001442,[17 13] ; [36 28],[16.91489362 13.08510638] ; [36.08510638 27.91489362],0
s2,1,0.996692,1.7e-05,[20 13] ; [43 28],[19.99038462 13.00961538] ; [43.00961538 27.99038462],0
