Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,25.066234,[42 15] ; [33 69],[26.88679245 30.11320755] ; [48.11320755 53.88679245],1
p11,1,5.8e-05,16.164102,[50  9] ; [55 48],[38.24074074 20.75925926] ; [66.75925926 36.24074074],1
a3,1,0.0003,13.070273,[19 40] ; [63 39],[30.04968944 28.95031056] ; [51.95031056 50.04968944],1
p6,1,0.000406,12.505548,[24 34] ; [16 84],[14.6835443 43.3164557] ; [25.3164557 74.6835443],1
p4,1,0.000467,12.241634,[38 21] ; [37 66],[27.31481481 31.68518519] ; [47.68518519 55.31481481],1
s8,1,0.001664,9.88743,[22 37] ; [16 87],[13.83950617 45.16049383] ; [24.16049383 78.83950617],0
v4,1,0.002843,8.905683,[54  4] ; [76 27],[46.83229814 11.16770186] ; [83.16770186 19.83229814],0
p5,1,0.004703,7.990251,[10 49] ; [ 4 98],[ 5.13043478 53.86956522] ; [ 8.86956522 93.13043478],0
s6,1,0.005053,7.860286,[34 25] ; [36 67],[25.49382716 33.50617284] ; [44.50617284 58.49382716],0
b3,1,0.009254,6.77315,[ 5 31] ; [23 36],[10.61052632 25.38947368] ; [17.38947368 41.61052632],0
b2,1,0.009254,6.77315,[ 5 31] ; [23 36],[10.61052632 25.38947368] ; [17.38947368 41.61052632],0
p2,1,0.013586,6.091167,[47 12] ; [62 40],[39.94409938 19.05590062] ; [69.05590062 32.94409938],0
p3,1,0.017684,5.627156,[29 30] ; [31 71],[21.98757764 37.01242236] ; [38.01242236 63.98757764],0
p10,1,0.023563,5.126514,[43 14] ; [58 43],[36.43670886 20.56329114] ; [64.56329114 36.43670886],0
s7,1,0.031831,4.607584,[22 34] ; [22 74],[16.21052632 39.78947368] ; [27.78947368 68.21052632],0
a4,1,0.033951,4.497192,[11 48] ; [35 67],[16.85714286 42.14285714] ; [29.14285714 72.85714286],0
d2,1,0.040475,4.197873,[14 45] ; [40 61],[19.9125 39.0875] ; [34.0875 66.9125],0
p12,1,0.046042,3.980042,[ 5 53] ; [  2 101],[ 2.52173913 55.47826087] ; [ 4.47826087 98.52173913],0
n6,1,0.074956,3.17102,[46 12] ; [68 35],[41.06832298 16.93167702] ; [72.93167702 30.06832298],0
r3,1,0.099799,2.708749,[50  9] ; [75 27],[45.80745342 13.19254658] ; [79.19254658 22.80745342],0
s1,1,0.11589,2.472,[ 5 54] ; [  3 100],[ 2.91358025 56.08641975] ; [ 5.08641975 97.91358025],0
u3,1,0.142084,2.15524,[19 20] ; [13 27],[15.79746835 23.20253165] ; [16.20253165 23.79746835],0
a8,1,0.171224,1.872198,[ 3 53] ; [12 87],[ 5.41935484 50.58064516] ; [ 9.58064516 89.41935484],0
u2,1,0.17753,1.818182,[21 19] ; [15 25],[18. 22.] ; [18. 22.],0
b4,1,0.184419,1.761648,[28 31] ; [60 43],[32.04938272 26.95061728] ; [55.95061728 47.04938272],0
s2,1,0.20227,1.625906,[26 33] ; [35 68],[22.21604938 36.78395062] ; [38.78395062 64.21604938],0
d1,1,0.204098,1.612802,[16 43] ; [38 65],[19.66666667 39.33333333] ; [34.33333333 68.66666667],0
u1,1,0.265293,1.240925,[ 2 57] ; [ 8 95],[ 3.64197531 55.35802469] ; [ 6.35802469 96.64197531],0
a2,1,0.297204,1.086698,[ 3 56] ; [10 93],[ 4.7345679 54.2654321] ; [ 8.2654321 94.7345679],0
n1,1,0.348045,0.880572,[ 8 12] ; [10 26],[ 6.42857143 13.57142857] ; [11.57142857 24.42857143],0
r4,1,0.349603,0.874899,[32 27] ; [48 55],[29.13580247 29.86419753] ; [50.86419753 52.13580247],0
p9,1,0.352321,0.865081,[45 14] ; [68 30],[42.46496815 16.53503185] ; [70.53503185 27.46496815],0
s4,1,0.371396,0.798987,[15 44] ; [20 83],[12.74691358 46.25308642] ; [22.25308642 80.74691358],0
n3,1,0.43109,0.619884,[14  6] ; [22 15],[12.63157895  7.36842105] ; [23.36842105 13.63157895],0
a6,1,0.465282,0.533158,[35 24] ; [55 48],[32.77777778 26.22222222] ; [57.22222222 45.77777778],0
r2,1,0.469341,0.523527,[43 13] ; [70 28],[41.09090909 14.90909091] ; [71.90909091 26.09090909],0
d5,1,0.496022,0.463437,[35 24] ; [66 36],[37.01242236 21.98757764] ; [63.98757764 38.01242236],0
b1,1,0.522591,0.408776,[25 34] ; [49 54],[26.95061728 32.04938272] ; [47.04938272 55.95061728],0
s3,1,0.630272,0.231692,[25 33] ; [40 62],[23.5625 34.4375] ; [41.4375 60.5625],0
a5,1,0.64559,0.211505,[32 27] ; [52 51],[30.59259259 28.40740741] ; [53.40740741 49.59259259],0
b5,1,0.681965,0.167922,[38 21] ; [63 40],[36.78395062 22.21604938] ; [64.21604938 38.78395062],0
