Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2.1e-05,18.069728,[3 6] ; [39  3],[7.41176471 1.58823529] ; [34.58823529  7.41176471],1
d3,1,0.003294,8.636965,[2 7] ; [31 11],[5.82352941 3.17647059] ; [27.17647059 14.82352941],0
d2,1,0.009026,6.817627,[2 7] ; [29 13],[5.47058824 3.52941176] ; [25.52941176 16.47058824],0
p9,1,0.020766,5.346283,[2 7] ; [27 15],[5.11764706 3.88235294] ; [23.88235294 18.11764706],0
r3,1,0.021692,5.270337,[7 2] ; [41  1],[8.47058824 0.52941176] ; [39.52941176  2.47058824],0
a4,1,0.043433,4.078458,[1 8] ; [20 22],[3.70588235 5.29411765] ; [17.29411765 24.70588235],0
a5,1,0.084901,2.968495,[4 5] ; [31 11],[6.17647059 2.82352941] ; [28.82352941 13.17647059],0
s7,1,0.094341,2.798701,[4 5] ; [30 11],[6.12 2.88] ; [27.88 13.12],0
s6,1,0.103102,2.656899,[5 4] ; [34  8],[6.88235294 2.11764706] ; [32.11764706  9.88235294],0
p8,1,0.128562,2.309783,[2 7] ; [21 21],[4.05882353 4.94117647] ; [18.94117647 23.05882353],0
a7,1,0.16103,1.964526,[4 5] ; [29 13],[5.82352941 3.17647059] ; [27.17647059 14.82352941],0
p5,1,0.167419,1.905901,[2 7] ; [ 3 39],[0.88235294 8.11764706] ; [ 4.11764706 37.88235294],0
u3,1,0.179712,1.8,[2 1] ; [14  1],[2.66666667 0.33333333] ; [13.33333333  1.66666667],0
p3,1,0.194062,1.686508,[6 3] ; [18 24],[4.23529412 4.76470588] ; [19.76470588 22.23529412],0
p4,1,0.202956,1.620975,[7 2] ; [23 19],[5.29411765 3.70588235] ; [24.70588235 17.29411765],0
s1,1,0.229276,1.445348,[1 8] ; [ 1 40],[0.36 8.64] ; [ 1.64 39.36],0
p11,1,0.268562,1.224078,[4 5] ; [27 15],[5.47058824 3.52941176] ; [25.52941176 16.47058824],0
n1,1,0.347153,0.883838,[2 1] ; [4 7],[1.28571429 1.71428571] ; [4.71428571 6.28571429],0
b4,1,0.365853,0.817701,[7 2] ; [26 16],[5.82352941 3.17647059] ; [27.17647059 14.82352941],0
n5,1,0.376797,0.781125,[5 4] ; [29 12],[6.12 2.88] ; [27.88 13.12],0
v3,1,0.428339,0.627323,[5 4] ; [16 23],[3.9375 5.0625] ; [17.0625 21.9375],0
v2,1,0.44057,0.594798,[4 5] ; [24 17],[5.04 3.96] ; [22.96 18.04],0
n4,1,0.469066,0.524176,[6 3] ; [32  9],[6.84 2.16] ; [31.16  9.84],0
a6,1,0.526742,0.400673,[5 4] ; [28 14],[5.82352941 3.17647059] ; [27.17647059 14.82352941],0
b2,1,0.552664,0.352567,[2 5] ; [13 19],[2.69230769 4.30769231] ; [12.30769231 19.69230769],0
b3,1,0.552664,0.352567,[2 5] ; [13 19],[2.69230769 4.30769231] ; [12.30769231 19.69230769],0
s3,1,0.643293,0.214461,[6 2] ; [28 14],[5.44 2.56] ; [28.56 13.44],0
p6,1,0.652109,0.203252,[3 6] ; [17 24],[3.6 5.4] ; [16.4 24.6],0
p2,1,0.663018,0.189879,[6 3] ; [31 11],[6.52941176 2.47058824] ; [30.47058824 11.52941176],0
p1,1,0.687803,0.161474,[1 8] ; [ 3 39],[0.70588235 8.29411765] ; [ 3.29411765 38.70588235],0
s4,1,0.691555,0.157407,[2 7] ; [ 7 35],[1.58823529 7.41176471] ; [ 7.41176471 34.58823529],0
v1,1,0.712795,0.135501,[5 4] ; [20 21],[4.5 4.5] ; [20.5 20.5],0
b1,1,0.76223,0.091538,[5 4] ; [21 21],[4.58823529 4.41176471] ; [21.41176471 20.58823529],0
s2,1,0.819635,0.05199,[5 3] ; [28 14],[5.28 2.72] ; [27.72 14.28],0
s5,1,0.821692,0.050791,[2 6] ; [11 27],[2.26086957 5.73913043] ; [10.73913043 27.26086957],0
r1,1,0.827675,0.047387,[7 2] ; [34  8],[7.23529412 1.76470588] ; [33.76470588  8.23529412],0
n6,1,0.853972,0.033875,[7 2] ; [33  8],[7.2 1.8] ; [32.8  8.2],0
u2,1,0.86952,0.026984,[2 1] ; [10  4],[2.11764706 0.88235294] ; [9.88235294 4.11764706],0
a3,1,0.892106,0.018398,[6 3] ; [27 15],[5.82352941 3.17647059] ; [27.17647059 14.82352941],0
b5,1,0.892106,0.018398,[6 3] ; [27 15],[5.82352941 3.17647059] ; [27.17647059 14.82352941],0
p7,1,0.976336,0.00088,[4 5] ; [18 23],[3.96 5.04] ; [18.04 22.96],0
a8,1,1.0,0.0,[2 6] ; [ 9 27],[2. 6.] ; [ 9. 27.],0
