Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,47.742633,[74  5] ; [12 24],[59.07826087 19.92173913] ; [26.92173913  9.07826087],1
r3,1,4.7e-05,16.561061,[76  3] ; [25 11],[69.3826087  9.6173913] ; [31.6173913  4.3826087],1
v4,1,0.000436,12.37011,[76  3] ; [26  9],[70.68421053  8.31578947] ; [31.31578947  3.68421053],1
d3,1,0.004916,7.909957,[57 21] ; [16 19],[50.38938053 27.61061947] ; [22.61061947 12.38938053],0
d5,1,0.004918,7.909235,[63 15] ; [20 16],[56.78947368 21.21052632] ; [26.21052632  9.78947368],0
b1,1,0.005916,7.575562,[33 46] ; [25 11],[39.84347826 39.15652174] ; [18.15652174 17.84347826],0
r2,1,0.008584,6.907375,[74  5] ; [26  8],[69.91150442  9.08849558] ; [30.08849558  3.91150442],0
p8,1,0.010595,6.532051,[39 40] ; [ 8 26],[32.85840708 46.14159292] ; [14.14159292 19.85840708],0
d1,1,0.01232,6.264211,[44 35] ; [11 25],[37.7826087 41.2173913] ; [17.2173913 18.7826087],0
a1,1,0.018164,5.580222,[ 2 77] ; [ 5 31],[ 4.80869565 74.19130435] ; [ 2.19130435 33.80869565],0
a5,1,0.0306,4.675264,[54 25] ; [17 19],[48.77391304 30.22608696] ; [22.22608696 13.77391304],0
v3,1,0.03273,4.559863,[25 47] ; [ 5 29],[20.37735849 51.62264151] ; [ 9.62264151 24.37735849],0
p11,1,0.040243,4.207619,[59 20] ; [20 16],[54.26956522 24.73043478] ; [24.73043478 11.26956522],0
u2,1,0.045219,4.010462,[21  4] ; [7 6],[18.42105263  6.57894737] ; [9.57894737 3.42105263],0
d4,1,0.045597,3.996404,[65 13] ; [24 12],[60.89473684 17.10526316] ; [28.10526316  7.89473684],0
a6,1,0.046652,3.957896,[56 22] ; [19 17],[51.31578947 26.68421053] ; [23.68421053 12.31578947],0
v2,1,0.062085,3.480785,[38 33] ; [12 23],[33.49056604 37.50943396] ; [16.50943396 18.49056604],0
a7,1,0.077214,3.122598,[59 20] ; [21 15],[54.95652174 24.04347826] ; [25.04347826 10.95652174],0
s6,1,0.077791,3.110462,[49 30] ; [16 20],[44.65217391 34.34782609] ; [20.34782609 15.65217391],0
s8,1,0.083225,3.000771,[33 46] ; [ 9 27],[28.85217391 50.14782609] ; [13.14782609 22.85217391],0
n1,1,0.162162,1.953947,[ 7 14] ; [7 5],[ 8.90909091 12.09090909] ; [5.09090909 6.90909091],0
p1,1,0.182131,1.780147,[ 5 74] ; [ 5 31],[ 6.86956522 72.13043478] ; [ 3.13043478 32.86956522],0
s4,1,0.190543,1.713412,[10 69] ; [ 8 28],[12.36521739 66.63478261] ; [ 5.63478261 30.36521739],0
p7,1,0.207354,1.589802,[45 30] ; [16 18],[41.97247706 33.02752294] ; [19.02752294 14.97247706],0
a4,1,0.233996,1.416406,[31 48] ; [10 26],[28.16521739 50.83478261] ; [12.83478261 23.16521739],0
p10,1,0.253979,1.301282,[64 15] ; [25 10],[61.6754386 17.3245614] ; [27.3245614  7.6754386],0
n2,1,0.267505,1.229497,[16  5] ; [11  1],[17.18181818  3.81818182] ; [9.81818182 2.18181818],0
b4,1,0.271482,1.209241,[46 33] ; [17 19],[43.27826087 35.72173913] ; [19.72173913 16.27826087],0
p2,1,0.28551,1.140674,[61 18] ; [23 11],[58.72566372 20.27433628] ; [25.27433628  8.72566372],0
n3,1,0.301071,1.069444,[14  7] ; [10  2],[15.27272727  5.72727273] ; [8.72727273 3.27272727],0
n4,1,0.32045,0.987108,[43 36] ; [16 20],[40.53043478 38.46956522] ; [18.46956522 17.53043478],0
p4,1,0.324657,0.970094,[39 39] ; [14 21],[36.5840708 41.4159292] ; [16.4159292 18.5840708],0
p3,1,0.356325,0.850806,[32 47] ; [11 24],[29.79824561 49.20175439] ; [13.20175439 21.79824561],0
u1,1,0.419817,0.650827,[ 8 71] ; [ 2 34],[ 6.86956522 72.13043478] ; [ 3.13043478 32.86956522],0
s7,1,0.465361,0.53297,[30 44] ; [12 24],[28.25454545 45.74545455] ; [13.74545455 22.25454545],0
s3,1,0.467758,0.527268,[42 35] ; [17 19],[40.20353982 36.79646018] ; [18.79646018 17.20353982],0
a8,1,0.498763,0.457568,[ 7 64] ; [ 5 30],[ 8.03773585 62.96226415] ; [ 3.96226415 31.03773585],0
n5,1,0.550517,0.356392,[36 41] ; [19 17],[37.47787611 39.52212389] ; [17.52212389 18.47787611],0
s1,1,0.560479,0.338876,[ 4 73] ; [ 1 35],[ 3.40707965 73.59292035] ; [ 1.59292035 34.40707965],0
a2,1,0.607802,0.263388,[14 65] ; [ 5 31],[13.05217391 65.94782609] ; [ 5.94782609 30.05217391],0
