Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.003277,8.646645,[ 1 10] ; [6 2],[4.05263158 6.94736842] ; [2.94736842 5.05263158],0
p10,1,0.006147,7.506669,[ 4 15] ; [14  8],[ 8.34146341 10.65853659] ; [ 9.65853659 12.34146341],0
r2,1,0.011267,6.422723,[ 8 11] ; [17  4],[11.875  7.125] ; [13.125  7.875],0
p8,1,0.013361,6.120661,[ 1 19] ; [ 8 14],[ 4.28571429 15.71428571] ; [ 4.71428571 17.28571429],0
p9,1,0.013451,6.10881,[ 4 15] ; [12  8],[ 7.79487179 11.20512821] ; [ 8.20512821 11.79487179],0
p2,1,0.018884,5.512222,[ 6 14] ; [14  7],[ 9.75609756 10.24390244] ; [10.24390244 10.75609756],0
n6,1,0.032313,4.581818,[ 8 12] ; [16  6],[11.42857143  8.57142857] ; [12.57142857  9.42857143],0
p11,1,0.042714,4.106667,[ 4 16] ; [11 11],[ 7.14285714 12.85714286] ; [ 7.85714286 14.14285714],0
d5,1,0.058522,3.578781,[ 6 14] ; [13  9],[ 9.04761905 10.95238095] ; [ 9.95238095 12.04761905],0
s6,1,0.063409,3.445909,[ 3 17] ; [ 9 13],[ 5.71428571 14.28571429] ; [ 6.28571429 15.71428571],0
n5,1,0.104483,2.635739,[13  7] ; [19  3],[15.23809524  4.76190476] ; [16.76190476  5.23809524],0
p1,1,0.122438,2.385848,[ 4 16] ; [ 1 21],[ 2.38095238 17.61904762] ; [ 2.61904762 19.38095238],0
b4,1,0.125569,2.346446,[ 8 12] ; [14  8],[10.47619048  9.52380952] ; [11.52380952 10.47619048],0
n2,1,0.188274,1.731069,[3 7] ; [8 6],[4.58333333 5.41666667] ; [6.41666667 7.58333333],0
a3,1,0.225546,1.468733,[ 9 11] ; [14  8],[10.95238095  9.04761905] ; [12.04761905  9.95238095],0
n3,1,0.252781,1.30787,[3 7] ; [7 6],[4.34782609 5.65217391] ; [5.65217391 7.34782609],0
s5,1,0.269004,1.221818,[ 2 18] ; [ 5 17],[ 3.33333333 16.66666667] ; [ 3.66666667 18.33333333],0
v3,1,0.293989,1.101265,[ 3 17] ; [ 6 15],[ 4.3902439 15.6097561] ; [ 4.6097561 16.3902439],0
p7,1,0.311185,1.025641,[ 5 15] ; [ 8 12],[ 6.5 13.5] ; [ 6.5 13.5],0
a5,1,0.326558,0.9625,[ 7 13] ; [11 11],[ 8.57142857 11.42857143] ; [ 9.42857143 12.57142857],0
s4,1,0.348931,0.87734,[ 5 15] ; [ 3 19],[ 3.80952381 16.19047619] ; [ 4.19047619 17.80952381],0
d4,1,0.36114,0.833926,[11  9] ; [ 9 13],[ 9.52380952 10.47619048] ; [10.47619048 11.52380952],0
d2,1,0.36375,0.824904,[ 6 13] ; [10 12],[ 7.41463415 11.58536585] ; [ 8.58536585 13.41463415],0
d3,1,0.382193,0.763636,[ 8 12] ; [ 6 16],[ 6.66666667 13.33333333] ; [ 7.33333333 14.66666667],0
p3,1,0.414335,0.666329,[ 6 14] ; [ 4 17],[ 4.87804878 15.12195122] ; [ 5.12195122 15.87804878],0
r1,1,0.46118,0.54303,[ 6 14] ; [ 9 13],[ 7.14285714 12.85714286] ; [ 7.85714286 14.14285714],0
b5,1,0.490581,0.475251,[ 7 13] ; [10 12],[ 8.0952381 11.9047619] ; [ 8.9047619 13.0952381],0
s1,1,0.493019,0.46993,[ 2 18] ; [ 1 21],[ 1.42857143 18.57142857] ; [ 1.57142857 20.42857143],0
p4,1,0.557741,0.34363,[ 5 15] ; [ 7 14],[ 5.85365854 14.14634146] ; [ 6.14634146 14.85365854],0
n1,1,0.558185,0.342857,[4 6] ; [ 4 10],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
a6,1,0.580483,0.305455,[ 8 12] ; [ 7 15],[ 7.14285714 12.85714286] ; [ 7.85714286 14.14285714],0
n4,1,0.662161,0.190909,[14  6] ; [14  8],[13.33333333  6.66666667] ; [14.66666667  7.33333333],0
b1,1,0.721277,0.127273,[12  8] ; [12 10],[11.42857143  8.57142857] ; [12.57142857  9.42857143],0
a4,1,0.78961,0.071192,[ 5 14] ; [ 5 17],[ 4.63414634 14.36585366] ; [ 5.36585366 16.63414634],0
s2,1,0.829666,0.046281,[ 4 16] ; [ 5 17],[ 4.28571429 15.71428571] ; [ 4.71428571 17.28571429],0
s3,1,0.854953,0.033417,[ 5 14] ; [ 5 16],[ 4.75 14.25] ; [ 5.25 15.75],0
d1,1,0.862878,0.02983,[ 5 15] ; [ 5 17],[ 4.76190476 15.23809524] ; [ 5.23809524 16.76190476],0
v1,1,0.867126,0.027993,[ 5 15] ; [ 6 16],[ 5.23809524 14.76190476] ; [ 5.76190476 16.23809524],0
s7,1,0.88812,0.019792,[ 3 15] ; [ 3 17],[ 2.84210526 15.15789474] ; [ 3.15789474 16.84210526],0
a1,1,0.920155,0.010048,[ 2 18] ; [ 2 20],[ 1.9047619 18.0952381] ; [ 2.0952381 19.9047619],0
b2,1,0.933748,0.006911,[6 9] ; [5 8],[5.89285714 9.10714286] ; [5.10714286 7.89285714],0
b3,1,0.933748,0.006911,[6 9] ; [5 8],[5.89285714 9.10714286] ; [5.10714286 7.89285714],0
p12,1,0.944922,0.004773,[ 1 19] ; [ 1 21],[ 0.95238095 19.04761905] ; [ 1.04761905 20.95238095],0
p5,1,0.971779,0.001252,[ 1 19] ; [ 1 20],[ 0.97560976 19.02439024] ; [ 1.02439024 19.97560976],0
