Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.5e-05,18.700547,[15 55] ; [22 12],[24.90384615 45.09615385] ; [12.09615385 21.90384615],1
s6,1,1.8e-05,18.372,[31 38] ; [31  4],[41.13461538 27.86538462] ; [20.86538462 14.13461538],1
s3,1,4.2e-05,16.799132,[22 47] ; [26  9],[31.84615385 37.15384615] ; [16.15384615 18.84615385],1
s2,1,0.000406,12.504764,[19 51] ; [22 13],[27.33333333 42.66666667] ; [13.66666667 21.33333333],1
p2,1,0.008062,7.019578,[53 16] ; [34  1],[57.72115385 11.27884615] ; [29.27884615  5.72115385],0
p9,1,0.027745,4.843828,[49 22] ; [31  4],[53.58490566 17.41509434] ; [26.41509434  8.58490566],0
p10,1,0.036731,4.362837,[46 24] ; [29  5],[50.48076923 19.51923077] ; [24.51923077  9.48076923],0
d2,1,0.038229,4.294816,[20 51] ; [17 18],[24.78301887 46.21698113] ; [12.21698113 22.78301887],0
v3,1,0.04186,4.140839,[17 49] ; [16 19],[21.56435644 44.43564356] ; [11.43564356 23.56435644],0
d1,1,0.045445,4.002039,[32 39] ; [23 12],[36.83962264 34.16037736] ; [18.16037736 16.83962264],0
u2,1,0.112038,2.525235,[17 18] ; [9 3],[19.36170213 15.63829787] ; [6.63829787 5.36170213],0
d3,1,0.128442,2.311233,[49 22] ; [29  6],[52.24528302 18.75471698] ; [25.75471698  9.24528302],0
a3,1,0.143486,2.140165,[36 35] ; [23 12],[39.51886792 31.48113208] ; [19.48113208 15.51886792],0
n3,1,0.158379,1.989638,[10  6] ; [8 1],[11.52  4.48] ; [6.48 2.52],0
u1,1,0.160214,1.972206,[ 3 68] ; [ 4 31],[ 4.68867925 66.31132075] ; [ 2.31132075 32.68867925],0
b2,1,0.163033,1.945869,[ 5 30] ; [ 7 17],[ 7.11864407 27.88135593] ; [ 4.88135593 19.11864407],0
b3,1,0.163033,1.945869,[ 5 30] ; [ 7 17],[ 7.11864407 27.88135593] ; [ 4.88135593 19.11864407],0
p11,1,0.167026,1.909438,[50 21] ; [29  6],[52.91509434 18.08490566] ; [26.08490566  8.91509434],0
n4,1,0.181105,1.788529,[23 48] ; [16 19],[26.12264151 44.87735849] ; [12.87735849 22.12264151],0
r4,1,0.1878,1.734793,[58 13] ; [32  3],[60.28301887 10.71698113] ; [29.71698113  5.28301887],0
d4,1,0.193625,1.689814,[53 18] ; [30  5],[55.59433962 15.40566038] ; [27.40566038  7.59433962],0
p7,1,0.203211,1.619145,[51 19] ; [27  5],[53.52941176 16.47058824] ; [24.47058824  7.52941176],0
u3,1,0.242396,1.366607,[16 18] ; [8 4],[17.73913043 16.26086957] ; [6.26086957 5.73913043],0
p4,1,0.242609,1.365372,[41 30] ; [16 19],[38.17924528 32.82075472] ; [18.82075472 16.17924528],0
a5,1,0.26153,1.260642,[45 26] ; [26  9],[47.55660377 23.44339623] ; [23.44339623 11.55660377],0
