Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.003922,8.319391,[10  6] ; [35 94],[ 4.96551724 11.03448276] ; [40.03448276 88.96551724],0
s3,1,0.009831,6.665266,[12  4] ; [52 75],[7.16083916 8.83916084] ; [56.83916084 70.16083916],0
a5,1,0.012819,6.193879,[ 5 11] ; [82 47],[9.6 6.4] ; [77.4 51.6],0
p6,1,0.013645,6.083443,[6 9] ; [ 18 106],[ 2.58992806 12.41007194] ; [ 21.41007194 102.58992806],0
s8,1,0.020668,5.354593,[7 9] ; [ 24 105],[ 3.42068966 12.57931034] ; [ 27.57931034 101.42068966],0
p2,1,0.030877,4.659793,[14  2] ; [76 51],[10.06993007  5.93006993] ; [79.93006993 47.06993007],0
u3,1,0.062186,3.478108,[7 1] ; [24 22],[4.59259259 3.40740741] ; [26.40740741 19.59259259],0
v2,1,0.069402,3.2971,[ 3 12] ; [53 66],[6.26865672 8.73134328] ; [49.73134328 69.26865672],0
s7,1,0.081949,3.025808,[6 8] ; [26 93],[ 3.36842105 10.63157895] ; [28.63157895 90.36842105],0
b4,1,0.131812,2.271029,[ 6 10] ; [74 55],[8.82758621 7.17241379] ; [71.17241379 57.82758621],0
s6,1,0.141355,2.163146,[9 7] ; [48 81],[6.28965517 9.71034483] ; [50.71034483 78.28965517],0
a2,1,0.21721,1.522711,[ 1 15] ; [ 24 105],[ 2.75862069 13.24137931] ; [ 22.24137931 106.75862069],0
a4,1,0.2584,1.277308,[ 4 12] ; [51 78],[6.06896552 9.93103448] ; [48.93103448 80.06896552],0
a3,1,0.273322,1.2,[8 8] ; [82 46],[10.  6.] ; [80. 48.],0
p9,1,0.286882,1.134198,[7 8] ; [78 50],[8.91608392 6.08391608] ; [76.08391608 51.91608392],0
v1,1,0.289089,1.12386,[ 4 12] ; [49 78],[ 5.93006993 10.06993007] ; [47.06993007 79.93006993],0
d3,1,0.327589,0.958406,[11  5] ; [71 56],[9.17482517 6.82517483] ; [72.82517483 54.17482517],0
r1,1,0.337335,0.920533,[9 7] ; [88 41],[10.70344828  5.29655172] ; [86.29655172 42.70344828],0
p3,1,0.407309,0.686643,[ 6 10] ; [35 92],[ 4.58741259 11.41258741] ; [36.41258741 90.58741259],0
a7,1,0.446187,0.580319,[9 7] ; [85 44],[10.37241379  5.62758621] ; [83.62758621 45.37241379],0
n5,1,0.461239,0.542885,[ 6 10] ; [60 67],[7.38461538 8.61538462] ; [58.61538462 68.38461538],0
n4,1,0.536592,0.381893,[7 9] ; [67 62],[8.16551724 7.83448276] ; [65.83448276 63.16551724],0
d2,1,0.583882,0.3,[ 5 11] ; [49 79],[ 6. 10.] ; [48. 80.],0
n1,1,0.597525,0.278746,[2 5] ; [16 25],[2.625 4.375] ; [15.375 25.625],0
r3,1,0.60892,0.26175,[11  4] ; [102  27],[11.77083333  3.22916667] ; [101.22916667  27.77083333],0
d5,1,0.613197,0.255546,[10  6] ; [88 40],[10.88888889  5.11111111] ; [87.11111111 40.88888889],0
d4,1,0.638871,0.220222,[12  4] ; [88 39],[11.18881119  4.81118881] ; [88.81118881 38.18881119],0
b3,1,0.680946,0.169063,[2 8] ; [19 54],[2.53012048 7.46987952] ; [18.46987952 54.53012048],0
b2,1,0.680946,0.169063,[2 8] ; [19 54],[2.53012048 7.46987952] ; [18.46987952 54.53012048],0
v3,1,0.698775,0.14975,[ 5 11] ; [32 88],[ 4.35294118 11.64705882] ; [32.64705882 87.35294118],0
r4,1,0.739626,0.110456,[10  6] ; [86 43],[10.59310345  5.40689655] ; [85.40689655 43.59310345],0
n3,1,0.740545,0.109649,[5 2] ; [26 14],[4.61702128 2.38297872] ; [26.38297872 13.61702128],0
a6,1,0.755863,0.09667,[10  6] ; [85 43],[10.55555556  5.44444444] ; [84.44444444 43.55555556],0
d1,1,0.783047,0.075818,[ 6 10] ; [53 76],[6.51034483 9.48965517] ; [52.48965517 76.51034483],0
b5,1,0.791635,0.069795,[9 7] ; [77 52],[9.48965517 6.51034483] ; [76.51034483 52.48965517],0
n2,1,0.810799,0.05731,[4 3] ; [26 16],[4.28571429 2.71428571] ; [25.71428571 16.28571429],0
p1,1,0.824437,0.049214,[ 1 15] ; [ 10 118],[ 1.22222222 14.77777778] ; [  9.77777778 118.22222222],0
p8,1,0.825543,0.048586,[ 5 10] ; [46 81],[5.38732394 9.61267606] ; [45.61267606 81.38732394],0
u1,1,0.830536,0.045802,[ 1 15] ; [ 10 119],[ 1.2137931 14.7862069] ; [  9.7862069 119.2137931],0
r2,1,0.846978,0.03724,[12  3] ; [105  23],[12.27272727  2.72727273] ; [104.72727273  23.27272727],0
b1,1,0.880373,0.022649,[9 7] ; [70 59],[8.71724138 7.28275862] ; [70.28275862 58.71724138],0
v4,1,0.909998,0.012778,[12  3] ; [100  27],[11.83098592  3.16901408] ; [100.16901408  26.83098592],0
u2,1,0.930426,0.007623,[5 3] ; [28 18],[4.88888889 3.11111111] ; [28.11111111 17.88888889],0
p7,1,0.93212,0.007255,[7 7] ; [61 64],[6.84892086 7.15107914] ; [61.15107914 63.84892086],0
s1,1,0.958224,0.002744,[ 1 14] ; [  9 119],[ 1.04895105 13.95104895] ; [  8.95104895 119.04895105],0
p10,1,0.966207,0.001795,[8 7] ; [67 60],[7.92253521 7.07746479] ; [67.07746479 59.92253521],0
p11,1,0.979406,0.000666,[9 7] ; [73 56],[9.04827586 6.95172414] ; [72.95172414 56.04827586],0
p4,1,0.981682,0.000527,[ 6 10] ; [48 79],[6.04195804 9.95804196] ; [47.95804196 79.04195804],0
