Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.214574,[328  32] ; [45 19],[316.69811321  43.30188679] ; [56.30188679  7.69811321],1
p4,1,2e-06,22.191162,[247 115] ; [24 40],[230.28638498 131.71361502] ; [40.71361502 23.28638498],1
p8,1,9e-06,19.724414,[216 141] ; [20 45],[199.6492891 157.3507109] ; [36.3507109 28.6492891],1
p7,1,1e-05,19.54693,[259  98] ; [28 35],[243.95 113.05] ; [43.05 19.95],1
p11,1,1.8e-05,18.409497,[315  50] ; [42 23],[303.03488372  61.96511628] ; [53.96511628 11.03488372],1
v1,1,0.000441,12.350629,[248 109] ; [30 34],[235.73871734 121.26128266] ; [42.26128266 21.73871734],1
s4,1,0.003124,8.73344,[ 45 317] ; [17 47],[ 52.68544601 309.31455399] ; [ 9.31455399 54.68544601],0
r4,1,0.003458,8.548486,[342  23] ; [54 11],[336.13953488  28.86046512] ; [59.86046512  5.13953488],0
r3,1,0.009529,6.720894,[356   7] ; [60  5],[352.82242991  10.17757009] ; [63.17757009  1.82242991],0
p10,1,0.010041,6.627668,[316  45] ; [49 16],[309.30751174  51.69248826] ; [55.69248826  9.30751174],0
a3,1,0.011276,6.421219,[283  81] ; [41 24],[274.90909091  89.09090909] ; [49.09090909 15.90909091],0
p3,1,0.013392,6.116603,[212 153] ; [27 38],[202.87209302 162.12790698] ; [36.12790698 28.87209302],0
v3,1,0.015053,5.910223,[215 143] ; [28 36],[206.14691943 151.85308057] ; [36.85308057 27.14691943],0
n5,1,0.016668,5.73097,[298  65] ; [45 20],[290.9088785  72.0911215] ; [52.0911215 12.9088785],0
d3,1,0.030692,4.67011,[272  93] ; [40 25],[264.8372093 100.1627907] ; [47.1627907 17.8372093],0
a5,1,0.031198,4.64201,[291  74] ; [44 21],[284.36046512  80.63953488] ; [50.63953488 14.36046512],0
p6,1,0.041404,4.159399,[153 205] ; [19 46],[145.56973995 212.43026005] ; [26.43026005 38.56973995],0
n3,1,0.064369,3.421071,[53 13] ; [8 6],[50.325 15.675] ; [10.675  3.325],0
n4,1,0.066607,3.364706,[308  56] ; [49 16],[302.90909091  61.09090909] ; [54.09090909 10.90909091],0
b1,1,0.075424,3.160846,[116 249] ; [28 37],[122.23255814 242.76744186] ; [21.76744186 43.23255814],0
a1,1,0.082933,3.00646,[ 19 346] ; [ 7 58],[ 22.06976744 342.93023256] ; [ 3.93023256 61.06976744],0
s7,1,0.088459,2.902186,[194 152] ; [28 35],[187.80440098 158.19559902] ; [34.19559902 28.80440098],0
r1,1,0.093707,2.809513,[311  54] ; [50 15],[306.43023256  58.56976744] ; [54.56976744 10.43023256],0
p5,1,0.100403,2.699126,[ 49 316] ; [ 4 61],[ 44.98837209 320.01162791] ; [ 8.01162791 56.98837209],0
a6,1,0.109222,2.565449,[260 104] ; [40 25],[254.54545455 109.45454545] ; [45.45454545 19.54545455],0
s3,1,0.151332,2.058768,[204 152] ; [31 34],[198.71733967 157.28266033] ; [36.28266033 28.71733967],0
v4,1,0.166763,1.911807,[349  14] ; [60  5],[346.88551402  16.11448598] ; [62.11448598  2.88551402],0
a2,1,0.168965,1.892099,[103 262] ; [13 52],[ 98.46511628 266.53488372] ; [17.53488372 47.46511628],0
d5,1,0.16978,1.884884,[311  54] ; [51 14],[307.27906977  57.72093023] ; [54.72093023 10.27906977],0
s1,1,0.191042,1.709563,[  7 353] ; [ 3 62],[  8.47058824 351.52941176] ; [ 1.52941176 63.47058824],0
s2,1,0.224921,1.472694,[195 164] ; [30 35],[190.50707547 168.49292453] ; [34.49292453 30.50707547],0
b3,1,0.23122,1.433338,[ 91 137] ; [13 30],[ 87.49815498 140.50184502] ; [16.50184502 26.49815498],0
b2,1,0.23122,1.433338,[ 91 137] ; [13 30],[ 87.49815498 140.50184502] ; [16.50184502 26.49815498],0
a8,1,0.246534,1.342836,[ 53 272] ; [ 6 52],[ 50.06527415 274.93472585] ; [ 8.93472585 49.06527415],0
p1,1,0.259401,1.271949,[ 32 333] ; [ 3 62],[ 29.70930233 335.29069767] ; [ 5.29069767 59.70930233],0
n2,1,0.279187,1.171045,[51 13] ; [10  5],[49.41772152 14.58227848] ; [11.58227848  3.41772152],0
d1,1,0.347534,0.88244,[241 124] ; [39 26],[237.6744186 127.3255814] ; [42.3255814 22.6744186],0
s8,1,0.38925,0.741284,[182 179] ; [29 36],[178.80516432 182.19483568] ; [32.19483568 32.80516432],0
s5,1,0.411342,0.674917,[133 215] ; [21 43],[130.0776699 217.9223301] ; [23.9223301 40.0776699],0
d4,1,0.420444,0.649073,[316  48] ; [54 11],[313.93939394  50.06060606] ; [56.06060606  8.93939394],0
b5,1,0.527715,0.398789,[215 150] ; [41 24],[217.30232558 147.69767442] ; [38.69767442 26.30232558],0
u1,1,0.625059,0.23882,[ 83 282] ; [13 52],[ 81.48837209 283.51162791] ; [14.51162791 50.48837209],0
a7,1,0.668878,0.182918,[277  86] ; [48 17],[275.64252336  87.35747664] ; [49.35747664 15.64252336],0
n1,1,0.670933,0.180513,[21 44] ; [ 4 11],[20.3125 44.6875] ; [ 4.6875 10.3125],0
u3,1,0.685725,0.163752,[44 38] ; [14 10],[44.86792453 37.13207547] ; [13.13207547 10.86792453],0
b4,1,0.73109,0.118113,[222 143] ; [41 24],[223.24418605 141.75581395] ; [39.75581395 25.24418605],0
u4,1,0.7737,0.082678,[  9 356] ; [ 2 63],[  9.3372093 355.6627907] ; [ 1.6627907 63.3372093],0
p12,1,0.778428,0.079168,[ 35 328] ; [ 7 58],[ 35.62149533 327.37850467] ; [ 6.37850467 58.62149533],0
s6,1,0.786272,0.073525,[247 109] ; [44 21],[246.07125891 109.92874109] ; [44.92874109 20.07125891],0
d2,1,0.801669,0.063095,[196 167] ; [34 31],[195.07009346 167.92990654] ; [34.92990654 30.07009346],0
r2,1,0.825549,0.048582,[346  15] ; [60  3],[345.6745283  15.3254717] ; [60.3254717  2.6745283],0
a4,1,0.838107,0.041745,[173 191] ; [30 35],[172.24242424 191.75757576] ; [30.75757576 34.24242424],0
u2,1,0.978235,0.000744,[39 42] ; [11 12],[38.94230769 42.05769231] ; [11.05769231 11.94230769],0
