Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.010378,6.568798,[37 12] ; [6 9],[32.921875 16.078125] ; [10.078125  4.921875],0
n5,1,0.010976,6.46914,[38 11] ; [7 9],[33.92307692 15.07692308] ; [11.07692308  4.92307692],0
r2,1,0.011927,6.321633,[48  1] ; [12  3],[45.9375  3.0625] ; [14.0625  0.9375],0
r4,1,0.012803,6.196166,[42  7] ; [9 7],[38.44615385 10.55384615] ; [12.55384615  3.44615385],0
n6,1,0.013076,6.158756,[39 10] ; [7 8],[35.21875 13.78125] ; [10.78125  4.21875],0
v4,1,0.013289,6.130268,[46  2] ; [12  4],[43.5  4.5] ; [14.5  1.5],0
s1,1,0.015745,5.831094,[ 1 48] ; [ 3 13],[ 3.01538462 45.98461538] ; [ 0.98461538 15.01538462],0
p10,1,0.017908,5.605147,[42  6] ; [9 6],[38.85714286  9.14285714] ; [12.14285714  2.85714286],0
v2,1,0.022342,5.218977,[29 19] ; [ 4 11],[25.14285714 22.85714286] ; [7.85714286 7.14285714],0
d1,1,0.025556,4.985795,[28 21] ; [ 4 12],[24.12307692 24.87692308] ; [7.87692308 8.12307692],0
r3,1,0.034435,4.472957,[46  3] ; [12  4],[43.72307692  5.27692308] ; [14.27692308  1.72307692],0
s4,1,0.042783,4.103954,[ 5 44] ; [ 5 11],[ 7.53846154 41.46153846] ; [ 2.46153846 13.53846154],0
p8,1,0.063055,3.455143,[23 26] ; [ 3 12],[19.90625 29.09375] ; [6.09375 8.90625],0
b5,1,0.09753,2.745469,[22 27] ; [11  5],[24.87692308 24.12307692] ; [8.12307692 7.87692308],0
n4,1,0.098287,2.733127,[38 11] ; [9 7],[35.43076923 13.56923077] ; [11.56923077  4.43076923],0
p7,1,0.134878,2.235445,[32 15] ; [7 8],[29.56451613 17.43548387] ; [9.43548387 5.56451613],0
n2,1,0.182422,1.777778,[10  2] ; [2 2],[9. 3.] ; [3. 1.],0
p6,1,0.191541,1.705722,[14 35] ; [7 8],[16.078125 32.921875] ; [ 4.921875 10.078125],0
r1,1,0.195072,1.67889,[36 13] ; [9 7],[33.92307692 15.07692308] ; [11.07692308  4.92307692],0
p4,1,0.286808,1.134546,[24 25] ; [ 5 10],[22.203125 26.796875] ; [6.796875 8.203125],0
n3,1,0.301409,1.067949,[10  3] ; [2 2],[9.17647059 3.82352941] ; [2.82352941 1.17647059],0
s8,1,0.31705,1.001077,[19 30] ; [ 4 12],[17.33846154 31.66153846] ; [ 5.66153846 10.33846154],0
u1,1,0.321005,0.984848,[ 7 42] ; [ 4 12],[ 8.29230769 40.70769231] ; [ 2.70769231 13.29230769],0
p3,1,0.321121,0.984375,[23 25] ; [ 5 10],[21.33333333 26.66666667] ; [6.66666667 8.33333333],0
s3,1,0.40225,0.701589,[36 13] ; [10  6],[34.67692308 14.32307692] ; [11.32307692  4.67692308],0
v3,1,0.404123,0.696023,[19 25] ; [ 5 11],[17.6 26.4] ; [6.4 9.6],0
a1,1,0.405858,0.690901,[ 3 46] ; [ 2 14],[ 3.76923077 45.23076923] ; [ 1.23076923 14.76923077],0
a3,1,0.420249,0.649619,[33 16] ; [9 7],[31.66153846 17.33846154] ; [10.33846154  5.66153846],0
a6,1,0.494667,0.466358,[29 20] ; [11  5],[30.15384615 18.84615385] ; [9.84615385 6.15384615],0
v1,1,0.514095,0.425724,[25 22] ; [7 9],[23.87301587 23.12698413] ; [8.12698413 7.87301587],0
a5,1,0.514583,0.424736,[32 17] ; [9 7],[30.90769231 18.09230769] ; [10.09230769  5.90769231],0
b1,1,0.519513,0.414861,[20 29] ; [8 8],[21.10769231 27.89230769] ; [6.89230769 9.10769231],0
d4,1,0.564699,0.331633,[40  9] ; [12  4],[39.2  9.8] ; [12.8  3.2],0
s7,1,0.580038,0.306173,[20 28] ; [7 7],[20.90322581 27.09677419] ; [6.09677419 7.90322581],0
a7,1,0.60813,0.262907,[36 13] ; [10  5],[35.21875 13.78125] ; [10.78125  4.21875],0
n1,1,0.679708,0.170455,[4 7] ; [1 3],[3.66666667 7.33333333] ; [1.33333333 2.66666667],0
d2,1,0.705765,0.142544,[21 28] ; [ 6 10],[20.35384615 28.64615385] ; [6.64615385 9.35384615],0
d3,1,0.707838,0.140446,[32 17] ; [9 6],[31.390625 17.609375] ; [9.609375 5.390625],0
p9,1,0.719458,0.129013,[37 12] ; [12  3],[37.515625 11.484375] ; [11.484375  3.515625],0
b4,1,0.722261,0.126336,[27 22] ; [8 8],[26.38461538 22.61538462] ; [8.61538462 7.38461538],0
u2,1,0.75235,0.099567,[8 8] ; [4 3],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
b3,1,0.774207,0.082298,[15 17] ; [2 3],[14.7027027 17.2972973] ; [2.2972973 2.7027027],0
b2,1,0.774207,0.082298,[15 17] ; [2 3],[14.7027027 17.2972973] ; [2.2972973 2.7027027],0
s5,1,0.823374,0.049821,[ 9 39] ; [ 3 11],[ 9.29032258 38.70967742] ; [ 2.70967742 11.29032258],0
a4,1,0.838499,0.04154,[17 32] ; [ 6 10],[17.33846154 31.66153846] ; [ 5.66153846 10.33846154],0
a2,1,0.857497,0.032242,[ 7 42] ; [ 2 14],[ 6.78461538 42.21538462] ; [ 2.21538462 13.78461538],0
p2,1,0.944501,0.004846,[38 10] ; [12  3],[38.0952381  9.9047619] ; [11.9047619  3.0952381],0
u3,1,0.968296,0.00158,[9 7] ; [4 3],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
