Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,56.255267,[ 36 256] ; [45 47],[ 61.59375 230.40625] ; [19.40625 72.59375],1
p5,1,9e-06,19.661515,[  8 282] ; [14 79],[ 16.65796345 273.34203655] ; [ 5.34203655 87.65796345],1
s6,1,1.8e-05,18.414455,[ 96 194] ; [54 39],[113.5770235 176.4229765] ; [36.4229765 56.5770235],1
p3,1,9.3e-05,15.270901,[ 96 193] ; [52 41],[111.96858639 177.03141361] ; [36.03141361 56.96858639],1
p6,1,0.001014,10.801061,[ 58 227] ; [34 57],[ 69.73404255 215.26595745] ; [22.26595745 68.73404255],0
p4,1,0.001066,10.70999,[120 167] ; [57 36],[133.68157895 153.31842105] ; [43.31842105 49.68157895],0
v3,1,0.001547,10.021466,[ 80 203] ; [42 49],[ 92.31550802 190.68449198] ; [29.68449198 61.31550802],0
u1,1,0.001777,9.766214,[ 23 269] ; [18 75],[ 31.0961039 260.9038961] ; [ 9.9038961 83.0961039],0
a3,1,0.001916,9.628631,[172 118] ; [71 21],[184.47643979 105.52356021] ; [58.52356021 33.47643979],0
v1,1,0.007382,7.177647,[120 168] ; [52 38],[131.04761905 156.95238095] ; [40.95238095 49.04761905],0
p10,1,0.008588,6.906554,[185 101] ; [73 19],[195.20634921  90.79365079] ; [62.79365079 29.20634921],0
a5,1,0.01412,6.023132,[179 113] ; [70 23],[188.85194805 103.14805195] ; [60.14805195 32.85194805],0
d3,1,0.016602,5.737944,[176 115] ; [69 24],[185.6640625 105.3359375] ; [59.3359375 33.6640625],0
n6,1,0.027286,4.872629,[214  76] ; [79 14],[221.8537859  68.1462141] ; [71.1462141 21.8537859],0
d4,1,0.029407,4.743632,[205  87] ; [76 17],[213.12207792  78.87792208] ; [67.87792208 25.12207792],0
n4,1,0.039383,4.244266,[195  95] ; [73 20],[202.92428198  87.07571802] ; [65.07571802 27.92428198],0
p7,1,0.040924,4.179179,[143 141] ; [57 34],[151.46666667 132.53333333] ; [48.53333333 42.46666667],0
p11,1,0.048989,3.875732,[205  87] ; [75 18],[212.36363636  79.63636364] ; [67.63636364 25.36363636],0
s3,1,0.054743,3.689896,[ 62 224] ; [29 63],[ 68.85185185 217.14814815] ; [22.14814815 69.85185185],0
a2,1,0.060062,3.535672,[ 47 245] ; [23 70],[ 53.09090909 238.90909091] ; [16.90909091 76.09090909],0
p9,1,0.070321,3.275522,[206  81] ; [74 17],[212.59259259  74.40740741] ; [67.40740741 23.59259259],0
p2,1,0.087975,2.911036,[210  78] ; [76 17],[216.18897638  71.81102362] ; [69.81102362 23.18897638],0
n1,1,0.107516,2.590359,[28 59] ; [12 12],[31.35135135 55.64864865] ; [ 8.64864865 15.35135135],0
r1,1,0.119068,2.429538,[196  93] ; [71 22],[201.9973822  87.0026178] ; [65.0026178 27.9973822],0
n5,1,0.119639,2.422044,[188  99] ; [69 24],[194.10263158  92.89736842] ; [62.89736842 30.10263158],0
p8,1,0.123528,2.37201,[124 161] ; [48 43],[130.37234043 154.62765957] ; [41.62765957 49.37234043],0
a1,1,0.12977,2.295259,[ 13 279] ; [ 1 92],[ 10.61818182 281.38181818] ; [ 3.38181818 89.61818182],0
p12,1,0.142101,2.155059,[  7 283] ; [ 5 86],[  9.13385827 280.86614173] ; [ 2.86614173 88.13385827],0
d1,1,0.167081,1.908937,[133 159] ; [50 43],[138.79480519 153.20519481] ; [44.20519481 48.79480519],0
d2,1,0.184891,1.757863,[112 179] ; [43 50],[117.4609375 173.5390625] ; [37.5390625 55.4609375],0
r3,1,0.215193,1.536144,[251  39] ; [85  8],[254.41253264  35.58746736] ; [81.58746736 11.41253264],0
s1,1,0.228499,1.450179,[ 10 277] ; [ 1 92],[  8.30789474 278.69210526] ; [ 2.69210526 90.30789474],0
r2,1,0.230007,1.440819,[251  35] ; [84  7],[254.13793103  31.86206897] ; [80.86206897 10.13793103],0
a8,1,0.247634,1.336603,[ 24 242] ; [11 71],[ 26.75287356 239.24712644] ; [ 8.24712644 73.75287356],0
r4,1,0.268122,1.226327,[226  66] ; [77 16],[229.80779221  62.19220779] ; [73.19220779 19.80779221],0
b5,1,0.272054,1.206363,[188 104] ; [54 39],[183.54285714 108.45714286] ; [58.45714286 34.54285714],0
