Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8e-06,19.890553,[26 22] ; [97 15],[36.9 11.1] ; [86.1 25.9],1
r2,1,0.000543,11.962691,[34 12] ; [104   7],[40.43312102  5.56687898] ; [97.56687898 13.43312102],1
n3,1,0.003099,8.748497,[7 9] ; [34  7],[11.50877193  4.49122807] ; [29.49122807 11.50877193],0
b1,1,0.010994,6.466301,[28 20] ; [41 71],[20.7 27.3] ; [48.3 63.7],0
a5,1,0.015831,5.821583,[21 27] ; [72 40],[27.9 20.1] ; [65.1 46.9],0
r3,1,0.020339,5.382537,[40  8] ; [106   6],[43.8  4.2] ; [102.2   9.8],0
p11,1,0.050666,3.819267,[22 26] ; [70 42],[27.6 20.4] ; [64.4 47.6],0
v4,1,0.054499,3.697354,[39  9] ; [101   9],[42.53164557  5.46835443] ; [97.46835443 12.53164557],0
v2,1,0.087244,2.9245,[18 30] ; [54 49],[22.88741722 25.11258278] ; [49.11258278 53.88741722],0
a1,1,0.109036,2.568138,[ 4 44] ; [  3 109],[ 2.1 45.9] ; [  4.9 107.1],0
u1,1,0.117601,2.44898,[ 3 45] ; [17 95],[ 6. 42.] ; [14. 98.],0
s6,1,0.128476,2.310821,[19 29] ; [58 52],[23.39240506 24.60759494] ; [53.60759494 56.39240506],0
a6,1,0.180844,1.790675,[25 23] ; [71 41],[28.8 19.2] ; [67.2 44.8],0
a4,1,0.182967,1.773357,[16 32] ; [50 62],[19.8 28.2] ; [46.2 65.8],0
s8,1,0.227369,1.457246,[11 37] ; [36 75],[14.18867925 33.81132075] ; [32.81132075 78.18867925],0
p2,1,0.247102,1.339613,[28 20] ; [76 36],[31.2 16.8] ; [72.8 39.2],0
p10,1,0.285795,1.139325,[23 24] ; [64 46],[26.04458599 20.95541401] ; [60.95541401 49.04458599],0
p3,1,0.297888,1.083624,[16 31] ; [29 83],[13.30188679 33.69811321] ; [31.69811321 80.30188679],0
